epoch,train_total,train_forward,train_spatial_s0,train_spatial_sg,train_temporal_s0,train_temporal_sg,train_n_samples,val_total,val_forward,val_spatial_s0,val_spatial_sg,val_temporal_s0,val_temporal_sg,val_n_samples
1,0.14194665383547544,0.14184635475976393,0.02894168731290847,0.07135812263004482,0.0,0.0,16,2.0029476368799806,2.0028672087937593,0.0270201088860631,0.05344296479597688,0.0,0.0,8
2,0.14191499160369858,0.14184644783381373,0.01949225942371413,0.04905263427644968,0.0,0.0,16,2.0029322057962418,2.0028673065826297,0.019892610143870115,0.044997346587479115,0.0,0.0,8
