row,col,valid_fraction
128,192,0.5009765625
128,256,0.420166015625
128,768,0.240966796875
192,192,0.3193359375
320,1280,0.2314453125
320,1664,0.369873046875
384,1024,0.22265625
384,1088,0.211181640625
384,1216,0.284912109375
384,1536,0.282958984375
384,1600,0.22998046875
384,1664,0.386962890625
384,1728,0.305419921875
448,1024,0.27099609375
448,1088,0.406982421875
448,1152,0.214599609375
448,1472,0.273681640625
448,1536,0.251708984375
448,1600,0.2314453125
512,128,0.23583984375
512,1408,0.224853515625
512,1472,0.239501953125
512,1536,0.25146484375
512,1600,0.279296875
512,1728,0.235595703125
576,960,0.287109375
576,1088,0.212158203125
576,1536,0.27392578125
576,1600,0.308349609375
640,384,0.20068359375
640,1024,0.31103515625
640,1536,0.22021484375
640,1664,0.278564453125
640,1728,0.207763671875
704,384,0.53662109375
704,448,0.57373046875
704,1024,0.4189453125
704,1536,0.23095703125
704,1600,0.2451171875
704,1664,0.271240234375
704,1728,0.247314453125
768,960,0.32568359375
768,1472,0.258544921875
768,1536,0.275390625
768,1600,0.26953125
768,1664,0.23193359375
832,896,0.22021484375
832,1472,0.230712890625
832,1536,0.27001953125
832,1600,0.250732421875
896,896,0.218994140625
896,1408,0.21240234375
896,1472,0.2587890625
896,1536,0.253173828125
896,1600,0.28955078125
960,1280,0.25048828125
960,1344,0.25927734375
960,1408,0.273681640625
960,1472,0.23388671875
960,1536,0.21728515625
960,1600,0.282470703125
1024,1408,0.219482421875
1024,1472,0.29541015625
1024,1536,0.22216796875
1024,1600,0.210693359375
