epoch,train_total,train_forward,train_spatial_s0,train_spatial_sg,train_temporal_s0,train_temporal_sg,train_n_samples,val_total,val_forward,val_spatial_s0,val_spatial_sg,val_temporal_s0,val_temporal_sg,val_n_samples
1,0.15367056991090067,0.15362973336596042,0.021136775045306422,0.0197003151406534,0.0,0.0,64,3.6048309395555407,3.6047799214720726,0.02760224009398371,0.023428489541402087,0.0,0.0,32
2,0.1536465552635491,0.15362964614178054,0.008872142905602232,0.008037522580707446,0.0,0.0,64,3.6048213532194495,3.6047797750215977,0.022003291625878774,0.019583639528718777,0.0,0.0,32
3,0.15364034539379645,0.15362964701489545,0.005718050622817827,0.004980505949788494,0.0,0.0,64,3.6048145634122193,3.6047797151841223,0.018361697715590708,0.016479321609949693,0.0,0.0,32
4,0.1536382477643201,0.15362964557425585,0.0048513852489122655,0.0037523816026805434,0.0,0.0,64,3.6048101347405463,3.6047796371858567,0.01622211620269809,0.014304339980299119,0.0,0.0,32
