epoch,pilot_label,train_total,train_forward,train_spatial_s0,train_spatial_sg,train_temporal_s0,train_temporal_sg,train_grace,train_n_samples,val_total,val_forward,val_spatial_s0,val_spatial_sg,val_temporal_s0,val_temporal_sg,val_grace,val_n_samples
1,grouped_support_expanded_grace_uncertainty_anom,0.4068125911406241,0.1700061055133119,0.009018925026369591,0.008019075717311353,0.002393432377236119,0.0020134694830630908,4.735744841893514,120,2.4970978746811547,1.42863928625981,0.0183107464419057,0.021027746967350443,0.0005665481068717782,0.0005137322325026617,21.368374188741047,60
2,grouped_support_expanded_grace_uncertainty_anom,0.40679303530293204,0.17000605198554694,0.007402310471904153,0.00831062182939301,0.0022326524211772874,0.002956628779550859,4.735373417536418,120,2.4971475450942915,1.4286387545367083,0.01691781645640731,0.028858547611162067,0.0005786933984685068,0.000762875946626688,21.36924648284912,60
3,grouped_support_expanded_grace_uncertainty_anom,0.4067744949172872,0.17000599480234085,0.007303833222249523,0.013529981447694203,0.0024832295241746277,0.005231247668659004,4.734876147905985,120,2.4971822751065096,1.428638298685352,0.015886212124799688,0.03670763034994404,0.000675585589002973,0.0014905116899171845,21.36980520884196,60
4,grouped_support_expanded_grace_uncertainty_anom,0.40674773081361004,0.17000599444921438,0.00854536450157563,0.019410939328372477,0.003218299321694455,0.007511896527042457,4.734168227513631,120,2.4971768426398437,1.428638677423199,0.015440309513360262,0.02938981478412946,0.000822266024867228,0.001495363020512741,21.369843419392904,60
