variant,val_forward,val_total,train_forward,best_val_forward
revised_support_bounded,3.6047796371858567,3.6048101347405463,0.15362964557425585,3.6047796371858567
grouped_support_temporal,2.1527727246284485,2.1528045863378793,0.09530760298366658,2.1527727246284485
grouped_support_expanded,1.4286398053169251,1.4286608452598253,0.17000612701910237,1.4286393945415814
phase1_fuller,2.4986170306025692,2.498633650286744,0.23415039026440354,2.4986164928413928
phase1_fuller_finetune,2.4986169438343495,2.498639785218984,0.2341503930899004,2.4986163816259555
