epoch,pilot_label,train_total,train_forward,train_spatial_s0,train_spatial_sg,train_temporal_s0,train_temporal_sg,train_grace,train_n_samples,val_total,val_forward,val_spatial_s0,val_spatial_sg,val_temporal_s0,val_temporal_sg,val_grace,val_n_samples
1,grouped_support_expanded_grace_weak,0.2701176213294578,0.17000612023596962,0.011571031226776541,0.010350912766686331,0.001918280665995553,0.0016868301264670058,2.0017554461956024,120,1.5329867652306954,1.428639169409871,0.019780946895480156,0.026094607822597028,0.000509815617018224,0.000491281404295781,2.086023949086666,60
2,grouped_support_expanded_grace_weak,0.24588024210728085,0.17000608816742896,0.012268073150577645,0.012498330720700324,0.0018580717291721764,0.002136753679224057,1.5169477288921673,120,1.5360702170059084,1.428639107942581,0.019373104721307755,0.02616375582292676,0.0004782365785407213,0.0005573262875259388,2.1477005422115325,60
3,grouped_support_expanded_grace_weak,0.22930975280469285,0.1700061005850633,0.01211349880322814,0.012024158860246341,0.0017970022245814713,0.0020205628362115627,1.1855520935108264,120,1.5349533149972558,1.4286390393972397,0.018952516202504436,0.027570375769088665,0.0004908789448866931,0.0005367423783657917,2.125344784061114,60
4,grouped_support_expanded_grace_weak,0.22509948707884178,0.1700060812678809,0.01214144069235772,0.012308699288405478,0.001799111500925695,0.0020677749237317283,1.1013404230897625,120,1.5255405413607757,1.4286390022685131,0.01908190141742428,0.028892254208525023,0.0005018868726134921,0.000512540096436472,1.9370611707369487,60
