epoch,pilot_label,train_total,train_forward,train_spatial_s0,train_spatial_sg,train_temporal_s0,train_temporal_sg,train_n_samples,val_total,val_forward,val_spatial_s0,val_spatial_sg,val_temporal_s0,val_temporal_sg,val_n_samples
1,grouped_support_expanded_reliability,0.7121754307144632,0.7121208960345636,0.021896122989710422,0.029828029921433578,0.0028994918859098105,0.00271623317967169,120,6.065663026024898,6.065630129476388,0.016214708890765907,0.016477908908079066,0.0003949562766744445,0.0004442374163772911,60
2,grouped_support_expanded_reliability,0.7121357484410207,0.7121199577736358,0.007428935932694003,0.006702045611261079,0.0016336753023400282,0.0016912212949440194,120,6.065654898434877,6.065629541128874,0.012858879457538327,0.012319010185698668,0.0003145507920028952,0.00032521051471121607,60
3,grouped_support_expanded_reliability,0.7121301498108854,0.7121199065664162,0.004844033980043605,0.004242448125539037,0.0011937590895589286,0.001128431018393409,120,6.065648729850849,6.065629236400127,0.009986047632992268,0.009437366505153477,0.00026280626892306224,0.0002671356504530801,60
4,grouped_support_expanded_reliability,0.7121280634930979,0.7121199097794791,0.003409570356598124,0.003788034765360256,0.0009252759569790215,0.0010028281232128697,120,6.06564637819926,6.065628946075837,0.008945017214864492,0.008456453230852883,0.00022859468541961783,0.0002376661070835932,60
