epoch,pilot_label,train_total,train_forward,train_spatial_s0,train_spatial_sg,train_temporal_s0,train_temporal_sg,train_hydrology,train_n_samples,val_total,val_forward,val_spatial_s0,val_spatial_sg,val_temporal_s0,val_temporal_sg,val_hydrology,val_n_samples
1,grouped_support_expanded_w3ra_weak,0.17002964906472093,0.1700061056180857,0.008386390229376654,0.007401934223404775,0.0019585935183082863,0.0017522667675317885,0.00011801091801923272,120,1.4287031394739946,1.4286396590371926,0.015765940103059015,0.015480162048091491,0.0004204041234819063,0.00041648332286664904,0.0006362934662320185,60
2,grouped_support_expanded_w3ra_weak,0.1700220810327058,0.1700061393242019,0.005879599179994936,0.005265753487280259,0.0013923083366535137,0.0012293284610980966,6.97551581879452e-05,120,1.4286939466993014,1.4286396918197473,0.013722270649547378,0.013318900034452479,0.0003758573276475848,0.00037972202965950904,0.0005368129737083412,60
3,grouped_support_expanded_w3ra_weak,0.17001904209222024,0.17000612815997254,0.004650060357137894,0.004216276687414696,0.0011724465550893607,0.0010561466037567395,5.8667628275088644e-05,120,1.428687618424495,1.4286397424836954,0.012422848601515095,0.011871670753074189,0.0003465672370415026,0.0003512530083147188,0.00046460577790033615,60
4,grouped_support_expanded_w3ra_weak,0.17001745491288603,0.17000612857130667,0.003983271775844817,0.003666747477836907,0.0010069469428951076,0.0009331052485019123,5.41318257205603e-05,120,1.42868294082582,1.4286397812267144,0.011385105379546682,0.010793587123043836,0.00032591840863460675,0.00032965411567905295,0.00041319404820872784,60
