epoch,train_total,train_forward,train_spatial_s0,train_spatial_sg,train_temporal_s0,train_temporal_sg,train_n_samples,val_total,val_forward,val_spatial_s0,val_spatial_sg,val_temporal_s0,val_temporal_sg,val_n_samples
1,0.10701625152432825,0.10697151316708187,0.019759647140745074,0.019982552097644657,0.005257047203485854,0.00473502772001666,64,2.46725447231438,2.4672087244689465,0.022987555144936778,0.022413840546505526,0.00043423925762908766,0.0003692598288580484,32
2,0.10698715424950933,0.10697147850441979,0.006860850444354583,0.006714896790072089,0.0020853060104855103,0.0021155478825676255,64,2.4672474316321313,2.467208605259657,0.020338345115305856,0.018200129030446988,0.0003624669707278372,0.00029505810198315885,32
3,0.10698222030623583,0.10697147499013226,0.00486243392151664,0.004425846924277721,0.0015086438115758938,0.0014058580200071447,64,2.467243482824415,2.4672086010687053,0.018490054717403837,0.016162609914317727,0.00032232464172921027,0.0002559261038186378,32
4,0.10698029988998314,0.10697147400787799,0.0040989400185935665,0.003515878668622463,0.0013039512596151326,0.0011164914658365888,64,2.467240209225565,2.4672086017671973,0.0167966584849637,0.014600942056858912,0.0003005103621944727,0.00023028247414913494,32
