time,lwe_thickness_mean,uncertainty_mean
2016-01-16 12:00:00,-12.97846399530943,2.236264401879522
2016-02-14 00:00:00,-13.608066623815535,2.105385904991401
2016-03-16 12:00:00,-15.211433507527317,2.1838046894939698
2016-05-20 00:00:00,-20.142677017475165,2.3966203238356933
2016-06-16 00:00:00,-20.904915867080163,2.2930223686788853
2016-07-15 12:00:00,-16.930247970923265,2.4035813258920964
2016-08-21 12:00:00,-16.059925040779458,2.816991553582059
2016-11-27 12:00:00,-27.274131537827564,5.103723571843868
2016-12-24 12:00:00,-27.644387836368736,5.143755334174511
2017-01-21 00:00:00,-26.014246773447695,5.149433307199248
2017-03-31 12:00:00,-29.796639521043936,5.161864044851946
2017-04-24 12:00:00,-32.64790714229597,5.032415720596413
2017-05-12 12:00:00,-31.79406074435178,4.900462853235133
2017-06-11 00:00:00,-30.361931258275668,4.857995863063755
2018-06-16 00:00:00,-42.65091284977465,2.7726084368224426
2018-07-10 00:00:00,-41.29070535213773,2.566537299855985
2018-10-31 12:00:00,-38.672589762425545,2.481057863029439
2018-11-16 00:00:00,-39.4807527327022,2.203446392501632
2018-12-16 12:00:00,-41.991012917160745,2.135523661105524
2019-01-16 12:00:00,-42.63105549092707,2.109959974945131
2019-02-14 00:00:00,-37.015164045164454,2.1527997084416732
2019-03-16 12:00:00,-34.5124101380453,2.0867569409299893
2019-04-16 00:00:00,-35.99609551789982,2.086215935587717
2019-05-16 12:00:00,-36.71016633410133,2.089071954614833
2019-06-16 00:00:00,-39.545007324920675,2.101053916914389
2019-07-16 12:00:00,-39.752281533273795,2.084755018308915
2019-08-16 12:00:00,-34.46085563215216,2.1016548014699197
2019-09-16 00:00:00,-36.126734209074556,2.097098734026488
2019-10-16 12:00:00,-39.196058693420284,2.0678852758234676
2019-11-16 00:00:00,-40.65490945323944,2.0778869321726754
2019-12-16 12:00:00,-38.23302355951603,2.085099460523447
2020-01-16 12:00:00,-36.1677011880241,2.124741879765997
2020-02-15 12:00:00,-35.92135927774839,2.121809900129523
2020-03-16 12:00:00,-35.052079926618454,2.09797564123234
2020-04-16 00:00:00,-33.84235315526059,2.0783456128660895
2020-05-16 12:00:00,-35.758782326607914,2.084499937793285
2020-06-16 00:00:00,-39.035425294867416,2.0946350175835176
2020-07-16 12:00:00,-37.638416993365794,2.0788566066803487
2020-08-16 12:00:00,-36.53486015123583,2.0824600610223882
2020-09-16 00:00:00,-32.198622471974716,2.0967648012299076
2020-10-16 12:00:00,-40.78333386371884,2.096676297676333
2020-11-16 00:00:00,-44.42730986802768,2.120623250766605
2020-12-16 12:00:00,-43.996984712734886,2.0977627932865053
2021-01-16 12:00:00,-43.98998828307073,2.0864376670822846
2021-02-15 00:00:00,-45.60753079329673,2.092232273998308
2021-03-16 12:00:00,-46.57914885085073,2.092110461848212
2021-04-16 00:00:00,-46.24075995626083,2.0704232685365076
2021-05-16 12:00:00,-47.24620610233735,2.06846955817748
2021-06-16 00:00:00,-48.27517261096219,2.086740547716147
2021-07-16 12:00:00,-47.86216741183007,2.0727712411552597
2021-08-16 12:00:00,-44.18362337475231,2.069765696174657
2021-09-16 00:00:00,-44.43471418257751,2.0944436680959346
2021-10-16 12:00:00,-48.22675568323959,2.0809737325518025
2021-11-16 00:00:00,-49.747779646791,2.0845012236238003
2021-12-16 12:00:00,-52.8740431590482,2.0959442838629982
2022-01-16 12:00:00,-46.765663419678894,2.089100551467549
2022-02-15 00:00:00,-48.35838283815812,2.106000951468959
2022-03-16 12:00:00,-48.94669446639351,2.102227831785477
2022-04-16 00:00:00,-51.80829900383897,2.1015727571409197
2022-05-16 12:00:00,-53.06472981935221,2.0886499548645134
2022-06-16 00:00:00,-56.285839950513434,2.0978201346317316
2022-07-16 12:00:00,-50.47196816543591,2.1086536575429675
2022-08-16 12:00:00,-38.433825413445405,2.12050609889754
2022-09-16 00:00:00,-42.76034570950246,2.1242275492894493
2022-10-16 12:00:00,-48.879417973181916,2.1229829109627074
2022-11-16 00:00:00,-47.91949192144283,2.1234711813304785
2022-12-16 12:00:00,-50.30044348659788,2.139469971844819
2023-01-16 12:00:00,-47.20417869427243,2.1402165705512584
2023-02-15 00:00:00,-44.179368828536596,2.149915713910489
2023-03-16 12:00:00,-47.60063943017916,2.1362938252680217
2023-04-16 00:00:00,-47.57108665440141,2.133489194426971
2023-05-16 12:00:00,-49.82820727117022,2.1263155921756454
2023-06-16 00:00:00,-47.022829871841864,2.128387786369937
2023-07-16 12:00:00,-41.92346076368738,2.124508659811747
2023-08-16 12:00:00,-37.84944974580247,2.1172387279209897
2023-09-16 00:00:00,-44.42703983811613,2.1077607276586927
2023-10-16 12:00:00,-47.52252048385769,2.1251708110466714
2023-11-16 00:00:00,-48.830278379763584,2.120285084268587
2023-12-16 12:00:00,-49.72468998851641,2.1224407479793896
2024-01-16 12:00:00,-51.081441552747876,2.1374153293284026
