pixel_label,date,row,col,lat,lon,S0_pred,Sg_pred
high_coherence,2016-10-20,461,630,31.378611111097964,76.03506944441465,-0.019439697265625,0.031402587890625
high_coherence,2016-11-13,461,630,31.378611111097964,76.03506944441465,-0.0086822509765625,0.0318603515625
high_coherence,2016-12-07,461,630,31.378611111097964,76.03506944441465,-0.036956787109375,0.0252532958984375
high_coherence,2016-12-31,461,630,31.378611111097964,76.03506944441465,-0.01386260986328125,0.03289794921875
high_coherence,2017-01-24,461,630,31.378611111097964,76.03506944441465,-0.037933349609375,0.0307159423828125
high_coherence,2017-02-05,461,630,31.378611111097964,76.03506944441465,-0.0229339599609375,0.03692626953125
high_coherence,2017-02-17,461,630,31.378611111097964,76.03506944441465,-0.02593994140625,0.029937744140625
high_coherence,2017-03-01,461,630,31.378611111097964,76.03506944441465,-0.01430511474609375,0.025238037109375
high_coherence,2017-03-13,461,630,31.378611111097964,76.03506944441465,-0.00641632080078125,0.0167388916015625
high_coherence,2017-03-25,461,630,31.378611111097964,76.03506944441465,0.003498077392578125,0.00844573974609375
high_coherence,2017-04-06,461,630,31.378611111097964,76.03506944441465,-0.00818634033203125,0.0009007453918457031
high_coherence,2017-04-18,461,630,31.378611111097964,76.03506944441465,0.0026454925537109375,0.0197601318359375
high_coherence,2017-04-30,461,630,31.378611111097964,76.03506944441465,-0.04766845703125,0.00968170166015625
high_coherence,2017-05-12,461,630,31.378611111097964,76.03506944441465,0.00762939453125,0.0190887451171875
high_coherence,2017-05-24,461,630,31.378611111097964,76.03506944441465,-0.0225372314453125,0.01904296875
high_coherence,2017-06-05,461,630,31.378611111097964,76.03506944441465,-0.055572509765625,0.0113372802734375
high_coherence,2017-06-29,461,630,31.378611111097964,76.03506944441465,-0.0204010009765625,0.0286102294921875
high_coherence,2017-07-11,461,630,31.378611111097964,76.03506944441465,-0.035308837890625,0.0316162109375
high_coherence,2017-07-23,461,630,31.378611111097964,76.03506944441465,-0.040435791015625,0.040496826171875
high_coherence,2017-08-04,461,630,31.378611111097964,76.03506944441465,-0.060089111328125,0.035888671875
high_coherence,2017-08-16,461,630,31.378611111097964,76.03506944441465,-0.047210693359375,0.038818359375
high_coherence,2017-08-28,461,630,31.378611111097964,76.03506944441465,-0.048309326171875,0.035614013671875
high_coherence,2017-09-09,461,630,31.378611111097964,76.03506944441465,-0.06146240234375,0.0333251953125
high_coherence,2017-09-21,461,630,31.378611111097964,76.03506944441465,-0.043121337890625,0.0313720703125
high_coherence,2017-10-03,461,630,31.378611111097964,76.03506944441465,-0.07208251953125,0.030548095703125
high_coherence,2017-10-15,461,630,31.378611111097964,76.03506944441465,-0.036651611328125,0.032562255859375
high_coherence,2017-10-27,461,630,31.378611111097964,76.03506944441465,-0.0106964111328125,0.0287322998046875
high_coherence,2017-11-08,461,630,31.378611111097964,76.03506944441465,-0.07342529296875,0.0237884521484375
high_coherence,2017-11-20,461,630,31.378611111097964,76.03506944441465,-0.0252838134765625,0.027801513671875
high_coherence,2017-12-02,461,630,31.378611111097964,76.03506944441465,-0.040618896484375,0.0294647216796875
high_coherence,2017-12-14,461,630,31.378611111097964,76.03506944441465,-0.03997802734375,0.0291748046875
high_coherence,2017-12-26,461,630,31.378611111097964,76.03506944441465,-0.043060302734375,0.027862548828125
high_coherence,2018-01-07,461,630,31.378611111097964,76.03506944441465,-0.03765869140625,0.0298614501953125
high_coherence,2018-01-19,461,630,31.378611111097964,76.03506944441465,-0.040283203125,0.029998779296875
high_coherence,2018-01-31,461,630,31.378611111097964,76.03506944441465,-0.041290283203125,0.0310821533203125
high_coherence,2018-02-12,461,630,31.378611111097964,76.03506944441465,-0.044769287109375,0.0316162109375
high_coherence,2018-02-24,461,630,31.378611111097964,76.03506944441465,-0.042449951171875,0.032928466796875
high_coherence,2018-03-08,461,630,31.378611111097964,76.03506944441465,-0.039306640625,0.033477783203125
high_coherence,2018-03-20,461,630,31.378611111097964,76.03506944441465,-0.0438232421875,0.03277587890625
high_coherence,2018-04-01,461,630,31.378611111097964,76.03506944441465,-0.040802001953125,0.032928466796875
high_coherence,2018-04-13,461,630,31.378611111097964,76.03506944441465,-0.04974365234375,0.03216552734375
high_coherence,2018-04-25,461,630,31.378611111097964,76.03506944441465,-0.027679443359375,0.03094482421875
high_coherence,2018-05-07,461,630,31.378611111097964,76.03506944441465,-0.036651611328125,0.0260467529296875
high_coherence,2018-05-19,461,630,31.378611111097964,76.03506944441465,-0.0170440673828125,0.0201416015625
high_coherence,2018-05-31,461,630,31.378611111097964,76.03506944441465,-0.00424957275390625,0.01358795166015625
high_coherence,2018-06-12,461,630,31.378611111097964,76.03506944441465,-0.019287109375,0.00919342041015625
high_coherence,2018-06-24,461,630,31.378611111097964,76.03506944441465,0.00235748291015625,0.007110595703125
high_coherence,2018-07-18,461,630,31.378611111097964,76.03506944441465,-0.005840301513671875,0.008209228515625
high_coherence,2018-07-30,461,630,31.378611111097964,76.03506944441465,0.014617919921875,0.01406097412109375
high_coherence,2018-08-11,461,630,31.378611111097964,76.03506944441465,-0.0233154296875,0.01433563232421875
high_coherence,2018-08-23,461,630,31.378611111097964,76.03506944441465,0.0011043548583984375,0.0193328857421875
high_coherence,2018-09-04,461,630,31.378611111097964,76.03506944441465,-0.08148193359375,0.027496337890625
high_coherence,2018-09-16,461,630,31.378611111097964,76.03506944441465,-0.0311737060546875,0.044281005859375
high_coherence,2018-09-28,461,630,31.378611111097964,76.03506944441465,-0.04815673828125,0.0396728515625
high_coherence,2018-10-10,461,630,31.378611111097964,76.03506944441465,-0.0382080078125,0.036956787109375
high_coherence,2018-10-22,461,630,31.378611111097964,76.03506944441465,-0.039398193359375,0.0322265625
high_coherence,2018-11-03,461,630,31.378611111097964,76.03506944441465,-0.037567138671875,0.034088134765625
high_coherence,2018-11-15,461,630,31.378611111097964,76.03506944441465,-0.05157470703125,0.035797119140625
high_coherence,2018-11-27,461,630,31.378611111097964,76.03506944441465,-0.03778076171875,0.037078857421875
high_coherence,2018-12-09,461,630,31.378611111097964,76.03506944441465,-0.056640625,0.035888671875
high_coherence,2018-12-21,461,630,31.378611111097964,76.03506944441465,-0.05914306640625,0.036834716796875
high_coherence,2019-01-02,461,630,31.378611111097964,76.03506944441465,-0.045166015625,0.0384521484375
high_coherence,2019-01-14,461,630,31.378611111097964,76.03506944441465,-0.041107177734375,0.03729248046875
high_coherence,2019-01-26,461,630,31.378611111097964,76.03506944441465,-0.031524658203125,0.032928466796875
