epoch,pilot_label,train_total,train_forward,train_spatial_s0,train_spatial_sg,train_temporal_s0,train_temporal_sg,train_n_samples,val_total,val_forward,val_spatial_s0,val_spatial_sg,val_temporal_s0,val_temporal_sg,val_n_samples
1,grouped_support,0.09535652554041008,0.09530760032794205,0.022203883236215916,0.02342629645136185,0.0034075883613695623,0.003182345089953742,64,2.1528193585108966,2.152772770728916,0.023579523985972628,0.02275354537414387,0.00030177059534253203,0.00030065258624745184,32
2,grouped_support,0.09532484204828506,0.09530760750931222,0.007658789931156207,0.007909256702987477,0.0016933822917053476,0.0016393345458709518,64,2.152811876963824,2.1527727618813515,0.021171591186430305,0.017689928354229778,0.0002642060030666471,0.00023819389707568916,32
3,grouped_support,0.09531917455751682,0.09530760443158215,0.00540756407281151,0.004850158220506273,0.0014075706249059294,0.0012145853920628724,64,2.1528071828652173,2.152772741159424,0.018938261579023674,0.01531445060390979,0.00023845374835218536,0.00020278030115150614,32
4,grouped_support,0.0953166666222387,0.09530760298366658,0.004331330990680726,0.0036597461912606377,0.0011923147567358683,0.0009540607561575598,64,2.1528045863378793,2.1527727246284485,0.017394775510183536,0.014292400781414472,0.00022049688232073095,0.00018195312259194907,32
