time,source_month,S0_mean,Sg_mean,S0_mean_anom,Sg_mean_anom
2016-01-06,2016-01-01,0.02539833021379035,0.004351463817382762,-0.013787023793299373,-0.00777320882077751
2016-01-30,2016-01-01,0.02539833021379035,0.004351463817382762,-0.013787023793299373,-0.00777320882077751
2016-02-23,2016-02-01,0.02857591057261323,0.0033351003143618128,-0.01060944343447649,-0.00878957232379846
2016-03-18,2016-03-01,0.043531290709741495,0.003758882078584575,0.004345936702651775,-0.008365790559575698
2016-04-11,2016-04-01,0.027045195058748958,0.004725994272140986,-0.012140158948340763,-0.007398678366019287
2016-05-05,2016-05-01,0.015740507261773274,0.0037547126029138004,-0.023444846745316442,-0.008369960035246472
2016-05-29,2016-05-01,0.015740507261773274,0.0037547126029138004,-0.023444846745316442,-0.008369960035246472
2016-07-16,2016-07-01,0.06012905436547117,0.008844888388643786,0.02094370035838144,-0.0032797842495164856
2016-08-09,2016-08-01,0.06639123723310182,0.02756901576340124,0.027205883226012095,0.015444343125240964
2016-09-02,2016-09-01,0.05449217043388936,0.024275956607351636,0.015306816426799633,0.012151283969191367
2016-09-26,2016-09-01,0.05449217043388936,0.024275956607351636,0.015306816426799633,0.012151283969191367
2016-10-20,2016-10-01,0.03250672494699116,0.009225584833459161,-0.006678629060098565,-0.0028990878047011103
2016-11-13,2016-11-01,0.0169455311173536,0.0043083659740786205,-0.022239822889736124,-0.007816306664081651
2016-12-07,2016-12-01,0.011721555416480671,0.003161249766156362,-0.027463798590609052,-0.00896342287200391
2016-12-31,2016-12-01,0.011721555416480671,0.003161249766156362,-0.027463798590609052,-0.00896342287200391
2017-01-24,2017-01-01,0.033172742669150705,0.0033914478970526207,-0.006012611337939015,-0.00873322474110765
2017-02-05,2017-02-01,0.04589202075714929,0.00993136109222015,0.006706666750059568,-0.002193311545940123
2017-02-17,2017-02-01,0.04589202075714929,0.00993136109222015,0.006706666750059568,-0.002193311545940123
2017-03-01,2017-03-01,0.038160817159983686,0.008420873865341183,-0.0010245368471060315,-0.0037037987728190903
2017-03-13,2017-03-01,0.038160817159983686,0.008420873865341183,-0.0010245368471060315,-0.0037037987728190903
2017-03-25,2017-03-01,0.038160817159983686,0.008420873865341183,-0.0010245368471060315,-0.0037037987728190903
2017-04-06,2017-04-01,0.025944583003012396,0.006377916082203654,-0.013240771004077324,-0.005746756555956618
2017-04-18,2017-04-01,0.025944583003012396,0.006377916082203654,-0.013240771004077324,-0.005746756555956618
2017-04-30,2017-04-01,0.025944583003012396,0.006377916082203654,-0.013240771004077324,-0.005746756555956618
2017-05-12,2017-05-01,0.01660190196359537,0.005501952811886516,-0.022583452043494354,-0.006622719826273755
2017-05-24,2017-05-01,0.01660190196359537,0.005501952811886516,-0.022583452043494354,-0.006622719826273755
2017-06-05,2017-06-01,0.032230252326804744,0.005370981997196149,-0.006955101680284974,-0.0067536906409641235
2017-06-29,2017-06-01,0.032230252326804744,0.005370981997196149,-0.006955101680284974,-0.0067536906409641235
2017-07-11,2017-07-01,0.061439617024379806,0.018836776941760995,0.022254263017290096,0.006712104303600723
2017-07-23,2017-07-01,0.061439617024379806,0.018836776941760995,0.022254263017290096,0.006712104303600723
2017-08-04,2017-08-01,0.06363967118393817,0.04252346393670467,0.024454317176848435,0.030398791298544395
2017-08-16,2017-08-01,0.06363967118393817,0.04252346393670467,0.024454317176848435,0.030398791298544395
2017-08-28,2017-08-01,0.06363967118393817,0.04252346393670467,0.024454317176848435,0.030398791298544395
2017-09-09,2017-09-01,0.05938283228517738,0.028459009335387288,0.020197478278087655,0.016334336697227017
2017-09-21,2017-09-01,0.05938283228517738,0.028459009335387288,0.020197478278087655,0.016334336697227017
2017-10-03,2017-10-01,0.03474648909147561,0.011963952503201387,-0.004438864915614109,-0.00016072013495888507
2017-10-15,2017-10-01,0.03474648909147561,0.011963952503201387,-0.004438864915614109,-0.00016072013495888507
2017-10-27,2017-10-01,0.03474648909147561,0.011963952503201387,-0.004438864915614109,-0.00016072013495888507
2017-11-08,2017-11-01,0.023621734243926884,0.005639362479675181,-0.015563619763162838,-0.00648531015848509
2017-11-20,2017-11-01,0.023621734243926884,0.005639362479675181,-0.015563619763162838,-0.00648531015848509
2017-12-02,2017-12-01,0.02786437381376816,0.0044174627029460066,-0.011320980193321561,-0.007707209935214266
2017-12-14,2017-12-01,0.02786437381376816,0.0044174627029460066,-0.011320980193321561,-0.007707209935214266
2017-12-26,2017-12-01,0.02786437381376816,0.0044174627029460066,-0.011320980193321561,-0.007707209935214266
2018-01-07,2018-01-01,0.024186458026837956,0.00359039984977063,-0.014998895980251762,-0.00853427278838964
2018-01-19,2018-01-01,0.024186458026837956,0.00359039984977063,-0.014998895980251762,-0.00853427278838964
2018-01-31,2018-01-01,0.024186458026837956,0.00359039984977063,-0.014998895980251762,-0.00853427278838964
2018-02-12,2018-02-01,0.02801497795942962,0.0026832619044595634,-0.011170376047660106,-0.009441410733700709
2018-02-24,2018-02-01,0.02801497795942962,0.0026832619044595634,-0.011170376047660106,-0.009441410733700709
2018-03-08,2018-03-01,0.027364140307772095,0.0020604547237772423,-0.011821213699317629,-0.010064217914383028
2018-03-20,2018-03-01,0.027364140307772095,0.0020604547237772423,-0.011821213699317629,-0.010064217914383028
2018-04-01,2018-04-01,0.02310747325913362,0.0018572271600549059,-0.0160778807479561,-0.010267445478105366
2018-04-13,2018-04-01,0.02310747325913362,0.0018572271600549059,-0.0160778807479561,-0.010267445478105366
2018-04-25,2018-04-01,0.02310747325913362,0.0018572271600549059,-0.0160778807479561,-0.010267445478105366
2018-05-07,2018-05-01,0.019573095984015333,0.002254084996534703,-0.01961225802307439,-0.009870587641625569
2018-05-19,2018-05-01,0.019573095984015333,0.002254084996534703,-0.01961225802307439,-0.009870587641625569
2018-05-31,2018-05-01,0.019573095984015333,0.002254084996534703,-0.01961225802307439,-0.009870587641625569
2018-06-12,2018-06-01,0.022297287310509183,0.0025219909199073196,-0.016888066696580533,-0.009602681718252954
2018-06-24,2018-06-01,0.022297287310509183,0.0025219909199073196,-0.016888066696580533,-0.009602681718252954
