reach_id,time_str,river_name,p_lat,p_lon,wse,width,slope2,d_x_area,dschg_c,source_file,product,time
21500900204,2024-01-14T02:35:17Z,Serchio,43.8539327,10.476405,,60.665295,,,,SWOT_L2_HR_RiverSP_Reach_009_279_EU_20240114T023350_20240114T023358_PIC0_01.zip,river,2024-01-14 02:35:17+00:00
21500900034,2024-01-22T11:39:21Z,Serchio,43.78946261,10.4164431,,3711.741096,,,,SWOT_L2_HR_RiverSP_Reach_009_514_EU_20240122T113641_20240122T113650_PIC0_01.zip,river,2024-01-22 11:39:21+00:00
21500900184,2024-02-03T23:20:22Z,Serchio,43.8188553,10.4136918,,164.680008,,,,SWOT_L2_HR_RiverSP_Reach_010_279_EU_20240203T231856_20240203T231904_PIC0_01.zip,river,2024-02-03 23:20:22+00:00
21500900021,2024-02-12T08:24:26Z,Serchio,43.78117023,10.399042,4.713,1085.174076,0.00106933157,,,SWOT_L2_HR_RiverSP_Reach_010_514_EU_20240212T082146_20240212T082154_PIC0_01.zip,river,2024-02-12 08:24:26+00:00
21500800214,2024-03-05T18:27:27Z,Fiume Arno,43.7710951,11.2443983,,108.592636,,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:27+00:00
21500800364,2024-03-05T18:27:27Z,Fiume Arno,43.72136726,11.4558202,,60.653976,,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:27+00:00
21407000015,2024-03-05T18:27:56Z,Po di Gnocca,44.88633902,12.3402252,0.6934,129.177912,6.558625e-05,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:56+00:00
21407000045,2024-03-05T18:27:56Z,Po di Goro,44.93225211,12.2569541,1.4766,212.86415,7.8018e-05,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:56+00:00
21406100275,2024-03-05T18:27:56Z,Po di Venezia,44.95659643,12.3650664,1.1335,347.645761,-5.3264e-05,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:56+00:00
21407000035,2024-03-05T18:27:56Z,Po di Goro,44.88212683,12.2910628,0.7262,161.174157,7.562249e-05,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:56+00:00
21407000025,2024-03-05T18:27:56Z,no_data,44.82749551,12.3520721,0.2164,204.262364,4.530558e-05,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:56+00:00
21406100295,2024-03-05T18:27:56Z,Po di Venezia,45.02022837,12.1647155,2.8818,342.7932,9.684026e-05,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:56+00:00
21406100285,2024-03-05T18:27:56Z,Po di Venezia,44.97907136,12.2580871,1.9802,370.56953,9.02605e-05,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:56+00:00
21404000425,2024-03-05T18:27:57Z,Adige; Fiume Adige,45.11811217,12.169194,0.904,83.514598,6.678026e-05,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:57+00:00
21404000415,2024-03-05T18:27:57Z,Fiume Adige,45.12610537,12.2744918,0.5751,96.79693,1.134451e-05,,,SWOT_L2_HR_RiverSP_Reach_011_557_EU_20240305T182723_20240305T182725_PIC0_01.zip,river,2024-03-05 18:27:57+00:00
21406500061,2024-03-06T18:28:27Z,Po,45.09545589,9.4901032,,35.006884,,,,SWOT_L2_HR_RiverSP_Reach_012_001_EU_20240306T182734_20240306T182736_PIC0_01.zip,river,2024-03-06 18:28:27+00:00
21406500051,2024-03-06T18:28:27Z,Po,45.11288369,9.6007179,48.4531,81.690839,8.270349e-05,,,SWOT_L2_HR_RiverSP_Reach_012_001_EU_20240306T182734_20240306T182736_PIC0_01.zip,river,2024-03-06 18:28:27+00:00
21406500041,2024-03-06T18:28:27Z,Po,45.07148237,9.704767,45.3347,275.879281,0.00019399341,,,SWOT_L2_HR_RiverSP_Reach_012_001_EU_20240306T182734_20240306T182736_PIC0_01.zip,river,2024-03-06 18:28:27+00:00
21406500031,2024-03-06T18:28:27Z,Po,45.08910017,9.7847586,43.2329,368.584331,0.00017364903,,,SWOT_L2_HR_RiverSP_Reach_012_001_EU_20240306T182734_20240306T182736_PIC0_01.zip,river,2024-03-06 18:28:27+00:00
21406500071,2024-03-06T18:28:27Z,Po,45.11737939,9.3109347,58.4553,297.109303,-0.0005034414,,,SWOT_L2_HR_RiverSP_Reach_012_001_EU_20240306T182734_20240306T182736_PIC0_01.zip,river,2024-03-06 18:28:27+00:00
21406400014,2024-03-06T18:28:28Z,Adda,45.13676214,9.8763325,37.6142,59.542454,0.0011976557,,,SWOT_L2_HR_RiverSP_Reach_012_001_EU_20240306T182734_20240306T182736_PIC0_01.zip,river,2024-03-06 18:28:28+00:00
21406300011,2024-03-14T03:31:25Z,Po,45.00223735,10.6801087,20.0995,377.02109,0.0001321533,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:25+00:00
21406100123,2024-03-14T03:31:25Z,Fiume Mincio,45.14246728,10.8162187,14.0375,,,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:25+00:00
21404000011,2024-03-14T03:31:26Z,Adige,45.13669319,11.9340853,2.8238,63.500379,3.187426e-05,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:26+00:00
21404000021,2024-03-14T03:31:26Z,Adige,45.1152242,11.8085946,3.384,71.624157,0.00014179422,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:26+00:00
21404000435,2024-03-14T03:31:26Z,Adige,45.13738683,12.0558708,0.6494,56.948935,0.00021479359,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:26+00:00
21407000055,2024-03-14T03:31:35Z,Po di Goro,44.94808193,12.128055,3.8637,74.61395,0.00012258482,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:35+00:00
21406100021,2024-03-14T03:31:35Z,Po,44.94767275,11.7511479,7.3399,372.860631,0.00010662124,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:35+00:00
21406100315,2024-03-14T03:31:35Z,Po,44.97645748,12.0255272,5.5798,343.350597,0.00010906829,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:35+00:00
21406100305,2024-03-14T03:31:35Z,Po di Venezia,44.99976903,12.0782068,4.2072,389.021322,8.132416e-05,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:35+00:00
21406100031,2024-03-14T03:31:35Z,Po,44.89965067,11.6362292,8.5303,521.877661,9.824189e-05,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:35+00:00
21406100011,2024-03-14T03:31:35Z,no_data,44.97788826,11.9055543,6.345,371.42175,4.143735e-05,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:35+00:00
21500800234,2024-03-14T03:31:46Z,Fiume Arno,43.76500389,11.2673403,,21.927727,,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800241,2024-03-14T03:31:46Z,Fiume Arno,43.76412125,11.2917186,45.2392,39.486221,-0.000847856,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800254,2024-03-14T03:31:46Z,Fiume Arno,43.76234794,11.3160621,,4.847974,,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800264,2024-03-14T03:31:46Z,Fiume Arno,43.76456329,11.3232663,51.7645,107.440688,0.00068566362,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800274,2024-03-14T03:31:46Z,Fiume Arno,43.76832184,11.331508,54.154,105.675932,0.00027539607,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800314,2024-03-14T03:31:46Z,Fiume Arno,43.78146667,11.3605945,,140.747204,,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800301,2024-03-14T03:31:46Z,Fiume Arno,43.77298059,11.3559331,57.5276,94.537861,0.00170718257,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800324,2024-03-14T03:31:46Z,Fiume Arno,43.78330118,11.3692522,63.4868,67.903911,0.00060508339,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800331,2024-03-14T03:31:46Z,Fiume Arno,43.78712321,11.3824156,63.6719,89.329314,-0.0018210564,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800351,2024-03-14T03:31:46Z,Fiume Arno,43.75962957,11.4430708,82.5887,56.722474,0.00290056756,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800221,2024-03-14T03:31:46Z,Fiume Arno,43.76715202,11.2554943,41.9651,59.334214,-0.0001175549,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
