reach_id,river_name,n_obs
21406200021,Fiume Oglio,28
21406300031,Parma; Po,28
21406300041,Parma,28
21406300051,Parma; Po,28
21406300061,Po,28
21404000021,Adige,27
21404000031,Adige,27
21404000041,Adige,27
21406100031,Po,27
21406100041,Po,27
21406100051,Po,27
21500800061,Fiume Arno,27
21500800074,Fiume Arno,27
21500800081,Fiume Arno,27
21500800094,Fiume Arno,27
