year,bperp
2018.0027397260274,0.0
2018.0027397260274,175.0
2018.0027397260274,175.0
2018.0027397260274,175.0
2018.0027397260274,175.0
2018.0191780821917,0.0
2018.0191780821917,175.0
2018.0191780821917,175.0
2018.0191780821917,175.0
2018.0191780821917,175.0
2018.035616438356,0.0
2018.035616438356,175.0
2018.035616438356,175.0
2018.035616438356,175.0
2018.035616438356,175.0
2018.0520547945205,0.0
2018.0520547945205,175.0
2018.0520547945205,175.0
2018.0520547945205,175.0
2018.0520547945205,175.0
2018.0684931506848,0.0
2018.0684931506848,175.0
2018.0684931506848,175.0
2018.0684931506848,175.0
2018.0684931506848,175.0
2018.0849315068492,0.0
2018.0849315068492,175.0
2018.0849315068492,175.0
2018.0849315068492,175.0
2018.0849315068492,175.0
2018.1013698630136,0.0
2018.1013698630136,175.0
2018.1013698630136,175.0
2018.1013698630136,175.0
2018.1013698630136,175.0
2018.1178082191782,0.0
2018.1178082191782,175.0
2018.1178082191782,175.0
2018.1178082191782,175.0
2018.1178082191782,175.0
2018.1342465753426,0.0
2018.1342465753426,175.0
2018.1342465753426,175.0
2018.1342465753426,175.0
2018.1342465753426,175.0
2018.150684931507,0.0
2018.150684931507,175.0
2018.150684931507,175.0
2018.150684931507,175.0
2018.150684931507,175.0
2018.1671232876713,0.0
2018.1671232876713,175.0
2018.1671232876713,175.0
2018.1671232876713,175.0
2018.1671232876713,175.0
2018.1835616438357,0.0
2018.1835616438357,175.0
2018.1835616438357,175.0
2018.1835616438357,175.0
2018.1835616438357,175.0
2018.2,0.0
2018.2,175.0
2018.2,175.0
2018.2,175.0
2018.2,175.0
2018.2164383561644,0.0
2018.2164383561644,175.0
2018.2164383561644,175.0
2018.2164383561644,175.0
2018.2164383561644,175.0
2018.2328767123288,0.0
2018.2328767123288,175.0
2018.2328767123288,175.0
2018.2328767123288,175.0
2018.2328767123288,175.0
2018.2493150684932,0.0
2018.2493150684932,175.0
2018.2493150684932,175.0
2018.2493150684932,175.0
2018.2493150684932,175.0
2018.2657534246575,0.0
2018.2657534246575,175.0
2018.2657534246575,175.0
2018.2657534246575,175.0
2018.2657534246575,175.0
2018.282191780822,0.0
2018.282191780822,175.0
2018.282191780822,175.0
2018.282191780822,175.0
2018.282191780822,175.0
2018.2986301369863,0.0
2018.2986301369863,175.0
2018.2986301369863,175.0
2018.2986301369863,175.0
2018.2986301369863,175.0
2018.3150684931506,0.0
2018.3150684931506,175.0
2018.3150684931506,175.0
2018.3150684931506,175.0
2018.3150684931506,175.0
2018.331506849315,0.0
2018.331506849315,175.0
2018.331506849315,175.0
2018.331506849315,175.0
2018.331506849315,175.0
2018.3479452054794,0.0
2018.3479452054794,175.0
2018.3479452054794,175.0
2018.3479452054794,175.0
2018.3479452054794,175.0
2018.3643835616438,0.0
2018.3643835616438,175.0
2018.3643835616438,175.0
2018.3643835616438,175.0
2018.3643835616438,175.0
2018.3808219178081,0.0
2018.3808219178081,175.0
2018.3808219178081,175.0
2018.3808219178081,175.0
2018.3808219178081,175.0
2018.3972602739725,0.0
2018.3972602739725,175.0
2018.3972602739725,175.0
2018.3972602739725,175.0
2018.3972602739725,175.0
2018.4136986301369,0.0
2018.4136986301369,175.0
2018.4136986301369,175.0
2018.4136986301369,175.0
2018.4136986301369,175.0
2018.4301369863015,0.0
2018.4301369863015,175.0
2018.4301369863015,175.0
2018.4301369863015,175.0
2018.4301369863015,175.0
2018.4465753424658,0.0
2018.4465753424658,175.0
2018.4465753424658,175.0
2018.4465753424658,175.0
2018.4465753424658,175.0
2018.4630136986302,0.0
2018.4630136986302,175.0
2018.4630136986302,175.0
2018.4630136986302,175.0
2018.4630136986302,175.0
2018.4794520547946,0.0
2018.495890410959,0.0
2018.495890410959,175.0
2018.495890410959,175.0
2018.495890410959,175.0
2018.495890410959,175.0
2018.5287671232877,0.0
2018.5287671232877,175.0
2018.5287671232877,175.0
2018.5287671232877,175.0
2018.5287671232877,175.0
2018.545205479452,0.0
2018.545205479452,175.0
2018.545205479452,175.0
2018.545205479452,175.0
2018.545205479452,175.0
2018.5616438356165,0.0
2018.5616438356165,175.0
2018.5616438356165,175.0
2018.5616438356165,175.0
2018.5616438356165,175.0
2018.5780821917808,0.0
2018.5780821917808,175.0
2018.5780821917808,175.0
2018.5780821917808,175.0
2018.5780821917808,175.0
2018.5945205479452,0.0
2018.5945205479452,175.0
2018.5945205479452,175.0
2018.5945205479452,175.0
2018.5945205479452,175.0
2018.6109589041096,0.0
2018.6109589041096,175.0
2018.6109589041096,175.0
2018.6109589041096,175.0
2018.6109589041096,175.0
2018.627397260274,0.0
2018.627397260274,175.0
2018.627397260274,175.0
2018.627397260274,175.0
2018.627397260274,175.0
2018.6438356164383,0.0
2018.6438356164383,175.0
2018.6438356164383,175.0
2018.6438356164383,175.0
2018.6438356164383,175.0
2018.6602739726027,0.0
2018.6602739726027,175.0
2018.6602739726027,175.0
2018.6602739726027,175.0
2018.6602739726027,175.0
2018.676712328767,0.0
2018.676712328767,175.0
2018.676712328767,175.0
2018.676712328767,175.0
2018.676712328767,175.0
2018.6931506849314,0.0
2018.6931506849314,175.0
2018.6931506849314,175.0
2018.6931506849314,175.0
2018.6931506849314,175.0
2018.7095890410958,0.0
2018.7095890410958,175.0
2018.7095890410958,175.0
2018.7095890410958,175.0
2018.7095890410958,175.0
2018.7260273972602,0.0
2018.7260273972602,175.0
2018.7260273972602,175.0
2018.7260273972602,175.0
