master,slave,path,Bperp,delta_days
S1A_IW_SLC__1SDV_20180212T051035_20180212T051102_020569_02332B_2877,S1A_IW_SLC__1SDV_20180212T051100_20180212T051127_020569_02332B_C5C0,22,0,0
S1A_IW_SLC__1SDV_20180212T051035_20180212T051102_020569_02332B_2877,S1A_IW_SLC__1SDV_20180224T051035_20180224T051102_020744_0238C1_239F,22,175,11
S1A_IW_SLC__1SDV_20180212T051035_20180212T051102_020569_02332B_2877,S1A_IW_SLC__1SDV_20180224T051100_20180224T051127_020744_0238C1_90F8,22,175,12
S1A_IW_SLC__1SDV_20180212T051100_20180212T051127_020569_02332B_C5C0,S1A_IW_SLC__1SDV_20180224T051035_20180224T051102_020744_0238C1_239F,22,175,11
S1A_IW_SLC__1SDV_20180212T051100_20180212T051127_020569_02332B_C5C0,S1A_IW_SLC__1SDV_20180224T051100_20180224T051127_020744_0238C1_90F8,22,175,11
S1B_IW_SLC__1SDV_20180218T050959_20180218T051027_009673_011724_A55C,S1B_IW_SLC__1SDV_20180218T051025_20180218T051052_009673_011724_95BC,22,0,0
S1B_IW_SLC__1SDV_20180218T050959_20180218T051027_009673_011724_A55C,S1B_IW_SLC__1SDV_20180302T050959_20180302T051027_009848_011CF4_8490,22,175,12
S1B_IW_SLC__1SDV_20180218T050959_20180218T051027_009673_011724_A55C,S1B_IW_SLC__1SDV_20180302T051025_20180302T051052_009848_011CF4_223E,22,175,12
S1B_IW_SLC__1SDV_20180218T051025_20180218T051052_009673_011724_95BC,S1B_IW_SLC__1SDV_20180302T050959_20180302T051027_009848_011CF4_8490,22,175,11
S1B_IW_SLC__1SDV_20180218T051025_20180218T051052_009673_011724_95BC,S1B_IW_SLC__1SDV_20180302T051025_20180302T051052_009848_011CF4_223E,22,175,12
S1A_IW_SLC__1SDV_20180224T051035_20180224T051102_020744_0238C1_239F,S1A_IW_SLC__1SDV_20180224T051100_20180224T051127_020744_0238C1_90F8,22,0,0
S1A_IW_SLC__1SDV_20180224T051035_20180224T051102_020744_0238C1_239F,S1A_IW_SLC__1SDV_20180308T051035_20180308T051102_020919_023E42_F277,22,175,11
S1A_IW_SLC__1SDV_20180224T051035_20180224T051102_020744_0238C1_239F,S1A_IW_SLC__1SDV_20180308T051100_20180308T051127_020919_023E42_3FBD,22,175,12
S1A_IW_SLC__1SDV_20180224T051100_20180224T051127_020744_0238C1_90F8,S1A_IW_SLC__1SDV_20180308T051035_20180308T051102_020919_023E42_F277,22,175,11
S1A_IW_SLC__1SDV_20180224T051100_20180224T051127_020744_0238C1_90F8,S1A_IW_SLC__1SDV_20180308T051100_20180308T051127_020919_023E42_3FBD,22,175,11
S1B_IW_SLC__1SDV_20180302T050959_20180302T051027_009848_011CF4_8490,S1B_IW_SLC__1SDV_20180302T051025_20180302T051052_009848_011CF4_223E,22,0,0
S1B_IW_SLC__1SDV_20180302T050959_20180302T051027_009848_011CF4_8490,S1B_IW_SLC__1SDV_20180314T050959_20180314T051027_010023_0122CA_E10D,22,175,12
S1B_IW_SLC__1SDV_20180302T050959_20180302T051027_009848_011CF4_8490,S1B_IW_SLC__1SDV_20180314T051025_20180314T051052_010023_0122CA_D304,22,175,12
S1B_IW_SLC__1SDV_20180302T051025_20180302T051052_009848_011CF4_223E,S1B_IW_SLC__1SDV_20180314T050959_20180314T051027_010023_0122CA_E10D,22,175,11
S1B_IW_SLC__1SDV_20180302T051025_20180302T051052_009848_011CF4_223E,S1B_IW_SLC__1SDV_20180314T051025_20180314T051052_010023_0122CA_D304,22,175,12
S1A_IW_SLC__1SDV_20180308T051035_20180308T051102_020919_023E42_F277,S1A_IW_SLC__1SDV_20180308T051100_20180308T051127_020919_023E42_3FBD,22,0,0
S1A_IW_SLC__1SDV_20180308T051035_20180308T051102_020919_023E42_F277,S1A_IW_SLC__1SDV_20180320T051035_20180320T051102_021094_0243D0_F90B,22,175,12
S1A_IW_SLC__1SDV_20180308T051035_20180308T051102_020919_023E42_F277,S1A_IW_SLC__1SDV_20180320T051100_20180320T051127_021094_0243D0_DDDB,22,175,12
S1A_IW_SLC__1SDV_20180308T051100_20180308T051127_020919_023E42_3FBD,S1A_IW_SLC__1SDV_20180320T051035_20180320T051102_021094_0243D0_F90B,22,175,11
S1A_IW_SLC__1SDV_20180308T051100_20180308T051127_020919_023E42_3FBD,S1A_IW_SLC__1SDV_20180320T051100_20180320T051127_021094_0243D0_DDDB,22,175,12
S1B_IW_SLC__1SDV_20180314T050959_20180314T051027_010023_0122CA_E10D,S1B_IW_SLC__1SDV_20180314T051025_20180314T051052_010023_0122CA_D304,22,0,0
S1B_IW_SLC__1SDV_20180314T050959_20180314T051027_010023_0122CA_E10D,S1B_IW_SLC__1SDV_20180326T050959_20180326T051027_010198_012878_D804,22,175,12
S1B_IW_SLC__1SDV_20180314T050959_20180314T051027_010023_0122CA_E10D,S1B_IW_SLC__1SDV_20180326T051025_20180326T051052_010198_012878_D292,22,175,12
S1B_IW_SLC__1SDV_20180314T051025_20180314T051052_010023_0122CA_D304,S1B_IW_SLC__1SDV_20180326T050959_20180326T051027_010198_012878_D804,22,175,11
S1B_IW_SLC__1SDV_20180314T051025_20180314T051052_010023_0122CA_D304,S1B_IW_SLC__1SDV_20180326T051025_20180326T051052_010198_012878_D292,22,175,12
S1A_IW_SLC__1SDV_20180320T051035_20180320T051102_021094_0243D0_F90B,S1A_IW_SLC__1SDV_20180320T051100_20180320T051127_021094_0243D0_DDDB,22,0,0
S1A_IW_SLC__1SDV_20180320T051035_20180320T051102_021094_0243D0_F90B,S1A_IW_SLC__1SDV_20180401T051036_20180401T051103_021269_024958_827F,22,175,12
