label,run_key,val_forward,best_val_forward,val_total,val_hydrology,val_grace,forward_rmse_norm_mean,forward_rmse_raw_mean
Phase 1 Baseline,grouped_support_expanded,1.4286398053169251,1.4286393945415814,1.4286608452598253,,,0.9919190754493078,14.7564857006073
W3RA Weak,grouped_support_expanded_w3ra_weak,1.4286397812267144,1.4286396590371926,1.42868294082582,0.00041319404820872784,,0.9919190754493078,14.7564857006073
W3RA Stronger,grouped_support_expanded_w3ra_stronger,1.428639812891682,1.4286396839966378,1.4287413187325,0.00039277685079165773,,0.9919190754493078,14.7564857006073
GRACE Weak,grouped_support_expanded_grace_weak,1.4286390022685131,1.4286390022685131,1.5255405413607757,,1.9370611707369487,0.9919186780850092,14.75648013750712
GRACE Stronger,grouped_support_expanded_grace_stronger,1.4286389650156102,1.4286389650156102,1.8016584848364194,,1.86485286206007,0.9919186532497406,14.756479501724243
GRACE Reformulated,grouped_support_expanded_grace_uncertainty_anom,1.428638677423199,1.428638298685352,2.4971768426398437,,21.369843419392904,0.9919184098641077,14.756476322809855
