time,source_month,lwe_thickness_mean,lwe_thickness_mean_anom
2017-01-04,2017-01-01,-4.239082719516525,2.4950573765438993
2017-01-10,2017-01-01,-4.239082719516525,2.4950573765438993
2017-01-28,2017-01-01,-4.239082719516525,2.4950573765438993
2017-02-03,2017-02-01,-3.333010709524623,3.4011293865358008
2017-02-09,2017-02-01,-3.333010709524623,3.4011293865358008
2017-02-15,2017-02-01,-3.333010709524623,3.4011293865358008
2017-02-21,2017-02-01,-3.333010709524623,3.4011293865358008
2017-02-27,2017-02-01,-3.333010709524623,3.4011293865358008
2017-03-05,2017-03-01,-2.514623087596454,4.219517008463971
2017-03-11,2017-03-01,-2.514623087596454,4.219517008463971
2017-03-17,2017-03-01,-2.514623087596454,4.219517008463971
2017-03-23,2017-03-01,-2.514623087596454,4.219517008463971
2017-03-29,2017-03-01,-2.514623087596454,4.219517008463971
2017-04-04,2017-04-01,-3.850819438829592,2.883320657230832
2017-04-10,2017-04-01,-3.850819438829592,2.883320657230832
2017-04-16,2017-04-01,-3.850819438829592,2.883320657230832
2017-04-28,2017-04-01,-3.850819438829592,2.883320657230832
2017-05-04,2017-05-01,-1.3721623995280166,5.361977696532407
2017-05-10,2017-05-01,-1.3721623995280166,5.361977696532407
2017-05-16,2017-05-01,-1.3721623995280166,5.361977696532407
2017-05-22,2017-05-01,-1.3721623995280166,5.361977696532407
2017-05-28,2017-05-01,-1.3721623995280166,5.361977696532407
2017-06-03,2017-06-01,-5.907298700223913,0.8268413958365115
2017-06-09,2017-06-01,-5.907298700223913,0.8268413958365115
2017-06-15,2017-06-01,-5.907298700223913,0.8268413958365115
2017-06-21,2017-06-01,-5.907298700223913,0.8268413958365115
2017-06-27,2017-06-01,-5.907298700223913,0.8268413958365115
2017-07-03,2017-07-01,-5.572484426584612,1.161655669475812
2017-07-09,2017-07-01,-5.572484426584612,1.161655669475812
2017-07-15,2017-07-01,-5.572484426584612,1.161655669475812
2017-07-21,2017-07-01,-5.572484426584612,1.161655669475812
2017-07-27,2017-07-01,-5.572484426584612,1.161655669475812
2017-08-02,2017-08-01,-5.226509677157335,1.5076304189030891
2017-08-08,2017-08-01,-5.226509677157335,1.5076304189030891
2017-08-14,2017-08-01,-5.226509677157335,1.5076304189030891
2017-08-20,2017-08-01,-5.226509677157335,1.5076304189030891
2017-08-26,2017-08-01,-5.226509677157335,1.5076304189030891
2017-09-01,2017-09-01,-4.880534927730057,1.8536051683303663
2017-09-07,2017-09-01,-4.880534927730057,1.8536051683303663
2017-09-13,2017-09-01,-4.880534927730057,1.8536051683303663
2017-09-19,2017-09-01,-4.880534927730057,1.8536051683303663
2017-09-25,2017-09-01,-4.880534927730057,1.8536051683303663
2017-10-07,2017-10-01,-4.545720654090756,2.1884194419696663
2017-10-13,2017-10-01,-4.545720654090756,2.1884194419696663
2017-10-19,2017-10-01,-4.545720654090756,2.1884194419696663
2017-10-25,2017-10-01,-4.545720654090756,2.1884194419696663
2017-10-31,2017-10-01,-4.545720654090756,2.1884194419696663
