Codice,Data,Piezometria (m),Soggiacenza (m)
BO-F01-00,9/5/2012,22.13,2.07
BO-F01-00,25/6/2012,21.90,2.30
BO-F01-00,4/7/2012,21.90,2.30
BO-F01-00,8/8/2012,21.62,2.58
BO-F01-00,5/9/2012,21.57,2.63
BO-F01-00,24/10/2012,21.57,2.63
BO-F01-00,12/11/2012,21.65,2.55
BO-F01-00,5/12/2012,21.90,2.30
BO-F01-00,9/1/2013,22.05,2.15
BO-F01-00,5/2/2013,23.20,1.00
BO-F01-00,8/4/2013,23.64,0.56
BO-F01-00,12/6/2013,23.10,1.10
BO-F01-00,3/7/2013,22.75,1.45
BO-F01-00,11/9/2013,22.02,2.18
BO-F01-00,7/10/2013,21.90,2.30
BO-F01-00,22/1/2014,23.12,1.08
BO-F01-00,17/2/2014,23.58,0.62
BO-F01-00,5/3/2014,23.86,0.34
BO-F01-00,8/4/2014,23.49,0.71
BO-F01-00,12/5/2014,23.30,0.90
BO-F02-00,1/4/2010,21.48,2.72
BO-F02-00,24/6/2010,22.95,1.25
BO-F02-00,27/7/2010,21.60,2.60
BO-F02-00,2/11/2010,21.45,2.75
BO-F02-00,7/4/2011,21.68,2.52
BO-F02-00,29/9/2011,22.45,1.75
BO-F02-00,5/4/2012,20.79,3.41
BO-F02-00,2/5/2012,20.69,3.51
BO-F02-00,31/7/2012,19.35,4.85
BO-F02-00,9/10/2012,20.25,3.95
BO-F02-00,30/10/2012,21.00,3.20
BO-F02-00,11/3/2013,23.48,0.72
BO-F02-00,2/4/2013,23.57,0.63
BO-F02-00,29/5/2013,23.37,0.83
BO-F02-00,5/8/2013,21.23,2.97
BO-F02-00,2/9/2013,22.90,1.30
BO-F02-00,7/10/2013,21.91,2.29
BO-F02-00,25/11/2013,22.78,1.42
BO-F02-00,13/1/2014,22.95,1.25
BO-F02-00,2/4/2014,23.39,0.81
BO-F02-00,6/5/2014,23.35,0.85
BO-F02-00,23/9/2014,22.30,1.90
BO-F02-00,9/4/2015,23.30,0.90
BO-F02-00,27/10/2015,20.75,3.45
BO-F02-00,13/4/2016,22.65,1.55
BO-F02-00,6/10/2016,21.00,3.20
BO-F02-00,29/3/2017,22.25,1.95
BO-F02-00,26/9/2017,20.35,3.85
BO-F02-00,5/4/2018,23.13,1.07
BO-F02-00,9/10/2018,21.00,3.20
BO-F02-00,8/4/2019,22.57,1.63
BO-F02-00,24/9/2019,20.87,3.33
BO-F02-00,27/5/2020,21.40,2.80
BO-F02-00,22/9/2020,20.07,4.13
BO-F02-00,29/4/2021,22.48,1.72
BO-F02-00,5/10/2021,20.13,4.07
BO-F02-00,5/4/2022,20.57,3.63
BO-F02-00,11/7/2022,19.53,4.67
BO-F02-00,6/10/2022,19.23,4.97
BO-F02-00,18/1/2023,19.89,4.31
BO-F02-00,20/4/2023,20.05,4.15
BO-F02-00,4/7/2023,21.83,2.37
BO-F02-00,2/11/2023,20.48,3.72
BO-F02-00,13/2/2024,21.25,2.95
BO-F02-00,2/5/2024,22.16,2.04
BO-F02-00,16/7/2024,20.06,4.14
BO-F02-00,22/10/2024,22.39,1.81
BO-F04-00,30/3/2010,10.90,1.40
BO-F04-00,21/6/2010,10.51,1.79
BO-F04-00,28/7/2010,10.03,2.27
BO-F04-00,28/10/2010,9.71,2.59
BO-F04-00,12/4/2011,10.50,1.80
BO-F04-00,13/10/2011,9.06,3.24
BO-F04-00,3/4/2012,8.96,3.34
BO-F04-00,2/10/2012,8.73,3.57
BO-F04-00,11/4/2013,11.06,1.24
BO-F04-00,8/10/2013,9.29,3.01
BO-F04-00,13/5/2014,11.00,1.30
BO-F04-00,25/9/2014,9.33,2.97
BO-F04-00,16/4/2015,10.72,1.58
BO-F04-00,22/10/2015,9.34,2.96
BO-F04-00,21/4/2016,10.10,2.20
BO-F04-00,13/10/2016,10.02,2.28
BO-F04-00,30/3/2017,10.48,1.82
BO-F04-00,28/9/2017,9.33,2.97
BO-F04-00,11/4/2018,10.74,1.56
BO-F04-00,16/10/2018,9.95,2.35
BO-F04-00,2/4/2019,10.32,1.98
BO-F04-00,3/9/2019,9.87,2.43
BO-F04-00,25/11/2019,10.50,1.80
BO-F04-00,4/6/2020,9.95,2.35
BO-F04-00,29/9/2020,9.09,3.21
BO-F04-00,29/4/2021,9.98,2.32
BO-F04-00,7/10/2021,8.80,3.50
BO-F04-00,12/4/2022,8.90,3.40
BO-F04-00,6/7/2022,9.40,2.90
BO-F04-00,13/10/2022,8.72,3.58
BO-F04-00,18/1/2023,8.97,3.33
BO-F04-00,13/4/2023,9.46,2.84
BO-F04-00,10/7/2023,10.05,2.25
BO-F04-00,30/10/2023,9.02,3.28
BO-F04-00,8/2/2024,9.41,2.89
BO-F04-00,9/5/2024,9.88,2.42
BO-F04-00,24/7/2024,9.52,2.78
BO-F04-00,24/10/2024,10.08,2.22
BO-F07-00,6/10/2016,17.60,0.50
BO-F07-00,29/3/2017,16.73,1.37
BO-F07-00,26/9/2017,15.85,2.25
BO-F07-00,5/4/2018,17.00,1.10
BO-F07-00,9/10/2018,16.05,2.05
BO-F07-00,24/9/2019,16.12,1.98
BO-F07-00,27/5/2020,15.55,2.55
BO-F07-00,22/9/2020,16.25,1.85
BO-F07-00,22/4/2021,16.85,1.25
BO-F07-00,5/10/2021,16.03,2.07
BO-F07-00,5/4/2022,15.62,2.48
BO-F07-00,11/7/2022,14.69,3.41
BO-F07-00,6/10/2022,15.98,2.12
BO-F07-00,18/1/2023,16.58,1.52
BO-F07-00,20/4/2023,16.50,1.60
BO-F07-00,4/7/2023,15.26,2.84
BO-F07-00,2/11/2023,16.23,1.87
BO-F07-00,13/2/2024,16.47,1.63
BO-F07-00,2/5/2024,16.79,1.31
BO-F07-00,16/7/2024,15.31,2.79
BO-F07-00,22/10/2024,17.20,0.90
BO-F08-00,1/4/2010,20.09,1.11
BO-F08-00,24/6/2010,20.00,1.20
BO-F08-00,27/7/2010,19.37,1.83
BO-F08-00,2/11/2010,19.10,2.10
BO-F08-00,7/4/2011,18.54,2.66
BO-F08-00,29/9/2011,18.70,2.50
BO-F08-00,5/4/2012,18.55,2.65
BO-F08-00,9/10/2012,17.26,3.94
BO-F08-00,2/4/2013,20.27,0.93
BO-F08-00,7/10/2013,19.20,2.00
BO-F08-00,6/5/2014,20.40,0.80
BO-F08-00,23/9/2014,18.98,2.22
BO-F08-00,9/4/2015,20.12,1.08
BO-F08-00,27/10/2015,18.88,2.32
BO-F08-00,14/4/2016,19.82,1.38
BO-F08-00,6/10/2016,18.85,2.35
BO-F08-00,29/3/2017,19.50,1.70
BO-F08-00,26/9/2017,18.64,2.56
BO-F08-00,5/4/2018,19.38,1.82
BO-F08-00,9/10/2018,17.89,3.31
BO-F08-00,8/4/2019,18.77,2.43
BO-F08-00,24/9/2019,18.88,2.32
BO-F08-00,22/9/2020,18.55,2.65
BO-F08-00,22/4/2021,18.90,2.30
BO-F08-00,5/10/2021,18.04,3.16
BO-F08-00,5/4/2022,17.40,3.80
BO-F08-00,11/7/2022,17.87,3.33
BO-F08-00,6/10/2022,17.97,3.23
BO-F08-00,18/1/2023,18.79,2.41
BO-F08-00,20/4/2023,16.60,4.60
BO-F08-00,4/7/2023,17.31,3.89
BO-F08-00,2/11/2023,18.20,3.00
BO-F08-00,13/2/2024,18.67,2.53
BO-F08-00,2/5/2024,19.51,1.69
BO-F08-00,16/7/2024,19.24,1.96
BO-F08-00,22/10/2024,19.20,2.00
BO-F11-00,30/3/2010,13.44,0.86
BO-F11-00,21/6/2010,13.78,0.52
BO-F11-00,28/7/2010,12.54,1.76
BO-F11-00,28/10/2010,12.03,2.27
BO-F11-00,20/4/2011,13.03,1.27
BO-F11-00,18/10/2011,12.03,2.27
BO-F11-00,3/4/2012,11.68,2.62
BO-F11-00,16/5/2012,11.87,2.43
BO-F11-00,11/6/2012,11.98,2.32
BO-F11-00,11/7/2012,11.59,2.71
BO-F11-00,10/9/2012,11.31,2.99
BO-F11-00,2/10/2012,11.45,2.85
BO-F11-00,19/11/2012,11.64,2.66
BO-F11-00,10/12/2012,11.85,2.45
BO-F11-00,17/1/2013,12.70,1.60
BO-F11-00,18/2/2013,13.50,0.80
BO-F11-00,11/4/2013,13.57,0.73
BO-F11-00,20/5/2013,13.32,0.98
BO-F11-00,11/7/2013,12.77,1.53
BO-F11-00,9/9/2013,11.65,2.65
BO-F11-00,8/10/2013,11.63,2.67
BO-F11-00,3/12/2013,11.87,2.43
BO-F11-00,29/1/2014,12.65,1.65
BO-F11-00,19/2/2014,13.45,0.85
BO-F11-00,17/3/2014,13.46,0.84
BO-F11-00,14/4/2014,13.25,1.05
BO-F11-00,13/5/2014,13.14,1.16
BO-F11-00,25/9/2014,12.13,2.17
BO-F11-00,16/4/2015,13.33,0.97
BO-F11-00,22/10/2015,12.00,2.30
BO-F12-00,30/3/2010,29.88,1.12
BO-F12-00,21/6/2010,29.45,1.55
BO-F12-00,28/7/2010,28.60,2.40
BO-F12-00,28/10/2010,28.18,2.82
BO-F12-00,12/4/2011,29.28,1.72
BO-F12-00,13/10/2011,27.28,3.72
BO-F12-00,3/4/2012,27.62,3.38
BO-F12-00,23/5/2012,27.75,3.25
BO-F12-00,18/7/2012,27.00,4.00
BO-F12-00,9/8/2012,26.73,4.27
BO-F12-00,22/8/2012,26.55,4.45
BO-F12-00,12/9/2012,26.40,4.60
BO-F12-00,2/10/2012,26.40,4.60
BO-F12-00,21/11/2012,26.73,4.27
BO-F12-00,12/12/2012,26.90,4.10
BO-F12-00,17/1/2013,27.45,3.55
BO-F12-00,20/2/2013,27.50,3.50
BO-F12-00,11/4/2013,29.92,1.08
BO-F12-00,20/5/2013,29.45,1.55
BO-F12-00,11/7/2013,28.60,2.40
BO-F12-00,9/9/2013,27.44,3.56
BO-F12-00,8/10/2013,27.80,3.20
BO-F12-00,3/12/2013,28.00,3.00
BO-F12-00,29/1/2014,28.80,2.20
BO-F12-00,10/2/2014,30.00,1.00
BO-F12-00,7/4/2014,29.60,1.40
BO-F12-00,13/5/2014,29.30,1.70
BO-F12-00,16/4/2015,29.79,1.21
BO-F12-00,22/10/2015,28.70,2.30
BO-F12-00,21/4/2016,29.40,1.60
BO-F12-00,13/10/2016,28.80,2.20
BO-F12-00,30/3/2017,29.38,1.62
BO-F12-00,28/9/2017,28.45,2.55
BO-F12-00,11/4/2018,29.68,1.32
BO-F12-00,16/10/2018,27.99,3.01
BO-F12-00,2/4/2019,29.14,1.86
BO-F12-00,19/9/2019,27.83,3.17
BO-F12-00,4/6/2020,28.04,2.96
BO-F12-00,29/9/2020,27.41,3.59
BO-F12-00,29/4/2021,27.87,3.13
BO-F12-00,7/10/2021,27.00,4.00
BO-F12-00,12/4/2022,27.86,3.14
BO-F12-00,14/7/2022,26.84,4.16
BO-F12-00,18/1/2023,26.25,4.75
BO-F12-00,13/4/2023,26.60,4.40
BO-F12-00,10/7/2023,27.83,3.17
BO-F13-00,30/3/2010,33.68,0.82
BO-F13-00,21/6/2010,33.34,1.16
BO-F13-00,28/7/2010,31.85,2.65
BO-F13-00,28/10/2010,32.02,2.48
BO-F13-00,12/4/2011,33.16,1.34
BO-F13-00,13/10/2011,31.15,3.35
BO-F13-00,3/4/2012,31.77,2.73
BO-F13-00,2/10/2012,30.85,3.65
BO-F13-00,11/4/2013,33.45,1.05
BO-F13-00,8/10/2013,32.22,2.28
BO-F13-00,13/5/2014,32.82,1.68
BO-F13-00,25/9/2014,31.32,3.18
BO-F13-00,16/4/2015,33.65,0.85
BO-F13-00,22/10/2015,32.38,2.12
BO-F13-00,21/4/2016,33.07,1.43
BO-F13-00,13/10/2016,31.90,2.60
BO-F13-00,30/3/2017,32.98,1.52
BO-F13-00,28/9/2017,31.56,2.94
BO-F13-00,11/4/2018,33.52,0.98
BO-F13-00,16/10/2018,31.43,3.07
BO-F13-00,2/4/2019,32.26,2.24
BO-F13-00,19/9/2019,31.72,2.78
BO-F13-00,4/6/2020,32.14,2.36
BO-F13-00,29/9/2020,31.34,3.16
BO-F13-00,29/4/2021,32.31,2.19
BO-F13-00,7/10/2021,31.50,3.00
BO-F13-00,12/4/2022,32.38,2.12
BO-F13-00,6/7/2022,31.46,3.04
BO-F13-00,13/10/2022,31.17,3.33
BO-F13-00,18/1/2023,31.62,2.88
BO-F13-00,13/4/2023,32.25,2.25
BO-F13-00,10/7/2023,32.28,2.22
BO-F13-00,30/10/2023,31.43,3.07
BO-F13-00,8/2/2024,32.22,2.28
BO-F13-00,9/5/2024,32.50,2.00
BO-F13-00,24/7/2024,31.52,2.98
BO-F13-00,24/10/2024,33.78,0.72
BO-F15-00,22/3/2010,33.85,3.15
BO-F15-00,28/6/2010,34.73,2.27
BO-F15-00,2/8/2010,33.95,3.05
BO-F15-00,27/10/2010,33.89,3.11
BO-F15-00,5/4/2011,35.37,1.63
BO-F15-00,18/10/2011,33.48,3.52
BO-F15-00,10/4/2012,33.30,3.70
BO-F15-00,11/10/2012,32.27,4.73
BO-F15-00,4/4/2013,34.52,2.48
BO-F15-00,1/10/2013,33.60,3.40
BO-F15-00,29/4/2014,35.00,2.00
BO-F15-00,30/9/2014,34.22,2.78
BO-F15-00,14/4/2015,36.24,0.76
BO-F15-00,15/10/2015,34.43,2.57
BO-F15-00,19/4/2016,35.43,1.57
BO-F15-00,11/10/2016,34.06,2.94
BO-F15-00,4/4/2017,34.77,2.23
BO-F15-00,21/9/2017,33.63,3.37
BO-F15-00,10/4/2018,35.93,1.07
BO-F15-00,11/10/2018,34.18,2.82
BO-F15-00,11/4/2019,34.26,2.74
BO-F15-00,3/9/2019,34.07,2.93
BO-F15-00,25/11/2019,34.40,2.60
BO-F15-00,28/5/2020,34.70,2.30
BO-F15-00,24/9/2020,33.88,3.12
BO-F15-00,27/4/2021,33.78,3.22
BO-F15-00,30/9/2021,33.25,3.75
BO-F15-00,11/4/2022,32.78,4.22
BO-F15-00,14/7/2022,32.78,4.22
BO-F15-00,11/10/2022,32.44,4.56
BO-F15-00,17/1/2023,32.42,4.58
BO-F15-00,20/4/2023,32.69,4.31
BO-F15-00,13/7/2023,33.83,3.17
BO-F15-00,26/10/2023,33.63,3.37
BO-F15-00,6/2/2024,33.28,3.72
BO-F15-00,18/7/2024,33.19,3.81
BO-F15-00,23/10/2024,33.65,3.35
BO-F16-00,22/3/2010,26.96,0.64
BO-F16-00,28/6/2010,26.35,1.25
BO-F16-00,2/8/2010,25.78,1.82
BO-F16-00,27/10/2010,25.70,1.90
BO-F16-00,5/4/2011,26.02,1.58
BO-F16-00,18/10/2011,25.08,2.52
BO-F16-00,10/4/2012,24.88,2.72
BO-F16-00,11/10/2012,24.80,2.80
BO-F16-00,4/4/2013,27.28,0.32
BO-F16-00,1/10/2013,25.51,2.09
BO-F16-00,29/4/2014,26.74,0.86
BO-F16-00,30/9/2014,26.02,1.58
BO-F16-00,14/4/2015,26.98,0.62
BO-F16-00,15/10/2015,24.28,3.32
BO-F16-00,19/4/2016,26.31,1.29
BO-F16-00,11/10/2016,25.75,1.85
BO-F16-00,4/4/2017,26.55,1.05
BO-F16-00,21/9/2017,25.60,2.00
BO-F16-00,10/4/2018,26.86,0.74
BO-F16-00,11/10/2018,25.70,1.90
BO-F16-00,11/4/2019,26.43,1.17
BO-F16-00,17/9/2019,25.93,1.67
BO-F16-00,28/5/2020,26.08,1.52
BO-F16-00,24/9/2020,25.15,2.45
BO-F16-00,27/4/2021,26.20,1.40
BO-F16-00,30/9/2021,25.38,2.22
BO-F16-00,11/4/2022,25.59,2.01
BO-F16-00,9/6/2022,25.30,2.30
BO-F16-00,11/10/2022,24.60,3.00
BO-F16-00,17/1/2023,25.79,1.81
BO-F16-00,20/4/2023,26.17,1.43
BO-F16-00,13/7/2023,25.59,2.01
BO-F16-00,26/10/2023,24.90,2.70
BO-F16-00,6/2/2024,25.35,2.25
BO-F16-00,8/5/2024,24.55,3.05
BO-F16-00,18/7/2024,22.61,4.99
BO-F16-00,23/10/2024,27.28,0.32
BO-F18-00,22/3/2010,14.75,4.95
BO-F18-00,28/6/2010,15.44,4.26
BO-F18-00,2/8/2010,15.10,4.60
BO-F18-00,2/11/2010,14.80,4.90
BO-F18-00,5/4/2011,16.10,3.60
BO-F18-00,18/10/2011,14.60,5.10
BO-F18-00,10/4/2012,14.51,5.19
BO-F18-00,12/6/2012,18.00,1.70
BO-F18-00,26/9/2012,13.50,6.20
BO-F18-00,11/10/2012,13.58,6.12
BO-F18-00,21/11/2012,13.68,6.02
BO-F18-00,19/12/2012,13.86,5.84
BO-F18-00,8/1/2013,14.16,5.54
BO-F18-00,20/2/2013,14.30,5.40
BO-F18-00,13/3/2013,14.72,4.98
BO-F18-00,4/4/2013,15.30,4.40
BO-F18-00,28/5/2013,16.12,3.58
BO-F18-00,29/5/2013,16.04,3.66
BO-F18-00,26/6/2013,16.00,3.70
BO-F18-00,31/7/2013,15.67,4.03
BO-F18-00,24/9/2013,15.40,4.30
BO-F18-00,1/10/2013,15.00,4.70
BO-F18-00,6/11/2013,15.32,4.38
BO-F18-00,18/12/2013,15.64,4.06
BO-F18-00,18/2/2014,16.11,3.59
BO-F18-00,7/4/2014,16.29,3.41
BO-F18-00,29/4/2014,16.33,3.37
BO-F18-00,14/5/2014,16.47,3.23
BO-F18-00,30/9/2014,15.68,4.02
BO-F18-00,14/4/2015,17.20,2.50
BO-F18-00,15/10/2015,15.83,3.87
BO-F18-00,19/4/2016,16.73,2.97
BO-F18-00,11/10/2016,15.58,4.12
BO-F18-00,4/4/2017,15.51,4.19
BO-F18-00,21/9/2017,14.66,5.04
BO-F18-00,10/4/2018,16.62,3.08
BO-F18-00,11/10/2018,15.37,4.33
BO-F18-00,11/4/2019,15.07,4.63
BO-F18-00,28/5/2020,15.28,4.42
BO-F18-00,24/9/2020,14.35,5.35
BO-F18-00,27/4/2021,14.60,5.10
BO-F18-00,30/9/2021,14.80,4.90
BO-F18-00,11/4/2022,13.86,5.84
BO-F18-00,14/7/2022,13.48,6.22
BO-F18-00,11/10/2022,12.11,7.59
BO-F18-00,17/1/2023,13.87,5.83
BO-F18-00,20/4/2023,14.08,5.62
BO-F18-00,13/7/2023,14.46,5.24
BO-F18-00,26/10/2023,14.04,5.66
BO-F18-00,6/2/2024,14.20,5.50
BO-F18-00,18/7/2024,13.85,5.85
BO-F18-00,23/10/2024,14.50,5.20
BO-F21-00,1/4/2010,35.89,0.81
BO-F21-00,24/6/2010,35.60,1.10
BO-F21-00,27/7/2010,34.41,2.29
BO-F21-00,2/11/2010,33.90,2.80
BO-F21-00,7/4/2011,35.67,1.03
BO-F21-00,29/9/2011,33.40,3.30
BO-F21-00,5/4/2012,33.55,3.15
BO-F21-00,9/10/2012,31.36,5.34
BO-F21-00,2/4/2013,36.14,0.56
BO-F21-00,7/10/2013,33.18,3.52
BO-F21-00,6/5/2014,35.90,0.80
BO-F21-00,23/9/2014,34.08,2.62
BO-F21-00,9/4/2015,35.97,0.73
BO-F21-00,27/10/2015,33.10,3.60
BO-F21-00,13/4/2016,34.70,2.00
BO-F21-00,6/10/2016,33.23,3.47
BO-F21-00,29/3/2017,33.76,2.94
BO-F21-00,26/9/2017,32.46,4.24
BO-F21-00,5/4/2018,34.20,2.50
BO-F21-00,9/10/2018,32.43,4.27
BO-F21-00,8/4/2019,32.46,4.24
BO-F21-00,3/9/2019,32.08,4.62
BO-F21-00,27/5/2020,32.35,4.35
BO-F21-00,22/9/2020,31.79,4.91
BO-F21-00,22/4/2021,31.85,4.85
BO-F21-00,5/10/2021,31.37,5.33
BO-F21-00,5/4/2022,31.08,5.62
BO-F21-00,11/7/2022,30.87,5.83
BO-F21-00,6/10/2022,30.79,5.91
BO-F21-00,18/1/2023,30.63,6.07
BO-F21-00,20/4/2023,30.50,6.20
BO-F21-00,4/7/2023,31.68,5.02
BO-F21-00,2/11/2023,31.36,5.34
BO-F21-00,13/2/2024,31.48,5.22
BO-F21-00,2/5/2024,31.59,5.11
BO-F21-00,16/7/2024,31.53,5.17
BO-F21-00,22/10/2024,31.70,5.00
BO03-01,12/5/2009,5.00,11.00
BO03-01,28/10/2009,3.79,12.21
BO03-01,3/6/2010,4.80,11.20
BO03-01,26/10/2010,4.63,11.37
BO03-01,31/3/2011,5.54,10.46
BO03-01,29/11/2011,4.46,11.54
BO03-01,22/11/2012,4.40,11.60
BO03-01,23/5/2013,5.47,10.53
BO03-01,24/9/2013,4.02,11.98
BO03-01,3/6/2014,5.57,10.43
BO03-01,18/9/2014,5.24,10.76
BO03-01,5/5/2016,6.04,9.96
BO05-00,31/3/2009,21.99,0.20
BO05-00,10/11/2009,21.89,0.30
BO05-00,8/4/2010,21.99,0.20
BO05-00,21/9/2010,21.75,0.44
BO05-00,24/3/2011,21.99,0.20
BO05-00,22/11/2011,21.35,0.84
BO05-00,27/3/2012,21.99,0.20
BO05-00,27/9/2012,20.53,1.66
BO05-00,26/3/2013,21.89,0.30
BO05-00,26/9/2013,21.74,0.45
BO05-00,5/5/2014,>22.19,<0.00
BO05-00,3/12/2014,21.73,0.46
BO05-00,1/10/2015,20.83,1.36
BO05-00,7/4/2016,21.74,0.45
BO05-00,20/9/2016,20.23,1.96
BO05-00,27/10/2017,20.36,1.83
BO05-00,28/3/2018,21.84,0.35
BO05-00,10/4/2019,21.84,0.35
BO05-00,8/11/2019,16.49,5.70
BO05-00,18/12/2019,17.79,4.40
BO05-00,24/2/2020,17.38,4.81
BO05-00,10/12/2020,14.79,7.40
BO05-00,15/4/2021,13.12,9.07
BO05-00,10/11/2021,11.29,10.90
BO05-00,9/5/2022,12.75,9.44
BO05-00,17/10/2022,7.09,15.10
BO05-00,31/3/2023,9.79,12.40
BO05-00,22/11/2023,10.79,11.40
BO05-00,3/6/2024,10.74,11.45
BO05-00,13/11/2024,12.49,9.70
BO06-00,31/3/2009,>18.58,<-0.66
BO06-00,4/12/2009,>18.58,<-0.66
BO06-00,8/4/2010,>18.58,<-0.66
BO06-00,21/9/2010,>18.58,<-0.66
BO06-00,24/3/2011,>18.58,<-0.66
BO06-00,22/11/2011,>18.58,<-0.66
BO06-00,27/3/2012,>18.58,<-0.66
BO06-00,27/9/2012,>18.58,<-0.66
BO06-00,26/3/2013,>18.58,<-0.66
BO06-00,26/9/2013,>18.58,<-0.66
BO06-00,5/5/2014,>18.58,<-0.66
BO06-00,3/12/2014,>18.58,<-0.66
BO06-00,1/10/2015,>18.58,<-0.66
BO06-00,7/4/2016,>18.58,<-0.66
BO06-00,20/9/2016,>18.58,<-0.66
BO06-00,27/10/2017,>18.58,<-0.66
BO06-00,29/3/2018,>18.58,<-0.66
BO06-00,31/10/2018,>18.58,<-0.66
BO06-00,10/4/2019,>18.58,<-0.66
BO06-00,8/11/2019,>18.58,<-0.66
BO06-00,28/10/2020,>18.58,<-0.66
BO06-00,15/4/2021,>18.58,<-0.66
BO06-00,13/4/2022,>18.58,<-0.66
BO07-00,7/4/2009,4.66,17.84
BO07-00,1/10/2009,0.46,22.04
BO07-00,13/4/2010,2.95,19.55
BO07-00,23/9/2010,2.61,19.89
BO07-00,29/3/2011,5.40,17.10
BO07-00,1/12/2011,3.05,19.45
BO07-00,29/3/2012,5.68,16.82
BO07-00,6/11/2012,5.13,17.37
BO07-00,28/3/2013,15.16,7.34
BO07-00,10/10/2013,12.28,10.22
BO07-00,29/5/2014,10.11,12.39
BO07-00,26/11/2014,9.73,12.77
BO07-00,31/3/2015,16.32,6.18
BO07-00,6/10/2015,8.55,13.95
BO07-00,24/3/2016,12.13,10.37
BO07-00,29/9/2016,10.73,11.77
BO07-00,17/10/2017,6.63,15.87
BO07-00,28/3/2018,9.33,13.17
BO07-00,7/12/2018,3.03,19.47
BO07-00,29/3/2019,3.42,19.08
BO07-00,11/11/2019,1.93,20.57
BO08-00,31/3/2009,22.99,2.26
BO08-00,10/11/2009,19.65,5.60
BO08-00,8/4/2010,23.75,1.50
BO08-00,21/9/2010,19.84,5.41
BO08-00,24/3/2011,22.43,2.82
BO08-00,22/11/2011,20.33,4.92
BO08-00,27/3/2012,20.63,4.62
BO08-00,27/9/2012,18.87,6.38
BO08-00,26/3/2013,23.57,1.68
BO08-00,26/9/2013,19.66,5.59
BO08-00,1/10/2015,21.13,4.12
BO08-00,7/4/2016,23.30,1.95
BO08-00,20/9/2016,21.28,3.97
BO08-00,6/4/2017,22.47,2.78
BO08-00,17/10/2017,21.00,4.25
BO08-00,14/11/2018,21.55,3.70
BO08-00,29/3/2019,24.44,0.81
BO08-00,8/11/2019,23.75,1.50
BO08-00,28/10/2020,24.45,0.80
BO08-00,15/4/2021,24.38,0.87
BO08-00,6/10/2021,24.12,1.13
BO08-00,13/4/2022,24.37,0.88
BO08-00,20/11/2022,19.85,5.40
BO08-00,31/3/2023,23.75,1.50
BO08-00,22/11/2023,24.35,0.90
BO08-00,10/5/2024,24.40,0.85
BO08-00,13/11/2024,23.75,1.50
BO11-01,11/6/2009,36.49,7.51
BO11-01,19/11/2009,37.10,6.90
BO11-01,8/6/2010,37.94,6.06
BO11-01,28/9/2010,37.87,6.13
BO11-01,9/6/2011,38.21,5.79
BO11-01,26/10/2011,36.90,7.10
BO11-01,3/5/2012,37.40,6.60
BO11-01,18/10/2012,34.87,9.13
BO11-01,9/4/2013,38.45,5.55
BO11-01,5/12/2013,37.76,6.24
BO11-01,16/10/2014,37.60,6.40
BO11-01,26/3/2015,39.17,4.83
BO11-01,10/12/2015,38.00,6.00
BO11-01,9/6/2016,37.36,6.64
BO11-01,28/11/2016,37.42,6.58
BO11-01,16/5/2017,37.02,6.98
BO11-01,26/10/2017,34.72,9.28
BO11-01,20/3/2018,36.07,7.93
BO11-01,5/11/2018,36.70,7.30
BO11-01,29/5/2019,36.94,7.06
BO11-01,21/11/2019,36.65,7.35
BO11-01,4/6/2020,37.40,6.60
BO11-01,7/10/2020,35.73,8.27
BO11-01,6/4/2021,36.23,7.77
BO11-01,15/12/2021,35.57,8.43
BO11-01,14/4/2022,35.44,8.56
BO11-01,18/10/2022,34.30,9.70
BO11-01,24/5/2023,36.37,7.63
BO11-01,14/9/2023,35.56,8.44
BO11-01,21/3/2024,36.95,7.05
BO11-01,12/11/2024,36.30,7.70
BO12-00,11/6/2009,42.32,5.68
BO12-00,19/11/2009,41.70,6.30
BO12-00,8/6/2010,43.46,4.54
BO12-00,28/9/2010,42.74,5.26
BO12-00,9/6/2011,43.35,4.65
BO12-00,26/10/2011,41.76,6.24
BO12-00,3/5/2012,41.40,6.60
BO12-00,18/10/2012,38.38,9.62
BO12-00,13/6/2013,43.37,4.63
BO12-00,5/12/2013,42.16,5.84
BO12-00,1/4/2014,43.84,4.16
BO12-00,16/10/2014,42.69,5.31
BO12-00,26/3/2015,44.74,3.26
BO12-00,2/12/2015,42.32,5.68
BO12-00,9/6/2016,42.69,5.31
BO12-00,28/11/2016,41.58,6.42
BO12-00,4/4/2017,41.36,6.64
BO13-00,26/5/2009,-7.90,44.30
BO13-00,17/11/2009,-10.04,46.44
BO13-00,15/6/2010,-4.73,41.13
BO13-00,16/9/2010,-4.30,40.70
BO13-00,21/4/2011,0.35,36.05
BO13-00,8/11/2011,-2.50,38.90
BO13-00,9/5/2012,1.46,34.94
BO13-00,25/10/2012,-2.14,38.54
BO13-00,20/6/2013,2.07,34.33
BO13-00,17/12/2013,4.10,32.30
BO13-00,21/4/2014,9.99,26.41
BO13-00,28/5/2014,6.68,29.72
BO13-00,18/12/2014,8.13,28.27
BO13-00,21/4/2015,9.99,26.41
BO13-00,5/11/2015,7.60,28.80
BO13-00,16/6/2016,10.45,25.95
BO13-00,3/11/2016,6.68,29.72
BO13-00,28/3/2017,8.23,28.17
BO13-00,8/11/2017,0.62,35.78
BO13-00,29/3/2018,2.20,34.20
BO13-00,24/9/2018,0.72,35.68
