Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
BO16-00,Pozzo,BO,ANZOLA EMILIA,IT080442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,676572,4933961,43.19,88.3,Fondo foro,1,77.35,82.1
BO16-01,Pozzo,BO,ANZOLA EMILIA,IT080442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,676411,4934263,37,105,Fondo foro,1,95,100
BO17-00,Pozzo,BO,CALDERARA DI RENO,IT080442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,679930,4934498,37.3,75,Fondo foro,1,62,73
BO18-00,Pozzo,BO,VALSAMOGGIA,IT082420ER-DQ2-CCI,Conoide Samoggia - confinato inferiore,667844,4931516,68.51,99,,4,53,97
BO18-01,Pozzo,BO,VALSAMOGGIA,IT080150ER-DQ1-CL,Conoide Samoggia - libero,666872,4930794,75,100,,,,
BO19-00,Pozzo,BO,VALSAMOGGIA,IT082420ER-DQ2-CCI,Conoide Samoggia - confinato inferiore,672674,4932138,49.16,85,,2,55,83.3
BO20-00,Pozzo,BO,BOLOGNA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,680192,4931629,47.43,131,,3,65,125
BO20-01,Pozzo,BO,BOLOGNA,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,681784,4931646,42,344,,12,143.4,324
BO23-00,Pozzo,BO,BENTIVOGLIO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,691580,4946084,13.44,391,,3,323,382.4
BO23-01,Pozzo,BO,BENTIVOGLIO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,692260,4944161,15.85,115,,,,
BO24-01,Pozzo,BO,SALA BOLOGNESE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,682073,4942667,24.6,100,,,,
BO25-03,Pozzo,BO,ARGELATO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,687588,4942301,23.4,133,Fondo foro,1,122.3,132.6
BO26-00,Pozzo,BO,GRANAROLO DELL'EMILIA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,692735,4938114,24.33,140,Fondo foro,1,125,132
BO26-01,Pozzo,BO,GRANAROLO DELL'EMILIA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,695084,4938007,21,140,,,,
BO27-00,Pozzo,BO,CALDERARA DI RENO,IT080442ER-DQ2-CCS,Conoide Reno-Lavino - confinato superiore,683070,4935411,30.58,450.94,,11,100.01,429.53
BO28-00,Pozzo,BO,CASTEL MAGGIORE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,688501,4936637,28.8,67,Fondo foro,1,58,67
BO29-00,Pozzo,BO,GRANAROLO DELL'EMILIA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,693713,4936362,26.64,231.35,,2,120,231.35
BO30-00,Pozzo,BO,BOLOGNA,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,682893,4931879,39.82,351.93,,10,156,334
BO30-01,Pozzo,BO,BOLOGNA,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,682915,4931988,40.84,350,,11,101,323.5
BO32-00,Pozzo,BO,BOLOGNA,IT080462ER-DQ2-CCS,Conoide Savena - confinato superiore,690256,4932321,41.1,211,,4,95.5,203.3
BO33-00,Pozzo,BO,GRANAROLO DELL'EMILIA,IT080462ER-DQ2-CCS,Conoide Savena - confinato superiore,692966,4932801,39.98,375,,9,84.09,354.11
BO36-01,Pozzo,BO,BUDRIO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,704526,4940673,16.2,516,,,,
BO37-00,Pozzo,BO,BUDRIO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,697601,4937796,21.46,165,,,,
BO38-00,Pozzo,BO,BUDRIO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,701070,4934896,23.64,475,,2,389,474
BO40-02,Pozzo,BO,MOLINELLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,712284,4945264,7.74,176,,1,137,159
BO41-00,Pozzo,BO,MEDICINA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,713599,4938274,10.9,500,Fondo foro,1,477,500
BO43-01,Pozzo,BO,MOLINELLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,708368,4936856,10.67,190,,,,
BO44-00,Pozzo,BO,MEDICINA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,716532,4931281,7.9,440,,3,230,410
BO47-01,Pozzo,BO,BOLOGNA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,680182,4929208,53.8,110,Fondo foro,1,89,108
BO50-00,Pozzo,BO,BOLOGNA,IT082462ER-DQ2-CCI,Conoide Savena - confinato inferiore,689421,4928818,55.23,269.58,,9,78.54,249.97
BO50-01,Pozzo,BO,BOLOGNA,IT082462ER-DQ2-CCI,Conoide Savena - confinato inferiore,689537,4928883,55.23,272.01,,11,80,256
