Prov,Codice,Tipologia stazione,Comune,Codice_GWB_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m,Uso
BO,BO43-01,Pozzo,MOLINELLA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,708368,4936856,10.67,190,,,,,Irriguo
BO,BO44-00,Pozzo,MEDICINA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,716532,4931281,7.9,440,,3,230,410,Irriguo
BO,BO47-01,Pozzo,BOLOGNA,0160ER-DQ1-CL,Conoide Reno-Lavino - libero,680182,4929208,53.8,110,Fondo foro,1,89,108,Irriguo
BO,BO50-00,Pozzo,BOLOGNA,2462ER-DQ2-CCI,Conoide Savena - confinato inferiore,689421,4928818,55.23,269.58,,9,78.54,249.97,Civile
BO,BO50-01,Pozzo,BOLOGNA,2462ER-DQ2-CCI,Conoide Savena - confinato inferiore,689537,4928883,55.23,272.01,,11,80,256,Civile
BO,BO50-02,Pozzo,BOLOGNA,2462ER-DQ2-CCI,Conoide Savena - confinato inferiore,689316,4928818,55.23,276.77,,11,84,261.5,Acquedottistico
BO,BO52-00,Pozzo,BOLOGNA,0170ER-DQ1-CL,Conoide Savena - libero,689193,4925716,73.26,14,,,,,Irriguo
BO,BO53-02,Pozzo,SAN LAZZARO DI SAVENA,0470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,692897,4926261,66,70,,,,,Antincendio
BO,BO53-03,Pozzo,SAN LAZZARO DI SAVENA,2470ER-DQ2-CCI,Conoide Zena-Idice - confinato inferiore,692456,4927345,55,93,,1,56.5,61.3,Irriguo
BO,BO55-01,Pozzo,CASTENASO,0470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,696514,4928048,47.5,84,,,,,Domestico
BO,BO55-02,Pozzo,SAN LAZZARO DI SAVENA,0470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,695621,4927462,54.6,87,,,,,Irriguo
BO,BO56-01,Pozzo,SAN LAZZARO DI SAVENA,2470ER-DQ2-CCI,Conoide Zena-Idice - confinato inferiore,695449,4925917,52.42,203.04,,5,80.5,185.45,Civile
BO,BO57-01,Pozzo,OZZANO DELL'EMILIA,2470ER-DQ2-CCI,Conoide Zena-Idice - confinato inferiore,696479,4924615,61.4,81,,2,45,81,Irriguo
BO,BO58-00,Pozzo,CASTEL SAN PIETRO TERME,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,704957,4925609,37.4,453,,2,354,444.39,Industriale
BO,BO60-00,Pozzo,CASTEL SAN PIETRO TERME,0660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,704907,4919915,75.5,136,,4,36.4,131.3,Non in uso
BO,BO61-00,Pozzo,CASTEL SAN PIETRO TERME,2492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,706826,4919601,59.65,101,,6,73.3,95.72,Irriguo
BO,BO62-01,Pozzo,MEDICINA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,710530,4929431,19.9,259,,2,177,245,Industriale
BO,BO65-00,Pozzo,IMOLA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,717206,4926821,17.34,235,Fondo foro,1,221,235,Industriale
BO,BO66-00,Pozzo,DOZZA,2492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,710921,4920769,43.2,190,,2,96,189,Non in uso
