Prov,Codice,Tipologia stazione,Comune,Codice_GWB_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m,Uso
FC,FCA0-00,Pozzo,CESENA,2550ER-DQ2-CCI,Conoide Savio - confinato inferiore,757656,4894146,35,110,,1,73.7,98,Acquedottistico
FC,FC-F04-00,Pozzo,FORLIMPOPOLI,9015ER-DQ1-FPF,Freatico di pianura fluviale,750030,4899225,25.6,10.52,,,,,Domestico
FC,FC-F06-00,Pozzo,CESENA,9015ER-DQ1-FPF,Freatico di pianura fluviale,760216,4896293,27.3,8.69,,,,,Domestico
FC,FC-F07-00,Pozzo,GATTEO,9015ER-DQ1-FPF,Freatico di pianura fluviale,771211,4889465,21.4,9.04,,,,,Domestico
FE,FE01-01,Pozzo,BONDENO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,690795,4978495,12.5,35,,2,21,34,Acquedottistico
FE,FE05-02,Pozzo,FERRARA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,704595,4973733,10.12,37.55,,1,22,32.05,Acquedottistico
FE,FE05-03,Pozzo,FERRARA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,704670,4973700,10.12,34.5,,1,16.1,31.2,Acquedottistico
FE,FE07-01,Pozzo,RIVA DEL PO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,718990,4981747,3.3,50,,1,23.2,46,Acquedottistico
FE,FE09-01,Pozzo,FERRARA,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,714625,4970293,5,38,Fondo foro,1,30,36,Irriguo
FE,FE12-00,Pozzo,TRESIGNANA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,726466,4969250,2.5,130,,1,95,129,Antincendio
FE,FE13-01,Pozzo,RIVA DEL PO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,733775,4984419,0.72,49,,1,29,35,Non in uso
FE,FE15-00,Pozzo,RIVA DEL PO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,743260,4982671,-2.3,26,,,,,Irriguo
FE,FE16-00,Pozzo,ARGENTA,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,747705,4938463,0.12,200,,,,,Irriguo
FE,FE18-01,Pozzo,MESOLA,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,755380,4973165,-1.03,170,,,,,Non in uso
FE,FE18-02,Pozzo,CODIGORO,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,751375,4971717,-0.7,160,Fondo foro,1,135,155,Non in uso
FE,FE19-04,Pozzo,CODIGORO,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,742967,4970243,-3,141,Fondo foro,1,120,138,Zootecnico
FE,FE21-00,Pozzo,GORO,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,759844,4971650,-1.61,34.7,,,,,Non in uso
FE,FE22-00,Pozzo,TERRE DEL RENO,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,685137,4960021,13.5,172,,,,,Industriale
FE,FE23-00,Pozzo,TERRE DEL RENO,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,690581,4964056,17.88,140.2,,3,72.12,140.19,Industriale
FE,FE24-03,Pozzo,CENTO,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,682224,4955674,14.3,93,,,,,Irriguo
FE,FE30-00,Pozzo,FERRARA,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,703494,4960438,10.45,102,Fondo foro,1,85,102,Irriguo
FE,FE33-00,Pozzo,FERRARA,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,711280,4961583,3,123,Fondo foro,1,98,123,Industriale
FE,FE34-01,Pozzo,FERRARA,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,712605,4955291,5.59,117,Fondo foro,1,96,116,Industriale
FE,FE34-02,Pozzo,FERRARA,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,709642,4957129,7.4,81.6,Fondo foro,1,58,81,Industriale
FE,FE35-00,Pozzo,ARGENTA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,708486,4953080,7.91,138,Fondo foro,1,133.6,138,Irriguo
FE,FE36-01,Pozzo,MASI TORELLO,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,720507,4964328,4.1,120,Fondo foro,1,105,120,Industriale
FE,FE37-00,Pozzo,PORTOMAGGIORE,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,721344,4959241,0.43,159,Fondo foro,1,135.88,153.88,Industriale
FE,FE38-00,Pozzo,OSTELLATO,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,730536,4959854,0.9,88,Fondo foro,1,73,86,Industriale
FE,FE39-01,Pozzo,OSTELLATO,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,727496,4958786,1,122,Fondo foro,1,101,122,Irriguo
FE,FE41-01,Pozzo,MIGLIARO,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,733513,4963263,4.28,36,Fondo foro,1,34,36,Non in uso
FE,FE41-02,Pozzo,FISCAGLIA,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,734408,4965154,0.3,70,Fondo foro,1,45,70,Antincendio
FE,FE45-01,Pozzo,COMACCHIO,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,747136,4958603,-1.6,160,,3,45,160,Irriguo
FE,FE47-01,Pozzo,ARGENTA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,717666,4951764,0.81,110,Fondo foro,1,96,110,Irriguo
FE,FE48-00,Pozzo,PORTOMAGGIORE,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,727660,4948452,0.86,80,,,,,Industriale
FE,FE49-00,Pozzo,ARGENTA,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,725007,4944875,0.7,230,,5,17,229,Industriale
FE,FE52-00,Pozzo,BONDENO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,680585,4979784,8,36,,1,25,30,Industriale
FE,FE53-00,Pozzo,BONDENO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,685655,4972210,8.2,30,,,,,Irriguo
FE,FE54-01,Pozzo,LAGOSANTO,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,747977,4959578,-1,90,Fondo foro,1,83,90,Industriale
FE,FE54-02,Pozzo,LAGOSANTO,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,748261,4961674,0.4,90,,,,,Irriguo
FE,FE56-00,Pozzo,FERRARA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,702655,4970438,7,60,Fondo foro,1,42,60,Domestico
FE,FE58-01,Piezometro,FERRARA,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,705549,4971137,6,47,,,,,Monitoraggio
FE,FE58-02,Pozzo,FERRARA,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,705536,4971213,6,45,,1,26,42,Industriale
FE,FE59-01,Pozzo,FERRARA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,708187,4967809,6,140,Fondo foro,1,126,140,Civile
FE,FE60-00,Pozzo,FERRARA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,705138,4965716,7.2,42,,,,,Antincendio
FE,FE61-01,Pozzo,FERRARA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,714115,4976957,3.8,38,,,,,Civile
FE,FE63-00,Pozzo,CENTO,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,678700,4954402,18.99,101,,,,,Domestico
FE,FE64-00,Pozzo,RIVA DEL PO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,727936,4983760,2.5,70,,,,,Industriale
FE,FE65-00,Pozzo,JOLANDA DI SAVOIA,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,735836,4974726,-2.6,36,,,,,Antincendio
FE,FE69-00,Pozzo,OSTELLATO,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,745041,4953044,-1.09,145,Fondo foro,1,128,145,Industriale
FE,FE70-00,Piezometro,COMACCHIO,9020ER-DQ1-FPC,Freatico di pianura costiero,757807,4948325,2.77,2.4,,,,,Monitoraggio
FE,FE71-00,Piezometro,COMACCHIO,9020ER-DQ1-FPC,Freatico di pianura costiero,757488,4963960,0.77,1.6,,,,,Monitoraggio
FE,FE72-00,Pozzo,CENTO,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,682383,4958363,13,194,,2,170,194,Industriale
FE,FE73-00,Pozzo,FERRARA,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,705664,4957355,10,126,,2,55,126,Industriale
FE,FE74-00,Pozzo,ARGENTA,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,744292,4943212,-1.9,86,,,,,Irriguo
FE,FE75-00,Pozzo,COPPARO,0640ER-DQ2-PCC,Pianura Alluvionale Costiera - confinato,723796,4971332,1.85,30,,,,,Industriale
FE,FE77-00,Pozzo,VIGARANO MAINARDA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,697179,4968963,10.4,97,,,,,Irriguo
FE,FE78-00,Pozzo,BONDENO,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,690480,4973681,9.8,63,,,,,Antincendio
FE,FE78-01,Pozzo,BONDENO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,689953,4972978,8.9,34,Fondo foro,1,24,34,Irriguo
FE,FE80-00,Piezometro,BONDENO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,679931,4979526,9,40,,1,7,40,Monitoraggio
FE,FE81-00,Piezometro,BONDENO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,682819,4978747,8.4,40,,1,12,33,Monitoraggio
FE,FE82-00,Pozzo,ARGENTA,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,714812,4954000,4.4,85,Fondo foro,1,73,85,Irriguo
FE,FE-F01-00,Pozzo,BONDENO,9015ER-DQ1-FPF,Freatico di pianura fluviale,687196,4974399,8.3,4.9,,,,,Irriguo
FE,FE-F01-01,Pozzo,BONDENO,9015ER-DQ1-FPF,Freatico di pianura fluviale,682120,4979446,8.8,4.65,,,,,Irriguo
FE,FE-F03-00,Pozzo,FERRARA,9015ER-DQ1-FPF,Freatico di pianura fluviale,700188,4974344,6.3,5.5,,,,,Domestico
FE,FE-F04-00,Pozzo,TERRE DEL RENO,9015ER-DQ1-FPF,Freatico di pianura fluviale,686995,4961580,13.2,7.94,,,,,Irriguo
FE,FE-F04-01,Pozzo,TERRE DEL RENO,9015ER-DQ1-FPF,Freatico di pianura fluviale,686434,4961020,14,9.2,,,,,Domestico
FE,FE-F09-00,Pozzo,VOGHIERA,9015ER-DQ1-FPF,Freatico di pianura fluviale,717485,4959398,3.9,3.2,,,,,Domestico
FE,FE-F13-00,Pozzo,COPPARO,9015ER-DQ1-FPF,Freatico di pianura fluviale,726662,4978146,1.5,4.69,,,,,Domestico
FE,FE-F15-00,Pozzo,RIVA DEL PO,9015ER-DQ1-FPF,Freatico di pianura fluviale,717844,4981133,4.4,3.68,,,,,Domestico
FE,FE-F21-00,Pozzo,COMACCHIO,9020ER-DQ1-FPC,Freatico di pianura costiero,755130,4956058,1.15,2.14,,,,,Domestico
FE,FE-F22-00,Piezometro,LAGOSANTO,9020ER-DQ1-FPC,Freatico di pianura costiero,747369,4959658,-0.5,5.34,,,,,Domestico
FE,FE-F24-00,Pozzo,MESOLA,9020ER-DQ1-FPC,Freatico di pianura costiero,757112,4970216,-0.1,2.59,,,,,Zootecnico
FE,FE-F26-00,Pozzo,FISCAGLIA,9015ER-DQ1-FPF,Freatico di pianura fluviale,735355,4964826,1,3.75,,,,,Domestico
FE,FE-F28-00,Piezometro,MESOLA,9020ER-DQ1-FPC,Freatico di pianura costiero,757087,4970252,-0.1,16.4,,1,1,16.4,Monitoraggio
FE,FE-F29-00,Piezometro,MESOLA,9020ER-DQ1-FPC,Freatico di pianura costiero,754913,4974386,0.3,12.5,,1,1,12.5,Monitoraggio
FE,FE-F30-00,Piezometro,COMACCHIO,9020ER-DQ1-FPC,Freatico di pianura costiero,757442,4963877,0.7,11.7,,1,1,11.7,Monitoraggio
FE,FE-F31-00,Piezometro,COMACCHIO,9020ER-DQ1-FPC,Freatico di pianura costiero,751608,4965796,-1.1,11.9,,1,1,11.9,Monitoraggio
FE,FE-F32-00,Piezometro,COMACCHIO,9020ER-DQ1-FPC,Freatico di pianura costiero,755256,4957683,-0.2,16,,1,1,16,Monitoraggio
FE,FE-F33-00,Piezometro,COMACCHIO,9020ER-DQ1-FPC,Freatico di pianura costiero,748044,4957253,-0.7,9.9,,1,1,9.9,Monitoraggio
FE,FE-F34-00,Piezometro,COMACCHIO,9020ER-DQ1-FPC,Freatico di pianura costiero,757563,4948710,1.81,8.8,,1,1,8.8,Monitoraggio
MO,MO03-01,Pozzo,MIRANDOLA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,665202,4973006,15,34,,,,,Irriguo
MO,MO03-02,Pozzo,MIRANDOLA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,664231,4973480,14,45,Fondo foro,1,35,45,Domestico
MO,MO07-01,Pozzo,NOVI DI MODENA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,652382,4966843,20.3,60,,,,,Domestico
MO,MO08-00,Pozzo,CAMPOSANTO,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,667234,4965144,16.81,256,,7,49.3,243.6,Industriale
MO,MO10-01,Pozzo,CARPI,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,647863,4961224,27.1,120,,,,,Irriguo
MO,MO11-00,Pozzo,BOMPORTO,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,658816,4957800,25.52,143,Fondo foro,1,137,143,Irriguo
MO,MO12-01,Pozzo,BOMPORTO,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,661295,4954293,25,120,Fondo foro,1,117,120,Industriale
MO,MO13-01,Pozzo,CAMPOGALLIANO,0390ER-DQ2-CCS,Conoide Secchia - confinato superiore,646967,4950441,36.5,110,Fondo foro,1,105,110,Industriale
MO,MO14-00,Pozzo,MODENA,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,652035,4952807,25.94,121,Fondo foro,1,115,121,Zootecnico
MO,MO15-01,Pozzo,MODENA,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,655299,4951540,29.25,120,,,,,Irriguo
MO,MO16-00,Pozzo,RAVARINO,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,665873,4954168,22.28,538,,3,449,530.5,Industriale
MO,MO17-02,Pozzo,NONANTOLA,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,661132,4949049,26.3,320,,,,,Industriale
MO,MO19-00,Pozzo,MODENA,0390ER-DQ2-CCS,Conoide Secchia - confinato superiore,642782,4943967,56.9,70,,2,17,68,Domestico
MO,MO20-00,Pozzo,MODENA,0390ER-DQ2-CCS,Conoide Secchia - confinato superiore,651345,4943531,37.16,82,,2,64,77.5,Acquedottistico
MO,MO20-02,Pozzo,MODENA,0390ER-DQ2-CCS,Conoide Secchia - confinato superiore,650052,4944626,36,71,Fondo foro,1,61,71,Acquedottistico
MO,MO22-01,Pozzo,CASTELFRANCO EMILIA,0410ER-DQ2-CCS,Conoide Panaro - confinato superiore,662932,4943277,33.3,62,,,,,Irriguo
MO,MO24-01,Pozzo,SAN CESARIO SUL PANARO,0410ER-DQ2-CCS,Conoide Panaro - confinato superiore,660766,4938412,44.37,45,,,,,Irriguo
MO,MO25-00,Pozzo,SASSUOLO,0120ER-DQ1-CL,Conoide Secchia - libero,641385,4934288,111.5,23.5,,4,37.5,59.5,Industriale
MO,MO26-01,Pozzo,SASSUOLO,0120ER-DQ1-CL,Conoide Secchia - libero,642158,4935612,102.1,70,,2,17,44,Civile
MO,MO27-01,Pozzo,FORMIGINE,0120ER-DQ1-CL,Conoide Secchia - libero,645265,4936419,92.1,80,,,,,Acquedottistico
MO,MO28-01,Pozzo,FORMIGINE,0400ER-DQ2-CCS,Conoide Tiepido - confinato superiore,650024,4935999,81,70,,2,35,59.5,Zootecnico
MO,MO29-01,Pozzo,CASTELVETRO DI MODENA,0140ER-DQ1-CL,Conoide Panaro - libero,657853,4932974,70.8,110,,,,,Acquedottistico
MO,MO30-00,Pozzo,SPILAMBERTO,0140ER-DQ1-CL,Conoide Panaro - libero,660534,4932763,73,118,,3,23,100,Acquedottistico
MO,MO30-02,Pozzo,SPILAMBERTO,0140ER-DQ1-CL,Conoide Panaro - libero,660616,4931654,79.5,90,,,,,Industriale
MO,MO31-02,Pozzo,CASTELFRANCO EMILIA,0140ER-DQ1-CL,Conoide Panaro - libero,663446,4934309,58.2,57,,,,,Domestico
MO,MO32-01,Pozzo,VIGNOLA,0140ER-DQ1-CL,Conoide Panaro - libero,660049,4929925,95,54,,,,,Industriale
MO,MO34-00,Pozzo,MARANO,0140ER-DQ1-CL,Conoide Panaro - libero,657555,4925015,128.7,8.5,Fondo foro,1,,,Domestico
MO,MO35-03,Pozzo,CARPI,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,646513,4956091,31,105,Fondo foro,1,100,105,Zootecnico
MO,MO36-00,Pozzo,MODENA,0120ER-DQ1-CL,Conoide Secchia - libero,647618,4941941,52,51,Fondo foro,1,42,51,Zootecnico
MO,MO37-02,Pozzo,CARPI,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,649636,4959512,24,95,Fondo foro,1,90,95,Industriale
MO,MO38-00,Pozzo,CAVEZZO,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,660176,4966605,23.33,59,Fondo foro,1,53,58,Irriguo
MO,MO38-02,Pozzo,CAVEZZO,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,660176,4966605,23.33,75,Fondo foro,0,0,0,Irriguo
MO,MO41-01,Pozzo,CARPI,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,644988,4966064,22.7,60,,,,,Domestico
MO,MO42-00,Pozzo,CASTELVETRO DI MODENA,2400ER-DQ2-CCI,Conoide Tiepido - confinato inferiore,651596,4932533,115.24,90,,,,,Industriale
MO,MO42-01,Pozzo,CASTELVETRO DI MODENA,2400ER-DQ2-CCI,Conoide Tiepido - confinato inferiore,651583,4932810,110,146,,3,65,141.5,Industriale
MO,MO43-01,Pozzo,CAMPOSANTO,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,668808,4962027,17,148,,2,98,144,Industriale
MO,MO44-01,Pozzo,CARPI,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,650950,4968357,19.8,50,,,,,Domestico
MO,MO45-01,Pozzo,SAN FELICE SUL PANARO,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,667148,4966901,17,180,,1,102,113,Antincendio
MO,MO47-00,Pozzo,CONCORDIA SULLA SECCHIA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,654906,4974982,19,43,,,,,Industriale
MO,MO48-01,Pozzo,FINALE EMILIA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,676728,4969138,11,224,,5,108,165.4,Industriale
MO,MO49-00,Pozzo,MODENA,0390ER-DQ2-CCS,Conoide Secchia - confinato superiore,646494,4945211,44.1,27,,,,,Piscicoltura
MO,MO50-03,Pozzo,VIGNOLA,0140ER-DQ1-CL,Conoide Panaro - libero,660689,4929438,96,60,,2,18,60,Acquedottistico
MO,MO51-00,Pozzo,CASTELNUOVO RANGONE,0130ER-DQ1-CL,Conoide Tiepido - libero,653493,4934363,82,120,,2,67,120,Industriale
MO,MO53-00,Pozzo,SAN CESARIO SUL PANARO,0140ER-DQ1-CL,Conoide Panaro - libero,662655,4935035,57,40,,,,,Irriguo
MO,MO55-00,Pozzo,SAN CESARIO SUL PANARO,0140ER-DQ1-CL,Conoide Panaro - libero,661360,4936076,54,110,,2,30,85,Acquedottistico
MO,MO56-02,Pozzo,CASTELFRANCO EMILIA,0410ER-DQ2-CCS,Conoide Panaro - confinato superiore,660481,4941487,37,100,,,,,Zootecnico
MO,MO58-00,Pozzo,FORMIGINE,0120ER-DQ1-CL,Conoide Secchia - libero,644069,4939402,74.2,138,,6,45,133,Acquedottistico
MO,MO59-00,Pozzo,FIORANO MODENESE,0120ER-DQ1-CL,Conoide Secchia - libero,643786,4935108,105.5,93,,4,45,68,Industriale
MO,MO60-00,Pozzo,MARANELLO,0130ER-DQ1-CL,Conoide Tiepido - libero,648346,4933151,118,95,,,,,Industriale
MO,MO62-00,Pozzo,SAVIGNANO SUL PANARO,0140ER-DQ1-CL,Conoide Panaro - libero,662657,4931157,77.7,108,,,,,Acquedottistico
MO,MO63-00,Pozzo,CASTELVETRO DI MODENA,0400ER-DQ2-CCS,Conoide Tiepido - confinato superiore,655537,4933802,72,156,,,,,Industriale
MO,MO64-00,Pozzo,CASTELFRANCO EMILIA,0140ER-DQ1-CL,Conoide Panaro - libero,663978,4932716,65,73,,,,,Domestico
MO,MO65-00,Pozzo,CASTELVETRO DI MODENA,2400ER-DQ2-CCI,Conoide Tiepido - confinato inferiore,651514,4932590,115,100,,1,67.5,73.5,Industriale
MO,MO66-00,Pozzo,CASTELFRANCO EMILIA,0410ER-DQ2-CCS,Conoide Panaro - confinato superiore,667381,4933587,59.2,120,,,,,Irriguo
MO,MO68-01,Pozzo,MODENA,0400ER-DQ2-CCS,Conoide Tiepido - confinato superiore,651527,4939092,53.3,40,Fondo foro,1,39,40,Domestico
MO,MO69-00,Pozzo,MODENA,0390ER-DQ2-CCS,Conoide Secchia - confinato superiore,645367,4943903,47.3,43.5,,,,,Domestico
MO,MO71-01,Pozzo,FIORANO MODENESE,0120ER-DQ1-CL,Conoide Secchia - libero,645242,4933838,116.4,116.5,,,,,Industriale
MO,MO72-01,Pozzo,FORMIGINE,0120ER-DQ1-CL,Conoide Secchia - libero,647747,4938930,65,104,Fondo foro,1,93,104,Industriale
MO,MO73-01,Pozzo,SASSUOLO,0120ER-DQ1-CL,Conoide Secchia - libero,642270,4937458,90.8,97,,3,57,96,Acquedottistico
MO,MO74-00,Pozzo,CASTELFRANCO EMILIA,0410ER-DQ2-CCS,Conoide Panaro - confinato superiore,667917,4939476,36,52,Fondo foro,1,42,48,Irriguo
MO,MO75-00,Pozzo,CAMPOGALLIANO,0390ER-DQ2-CCS,Conoide Secchia - confinato superiore,644555,4948280,46,60,,3,37,56,Acquedottistico
MO,MO76-00,Pozzo,CASTELFRANCO EMILIA,0410ER-DQ2-CCS,Conoide Panaro - confinato superiore,662292,4939319,42,123,,4,75,121,Acquedottistico
MO,MO77-01,Pozzo,CASTELFRANCO EMILIA,0410ER-DQ2-CCS,Conoide Panaro - confinato superiore,666200,4936040,43,30,,,,,Domestico
MO,MO80-00,Pozzo,MIRANDOLA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,664133,4971866,17.5,300,,4,24.85,300,Non in uso
MO,MO81-00,Pozzo,SASSUOLO,0120ER-DQ1-CL,Conoide Secchia - libero,642602,4937030,92.4,116,,4,48,107,Acquedottistico
MO,MO82-00,Pozzo,CONCORDIA SULLA SECCHIA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,657362,4975110,17.6,120,,,,,Industriale
MO,MO84-00,Pozzo,MARANO,5050ER-AV2-VA,Depositi vallate App. Panaro-Tiepido,655346,4923873,143.3,15,,,,,Acquedottistico
MO,MO85-00,Pozzo,MARANELLO,0130ER-DQ1-CL,Conoide Tiepido - libero,649736,4932259,127.6,30,,,,,Irriguo
MO,MO86-00,Pozzo,FORMIGINE,0130ER-DQ1-CL,Conoide Tiepido - libero,650218,4934914,92.2,40,,1,23,25,Industriale
MO,MO87-00,Pozzo,CASTELFRANCO EMILIA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,660753,4944674,31.5,280,,3,143,275,Irriguo
MO,MO88-00,Pozzo,CASTELFRANCO EMILIA,2410ER-DQ2-CCI,Conoide Panaro - confinato inferiore,668887,4941029,30,200,,3,98,192,Acquedottistico
MO,MO-F01-00,Pozzo,NONANTOLA,9015ER-DQ1-FPF,Freatico di pianura fluviale,658842,4947531,28.2,12,,,,,Domestico
MO,MO-F02-00,Pozzo,MODENA,9015ER-DQ1-FPF,Freatico di pianura fluviale,650986,4948885,36.2,3.8,,,,,Domestico
MO,MO-F05-00,Pozzo,SAN PROSPERO,9015ER-DQ1-FPF,Freatico di pianura fluviale,658710,4957831,26.2,5.43,,,,,Domestico
MO,MO-F08-00,Pozzo,CAMPOSANTO,9015ER-DQ1-FPF,Freatico di pianura fluviale,668888,4962026,17,6.6,,,,,Domestico
MO,MO-F13-00,Pozzo,CAVEZZO,9015ER-DQ1-FPF,Freatico di pianura fluviale,656642,4967080,21.6,9,,,,,Domestico
MO,MO-F14-00,Pozzo,MIRANDOLA,9015ER-DQ1-FPF,Freatico di pianura fluviale,660089,4969370,19,6,,,,,Irriguo
MO,MO-F20-00,Pozzo,CONCORDIA SULLA SECCHIA,9015ER-DQ1-FPF,Freatico di pianura fluviale,654014,4977233,20.2,7.8,,,,,Domestico
PC,PC01-00,Pozzo,ROTTOFRENO,0032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,544503,4991341,59.86,39,,,,,Civile
PC,PC02-00,Pozzo,ROTTOFRENO,0300ER-DQ2-CCS,Conoide Tidone-Luretta - confinato superiore,543007,4989237,64.02,42,Fondo foro,1,41,42,Civile
PC,PC03-02,Pozzo,GRAGNANO TREBBIENSE,0032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,541802,4983035,92.3,49,Fondo foro,1,39,48,Irriguo
PC,PC04-01,Pozzo,PIACENZA,2301ER-DQ2-CCI,Conoide Trebbia - confinato inferiore,550226,4985278,76.7,155,,3,108.8,153,Civile
PC,PC05-02,Pozzo,PIACENZA,2301ER-DQ2-CCI,Conoide Trebbia - confinato inferiore,553513,4985289,71.6,152.5,,3,125,150,Acquedottistico
PC,PC07-00,Pozzo,GRAGNANO TREBBIENSE,0032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,544823,4984661,81.5,64,,2,40,60,Civile
PC,PC09-01,Pozzo,CAORSO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,567937,4988928,43.5,133,,1,89,120,Civile
PC,PC10-01,Pozzo,MONTICELLI D'ONGINA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,572309,4992801,40.19,140,,3,67,136,Civile
PC,PC11-02,Pozzo,CASTELVETRO PIACENTINO,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,578168,4991421,37.6,107,,1,87,96,Civile
PC,PC12-01,Pozzo,VILLANOVA SULL'ARDA,0630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,578359,4986601,39.61,109,Fondo foro,1,93,96,Civile
