tile_row,tile_col,lat,lon,insar_obs_mean,insar_post_mean,insar_obs_trend,insar_post_trend,ShallowLoad_mean,ShallowLoad_trend,ShallowLoad_theta_mean,DeepLoad_mean,DeepLoad_trend,DeepLoad_theta_mean,Groundwater_mean,Groundwater_trend,Groundwater_theta_mean
0,0,44.67212677001953,11.220741271972656,-6.125886603536301e-11,-0.0002498108660802245,,-0.00020873582221893377,-0.4729311466217041,-0.1369240654944965,-0.04392850026488304,0.6277317404747009,-1.078044715452003,1.7607433795928955,-0.570377767086029,-0.303495671236539,0.08901552110910416
0,1,44.674766540527344,11.301313400268555,-9.012798840579705e-11,-0.001174336182884872,,-0.00040949764131844,-0.3250700831413269,-0.11109757676775403,-0.06037958338856697,0.5845367312431335,-1.0209006911372756,1.7685669660568237,-2.2244393825531006,-0.6169762390386812,0.2185225784778595
0,2,44.67735290527344,11.381897926330566,2.403413024154588e-10,-0.0022826639469712973,,-0.0006286552015030234,-0.15636998414993286,-0.06498094568375179,-0.12783323228359222,0.8071485757827759,-0.9184592690537957,1.6175930500030518,-3.8999767303466797,-0.9582125213754209,0.557971179485321
0,3,44.67987823486328,11.462492942810059,-1.201706512077294e-10,-0.0019618866499513388,,-0.0005215610916101065,-0.2686139941215515,-0.05815653251185216,-0.19781114161014557,0.3135049343109131,-1.0644787526863781,1.8034874200820923,-3.428076982498169,-0.7910430955670694,0.39718419313430786
0,4,44.682350158691406,11.543097496032715,-4.506399420289853e-11,-0.0017743771895766258,,0.0001290414812370377,-0.5346083641052246,-0.14413800928492676,-0.1542685329914093,0.07245118916034698,-1.2521759597534803,2.0397019386291504,-2.954991340637207,0.15881920837981497,-0.12853044271469116
0,5,44.68476867675781,11.623714447021484,6.00853256038647e-11,-0.000753507309127599,,8.054865173759552e-05,-0.9254553914070129,-0.15129624340710612,-0.17724961042404175,-0.36586225032806396,-1.2284118746691208,1.8975359201431274,-1.3611382246017456,0.10565787160340796,0.05933273956179619
0,6,44.685951232910156,11.66402530670166,-4.506399420289853e-11,-0.0005583048332482576,,-0.00034252671613458344,-0.9165616035461426,-0.10471458507721676,-0.2099124640226364,-0.5412821173667908,-1.192492799564479,1.8196234703063965,-1.2309919595718384,-0.4912196315456441,0.22603251039981842
1,0,44.6146354675293,11.224477767944336,2.1029863961352646e-10,-0.0017007134156301618,,-0.0005331496278332077,-0.18901535868644714,-0.15026095955144556,0.042573392391204834,1.7453886270523071,-0.8527023887017712,1.5384035110473633,-3.0105667114257812,-0.9053982140665705,0.40140843391418457
1,1,44.617271423339844,11.304970741271973,-3.004266280193235e-11,-0.001925566466525197,,-0.0004974945859090138,-0.13073472678661346,-0.1613498656851125,0.06499699503183365,1.5887961387634277,-0.799327526600125,1.5951294898986816,-3.143996238708496,-0.8001988571694988,0.3298657536506653
1,2,44.619850158691406,11.385476112365723,1.802559768115941e-10,-0.001686860341578722,,-0.0005594334197180833,-0.15133915841579437,-0.16838502330206867,0.11694462597370148,1.2823907136917114,-0.7654457580955589,1.617918848991394,-2.72650408744812,-0.8623220873598189,0.3095848858356476
1,3,44.62237548828125,11.465991020202637,1.201706512077294e-10,-0.0026039411313831806,,-0.00047154101526942403,-0.06350016593933105,-0.17462793486641054,0.09086228162050247,1.3374584913253784,-0.7802639042430701,1.6531682014465332,-4.0635833740234375,-0.7318764341507047,0.28911125659942627
1,4,44.624839782714844,11.546517372131348,2.403413024154588e-10,-0.002489337930455804,,-0.000452824174400038,-0.20124836266040802,-0.19392130429293702,0.10882698744535446,1.0957356691360474,-0.7973868955066179,1.686447024345398,-3.8489720821380615,-0.6958193465728651,0.18921194970607758
1,5,44.62725067138672,11.627053260803223,-2.403413024154588e-10,-0.0023366340901702642,,-0.000359862101635722,-0.3803860545158386,-0.19382773230679054,0.034981656819581985,0.9019478559494019,-0.8539380240328809,1.7834244966506958,-3.5133190155029297,-0.5380064349006463,0.2079213410615921
1,6,44.62843322753906,11.667325019836426,6.00853256038647e-11,-0.001509202877059579,,-0.00024236013660825886,-0.6724403500556946,-0.2236404931017093,0.04359980672597885,0.6615936756134033,-0.8844992230362433,1.7954974174499512,-2.258389472961426,-0.3525196550560886,0.1874828338623047
2,0,44.55714416503906,11.228202819824219,-1.5021331400966176e-10,-0.002355922246351838,,-0.0005018798065990306,0.14164265990257263,-0.18456391989188717,0.16289973258972168,2.184937000274658,-0.8002612681830312,1.4985899925231934,-4.165375232696533,-0.8852005089150075,0.2568095028400421
2,1,44.55977249145508,11.308616638183594,-1.802559768115941e-10,-0.001983342692255974,,-0.0004212081096053216,-0.020874658599495888,-0.2245900405727745,0.22901368141174316,1.968336582183838,-0.7587409623833822,1.5289604663848877,-3.3137121200561523,-0.6983753720467741,0.18892823159694672
2,2,44.562347412109375,11.389041900634766,6.00853256038647e-11,-0.001675272360444069,,-0.0005045794930088366,-0.14250943064689636,-0.22847863883377714,0.22773854434490204,1.7703416347503662,-0.6927519713971704,1.4989041090011597,-2.6527020931243896,-0.8009891218759797,0.3153076469898224
2,3,44.56486892700195,11.469478607177734,0.0,-0.0016988192219287157,,-0.00027499441384278077,-0.24370741844177246,-0.27777035632930236,0.2753732204437256,1.468336820602417,-0.7267965579375545,1.6347063779830933,-2.684288501739502,-0.41599686666924685,0.11014281213283539
2,4,44.56732940673828,11.549925804138184,-6.00853256038647e-11,-0.0012202023062855005,,-0.0005451592493181791,-0.3927157521247864,-0.2575625275824478,0.2538524270057678,1.4154603481292725,-0.6299092801895371,1.5449875593185425,-1.767421841621399,-0.8074812996923366,0.2969933748245239
2,5,44.569732666015625,11.630382537841797,-2.403413024154588e-10,-0.0020658059511333704,,-0.00048142815585406495,-0.34443190693855286,-0.27071805880031485,0.26030075550079346,1.5488440990447998,-0.6134985887151669,1.5581306219100952,-2.9374125003814697,-0.6975519399870767,0.25150617957115173
2,6,44.57091522216797,11.670614242553711,-1.201706512077294e-10,-0.0020994311198592186,,-0.0004356655464875912,-0.36604106426239014,-0.2677384952013505,0.24060265719890594,1.3500475883483887,-0.6435791348371117,1.6170555353164673,-2.9392313957214355,-0.6137147697938835,0.19080187380313873
3,0,44.49964904785156,11.231916427612305,4.806826048309176e-10,-0.002428921638056636,,-0.000612442441521845,0.23933351039886475,-0.16788861779047842,0.2521376311779022,2.4117038249969482,-0.6529516258381586,1.2618067264556885,-4.275629043579102,-1.099913394028809,0.5417857766151428
3,1,44.50227355957031,11.312252044677734,1.201706512077294e-10,-0.0018792946357280016,,-0.00038549732720333035,0.11475741863250732,-0.24772535879563362,0.3079638183116913,2.0454277992248535,-0.7861590570506246,1.5148764848709106,-3.1997621059417725,-0.6545280515076841,0.08187918365001678
3,2,44.504844665527344,11.392599105834961,1.802559768115941e-10,-0.0022468739189207554,,-0.0005375585562510934,0.04700402170419693,-0.23705135174170336,0.27753308415412903,2.1284279823303223,-0.7118019664580411,1.4768086671829224,-3.70639967918396,-0.8784301304532325,0.2404470145702362
3,3,44.50735855102539,11.472956657409668,1.802559768115941e-10,-0.0018292799359187484,,-0.00027910664187737877,-0.15463998913764954,-0.2977464732621861,0.3329300880432129,1.6508185863494873,-0.7243705846887222,1.6080644130706787,-2.9522247314453125,-0.42366327142173593,0.027680419385433197
3,4,44.50981903076172,11.553323745727539,6.00853256038647e-11,-0.0016482865903526545,,-0.0003653868256350184,-0.30957043170928955,-0.31282352841394473,0.3586617112159729,1.6711169481277466,-0.62961107136851,1.5550386905670166,-2.5407516956329346,-0.5317315961480799,0.12583015859127045
3,5,44.5122184753418,11.633703231811523,-3.004266280193235e-10,-0.0019396116258576512,,-0.0004838481151520371,-0.3516649007797241,-0.3145729019518264,0.37513497471809387,1.6846121549606323,-0.5515088762908695,1.470320701599121,-2.7327511310577393,-0.6909178840180107,0.21285855770111084
3,6,44.513397216796875,11.673894882202148,6.00853256038647e-11,-0.002304584952071309,,-0.0003925670861837502,-0.2730843722820282,-0.3105792562361498,0.343225359916687,1.6215848922729492,-0.5721802713080524,1.5442436933517456,-3.121229648590088,-0.5383612096488954,0.12992216646671295
4,0,44.44215774536133,11.235618591308594,-3.004266280193235e-11,-0.0013709492050111294,,-0.0004448508420548393,0.25349316000938416,-0.20234022524088302,0.2606104016304016,2.1014490127563477,-0.7689742556708382,1.479849934577942,-2.37203049659729,-0.8553092316151621,0.20284979045391083
4,1,44.44477844238281,11.315876007080078,7.510665700483088e-12,-0.0015628206310793757,,-0.00015573838188787518,0.12934184074401855,-0.2725589162231806,0.3247470259666443,1.9539920091629028,-0.8767754210826547,1.6129405498504639,-2.669727325439453,-0.28600714806178434,-0.004523024428635836
4,2,44.44734191894531,11.396143913269043,0.0,-0.00211852858774364,,-0.0001630606602020378,0.16412471234798431,-0.26879536434211193,0.3075798749923706,1.8511409759521484,-0.9179429644170929,1.7172945737838745,-3.6115496158599854,-0.2865967209985547,-0.10211149603128433
