time,y_insar,y_insar_prior,y_insar_post,y_grace,y_grace_prior,y_grace_post,y_smap,y_smap_prior,y_smap_post,theta_shallow,theta_deep,theta_groundwater,x_shallow,x_deep,x_groundwater
2017-01-04,0.00041276848642802475,0.0021669604099185946,0.00042713823505537136,24.005839740968135,17.272689819335938,12.038240810679309,,0.0,0.0,1.6034033811731527,1.0616832102336877,0.19709846429330796,5.98207353048756,4.15924549946645,1.8969217807252998
2017-01-10,0.0005094181164232517,0.0015988175946031191,0.0005292799220441859,24.005839740968135,10.640652775764465,6.823643807188443,,0.0,0.0,1.6332002153046954,1.059535316790567,0.3310365431194895,2.0570108474714806,2.4159592547444464,2.350673704972515
2017-01-28,0.0004932391224493707,0.0005980958604210329,0.0003879336641392397,24.005839740968135,4.696088075637817,4.5936214828069755,,0.0,0.0,1.6605995004884675,1.0526032772786862,0.6486044374413327,1.9765296101813468,0.8941686036375013,1.7229232689881275
2017-02-03,0.0003869399319292945,0.00010778470643534044,6.094302778493767e-05,33.066559840887145,4.5916779190301895,7.237640268268921,,0.0,0.0,1.6854289707536028,1.043666192199148,0.5652464835957101,7.0237841652144155,-0.05669644993435559,0.2705525529888604
2017-02-09,0.0004455246802600534,0.0018317149845792358,0.0004766483897330822,33.066559840887145,33.06137943267822,35.68657927211255,,0.0,0.0,1.6972915037153753,1.0349196097995388,0.26016207733854674,19.91875925121902,13.651408409275037,2.116411611618496
2017-02-15,0.0004891459088022323,0.0015927127551584874,0.0005008521770105437,33.066559840887145,24.490867137908936,25.119701607746684,,0.0,0.0,1.71322208924403,1.030439858263654,0.3144222033423793,12.415800912209967,10.479805355308157,2.2240953402285597
2017-02-21,0.0003777159894590234,0.0008497806835681132,0.00040646661567135994,33.066559840887145,17.342886447906494,19.55177515669754,,0.0,0.0,1.7223760377576136,1.0160539271174243,0.47826777887868727,9.656680553782598,8.090115345988847,1.8049792569260963
2017-02-27,0.0005171992510505455,0.000583961237662578,0.00046057695287004304,33.066559840887145,19.411849975585938,25.395629416835483,,0.0,0.0,1.7225271022813362,0.9884702584644609,0.7886441638201738,15.782679872692537,7.5677406893727195,2.045208854770225
2017-03-05,0.0004913260694657886,0.0003566481693084711,0.00031725334123791095,41.250436060168845,22.167267084121704,29.932217148064062,,0.0,0.0,1.714332318608372,0.9536618412809832,0.8894297884190419,20.044206294101976,8.479451061989565,1.4085597919725203
2017-03-11,0.0005379597627389679,0.0007638674265528778,0.00045778618046079687,41.250436060168845,21.62585973739624,25.452840321061814,,0.0,0.0,1.6901342441139822,0.9064428364869271,0.5992367877422817,14.86433107019975,8.555697073901111,2.0328121769609515
2017-03-17,0.0006290077784861872,-5.126245268449736e-05,4.21121083708066e-06,41.250436060168845,10.186306685209274,11.425396118020242,,0.0,0.0,1.6491450385891493,0.8408626682623614,-0.08121799341496871,5.4068322334340095,6.000057726580303,0.018506158005929436
2017-03-23,0.0007296911848308021,-0.0011498977611404393,0.0006445735273955614,41.250436060168845,-0.49627789855003357,6.470144502738841,,0.0,0.0,1.5963670164042614,0.7489832537018233,-0.5605275570429185,0.28983022620397725,3.317559256525079,2.862755020009785
2017-03-29,0.0006126525608188907,-0.0015342471246064804,0.0006224292350190321,41.250436060168845,-0.22971630096435547,10.880018299597088,,0.0,0.0,1.5430568637157593,0.6380804307857284,-0.40566292331420994,6.673976695079664,1.4417162797389782,2.7643253247784454
2017-04-04,0.0007156518462644393,-0.002251880674549067,0.0007204106513751354,27.88847254783746,-8.559651523828506,4.931274260202857,,0.0,0.0,1.4738441914090774,0.5186066463176435,-0.31991131169185055,1.5180359317311878,0.21362638743872966,3.199611941032939
2017-04-10,0.0007777886407048875,-0.002844399500468997,0.0007783146599035385,27.88847254783746,-11.90656566619873,5.398834061120487,,0.0,0.0,1.4019223511584622,0.3977755421500706,-0.2736276362838917,2.3078448268983824,-0.3657942028322683,3.4567834370543733
2017-04-16,0.0007896242954367274,-0.003915102070790155,0.0007922499533563826,27.88847254783746,-18.4248189330101,4.251798991786493,,0.0,0.0,1.3256197594807815,0.27923744678021056,-0.20235689851448993,1.2953148400346388,-0.5622131020061392,3.5186972537579932
2017-04-28,0.000565805754747192,-0.003917639924000849,0.0005700723312552757,27.88847254783746,-8.165858268737793,12.049931172156251,,0.0,0.0,1.2466148657315221,0.16624708620131767,-0.14550341244518067,9.211443434807496,0.30672536352467544,2.5317623738240793
2017-05-04,0.0005760714615527043,-0.003638684965478145,0.0005821118492199308,52.67504294085321,-12.03660398721695,8.255272869371069,,0.0,0.0,1.1533445238181024,0.04932935232964497,-0.159971850536318,5.710772690267691,-0.040801123664043225,2.5853013027674208
2017-05-10,0.000678876275203141,-0.0030145059992401357,0.0006766314047898642,52.67504294085321,-1.7262358665466309,11.779905354064473,,0.0,0.0,1.0331374915655462,-0.06346634252182493,-0.22444373374618182,8.96435572652645,-0.18949818555791062,3.005047813095934
