centerLat,centerLon,stopTime,fileID,flightDirection,pathNumber,processingLevel,url,startTime,sceneName,browse,platform,bytes,md5sum,frameNumber,granuleType,orbit,polarization,processingDate,sensor,groupID,pgeVersion,fileName,beamModeType,s3Urls,temporalBaseline,perpendicularBaseline,geometry
44.4478,10.0773,2017-06-03T05:27:45Z,S1A_IW_SLC__1SDV_20170603T052718_20170603T052745_016865_01C0C1_9BC4-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170603T052718_20170603T052745_016865_01C0C1_9BC4.zip,2017-06-03 05:27:18+00:00,S1A_IW_SLC__1SDV_20170603T052718_20170603T052745_016865_01C0C1_9BC4,,Sentinel-1A,4537504358,cb8b165c0fa5c572971c986ae4f5dac7,444,SENTINEL_1A_FRAME,16865,VV+VH,2017-06-03T05:27:18Z,C-SAR,S1A_IWDV_0444_0449_016865_168,002.82,S1A_IW_SLC__1SDV_20170603T052718_20170603T052745_016865_01C0C1_9BC4.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1A_IW_SLC__1SDV_20170603T052718_20170603T052745_016865_01C0C1_9BC4.zip'],150,-38.0,"{'coordinates': [[[11.4533, 43.427891], [11.897532, 45.045559], [8.646435, 45.445034], [8.293607, 43.827267], [11.4533, 43.427891]]], 'type': 'Polygon'}"
43.9523,9.9547,2017-06-09T05:27:12Z,S1B_IW_SLC__1SDV_20170609T052645_20170609T052712_005969_00A798_805C-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170609T052645_20170609T052712_005969_00A798_805C.zip,2017-06-09 05:26:45+00:00,S1B_IW_SLC__1SDV_20170609T052645_20170609T052712_005969_00A798_805C,,Sentinel-1B,4240906145,768e6152d03b6c8f8b772095523c094d,446,SENTINEL_1B_FRAME,5969,VV+VH,2017-06-09T05:26:45Z,C-SAR,S1B_IWDV_0446_0451_005969_168,002.82,S1B_IW_SLC__1SDV_20170609T052645_20170609T052712_005969_00A798_805C.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170609T052645_20170609T052712_005969_00A798_805C.zip'],156,70.0,"{'coordinates': [[[11.313234, 42.933624], [11.752705, 44.551064], [8.542785, 44.948872], [8.192079, 43.33147], [11.313234, 42.933624]]], 'type': 'Polygon'}"
44.4477,10.0772,2017-06-15T05:27:46Z,S1A_IW_SLC__1SDV_20170615T052719_20170615T052746_017040_01C629_70BE-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170615T052719_20170615T052746_017040_01C629_70BE.zip,2017-06-15 05:27:19+00:00,S1A_IW_SLC__1SDV_20170615T052719_20170615T052746_017040_01C629_70BE,,Sentinel-1A,4638654769,bc20f3069e53d073ca21206cf7b30187,444,SENTINEL_1A_FRAME,17040,VV+VH,2017-06-15T05:27:19Z,C-SAR,S1A_IWDV_0444_0449_017040_168,002.82,S1A_IW_SLC__1SDV_20170615T052719_20170615T052746_017040_01C629_70BE.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1A_IW_SLC__1SDV_20170615T052719_20170615T052746_017040_01C629_70BE.zip'],162,-58.0,"{'coordinates': [[[11.453174, 43.427773], [11.897426, 45.045567], [8.646378, 45.445019], [8.293537, 43.827126], [11.453174, 43.427773]]], 'type': 'Polygon'}"
43.9524,9.9554,2017-06-21T05:27:12Z,S1B_IW_SLC__1SDV_20170621T052645_20170621T052712_006144_00ACB6_D4C6-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170621T052645_20170621T052712_006144_00ACB6_D4C6.zip,2017-06-21 05:26:45+00:00,S1B_IW_SLC__1SDV_20170621T052645_20170621T052712_006144_00ACB6_D4C6,,Sentinel-1B,4183524381,fdb112476297fa6bed2a4ec2f42a18b8,446,SENTINEL_1B_FRAME,6144,VV+VH,2017-06-21T05:26:45Z,C-SAR,S1B_IWDV_0446_0451_006144_168,002.82,S1B_IW_SLC__1SDV_20170621T052645_20170621T052712_006144_00ACB6_D4C6.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170621T052645_20170621T052712_006144_00ACB6_D4C6.zip'],168,-13.0,"{'coordinates': [[[11.313931, 42.933685], [11.753417, 44.551125], [8.543662, 44.948925], [8.192937, 43.33152], [11.313931, 42.933685]]], 'type': 'Polygon'}"
44.4478,10.0763,2017-06-27T05:27:46Z,S1A_IW_SLC__1SDV_20170627T052719_20170627T052746_017215_01CB7E_54FF-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170627T052719_20170627T052746_017215_01CB7E_54FF.zip,2017-06-27 05:27:19+00:00,S1A_IW_SLC__1SDV_20170627T052719_20170627T052746_017215_01CB7E_54FF,,Sentinel-1A,4619289384,265aed8522ce734f81cf124eff7fdccb,444,SENTINEL_1A_FRAME,17215,VV+VH,2017-06-27T05:27:19Z,C-SAR,S1A_IWDV_0444_0449_017215_168,002.82,S1A_IW_SLC__1SDV_20170627T052719_20170627T052746_017215_01CB7E_54FF.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1A_IW_SLC__1SDV_20170627T052719_20170627T052746_017215_01CB7E_54FF.zip'],174,3.0,"{'coordinates': [[[11.452277, 43.427811], [11.896489, 45.045609], [8.645447, 45.445019], [8.292645, 43.827122], [11.452277, 43.427811]]], 'type': 'Polygon'}"
43.9513,9.9561,2017-07-03T05:27:13Z,S1B_IW_SLC__1SDV_20170703T052646_20170703T052713_006319_00B1C7_9D9A-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170703T052646_20170703T052713_006319_00B1C7_9D9A.zip,2017-07-03 05:26:46+00:00,S1B_IW_SLC__1SDV_20170703T052646_20170703T052713_006319_00B1C7_9D9A,,Sentinel-1B,4190569978,5d42bb7db137feaf8c3327b2ee449981,446,SENTINEL_1B_FRAME,6319,VV+VH,2017-07-03T05:26:46Z,C-SAR,S1B_IWDV_0446_0451_006319_168,002.82,S1B_IW_SLC__1SDV_20170703T052646_20170703T052713_006319_00B1C7_9D9A.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170703T052646_20170703T052713_006319_00B1C7_9D9A.zip'],180,-65.0,"{'coordinates': [[[11.314485, 42.932297], [11.754163, 44.55035], [8.544356, 44.948196], [8.193471, 43.330181], [11.314485, 42.932297]]], 'type': 'Polygon'}"
44.4471,10.0759,2017-07-09T05:27:47Z,S1A_IW_SLC__1SDV_20170709T052720_20170709T052747_017390_01D0C1_5C0C-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170709T052720_20170709T052747_017390_01D0C1_5C0C.zip,2017-07-09 05:27:20+00:00,S1A_IW_SLC__1SDV_20170709T052720_20170709T052747_017390_01D0C1_5C0C,,Sentinel-1A,4568973001,1ba18f4892c26d43eeb34462d6cf9374,444,SENTINEL_1A_FRAME,17390,VV+VH,2017-07-09T05:27:20Z,C-SAR,S1A_IWDV_0444_0449_017390_168,002.82,S1A_IW_SLC__1SDV_20170709T052720_20170709T052747_017390_01D0C1_5C0C.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1A_IW_SLC__1SDV_20170709T052720_20170709T052747_017390_01D0C1_5C0C.zip'],186,16.0,"{'coordinates': [[[11.451917, 43.427464], [11.895958, 45.044777], [8.644994, 45.444153], [8.292333, 43.82674], [11.451917, 43.427464]]], 'type': 'Polygon'}"
43.9517,9.9555,2017-07-15T05:27:14Z,S1B_IW_SLC__1SDV_20170715T052647_20170715T052714_006494_00B6B9_959C-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170715T052647_20170715T052714_006494_00B6B9_959C.zip,2017-07-15 05:26:47+00:00,S1B_IW_SLC__1SDV_20170715T052647_20170715T052714_006494_00B6B9_959C,,Sentinel-1B,4238418519,534830d57b045f9c910f20c62becabcf,446,SENTINEL_1B_FRAME,6494,VV+VH,2017-07-15T05:26:47Z,C-SAR,S1B_IWDV_0446_0451_006494_168,002.82,S1B_IW_SLC__1SDV_20170715T052647_20170715T052714_006494_00B6B9_959C.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170715T052647_20170715T052714_006494_00B6B9_959C.zip'],192,-29.0,"{'coordinates': [[[11.313991, 42.932846], [11.753587, 44.550526], [8.543806, 44.948387], [8.192983, 43.330738], [11.313991, 42.932846]]], 'type': 'Polygon'}"
44.4473,10.0768,2017-07-21T05:27:48Z,S1A_IW_SLC__1SDV_20170721T052721_20170721T052748_017565_01D614_ACBE-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170721T052721_20170721T052748_017565_01D614_ACBE.zip,2017-07-21 05:27:21+00:00,S1A_IW_SLC__1SDV_20170721T052721_20170721T052748_017565_01D614_ACBE,,Sentinel-1A,4579809493,5c7a2d2e3cd3a3a8eb8eb689d2aa78cf,444,SENTINEL_1A_FRAME,17565,VV+VH,2017-07-21T05:27:21Z,C-SAR,S1A_IWDV_0444_0449_017565_168,002.82,S1A_IW_SLC__1SDV_20170721T052721_20170721T052748_017565_01D614_ACBE.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1A_IW_SLC__1SDV_20170721T052721_20170721T052748_017565_01D614_ACBE.zip'],198,-23.0,"{'coordinates': [[[11.452724, 43.427219], [11.897, 45.045261], [8.645922, 45.444683], [8.293067, 43.826542], [11.452724, 43.427219]]], 'type': 'Polygon'}"
43.9519,9.9556,2017-07-27T05:27:14Z,S1B_IW_SLC__1SDV_20170727T052647_20170727T052714_006669_00BBB5_B933-SLC,DESCENDING,168,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170727T052647_20170727T052714_006669_00BBB5_B933.zip,2017-07-27 05:26:47+00:00,S1B_IW_SLC__1SDV_20170727T052647_20170727T052714_006669_00BBB5_B933,,Sentinel-1B,4248476110,c420b856980d8a097d9cfd2ce181495a,446,SENTINEL_1B_FRAME,6669,VV+VH,2017-07-27T05:26:47Z,C-SAR,S1B_IWDV_0446_0451_006669_168,002.82,S1B_IW_SLC__1SDV_20170727T052647_20170727T052714_006669_00BBB5_B933.zip,IW,['s3://asf-ngap2w-p-s1-slc-7b420b89/S1B_IW_SLC__1SDV_20170727T052647_20170727T052714_006669_00BBB5_B933.zip'],204,3.0,"{'coordinates': [[[11.314001, 42.932957], [11.753606, 44.550888], [8.54381, 44.948692], [8.192988, 43.330799], [11.314001, 42.932957]]], 'type': 'Polygon'}"
