"Granule Name",Platform,Sensor,"Beam Mode","Beam Mode Description",Orbit,"Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?",URL,"Size (MB)","Off Nadir Angle","Stack Size",Doppler,GroupID,"Pointing Angle",relativeBurstID,absoluteBurstID,fullBurstID,burstIndex,azimuthTime,azimuthAnxTime,samplesPerBurst,subswath
S1B_IW_SLC__1SDV_20210112T053431_20210112T053458_025117_02FD7D_6F3D,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",25117,66,436,2021-01-12T05:34:58.649708Z,2021-01-12T05:34:31.670532Z,SLC,2021-01-12T05:34:31.670532Z,2021-01-12T05:34:58.649708Z,46.9303,8.646,47.528835,10.529088,47.923771,7.169933,45.913162,10.06109,46.30724,6.804362,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210112T053431_20210112T053458_025117_02FD7D_6F3D.zip,4212.0985326767,,,0,S1B_IWDV_0435_0442_025117_066,,,,,,,,,
S1B_IW_SLC__1SDV_20210109T051050_20210109T051117_025073_02FC03_34BC,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",25073,22,448,2021-01-09T05:11:17.783111Z,2021-01-09T05:10:50.814212Z,SLC,2021-01-09T05:10:50.814212Z,2021-01-09T05:11:17.783111Z,43.3159,13.9469,43.914505,15.726398,44.313385,12.55067,42.296646,15.291378,42.695679,12.201682,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210109T051050_20210109T051117_025073_02FC03_34BC.zip,3895.43991565704,,,0,S1B_IWDV_0448_0453_025073_022,,,,,,,,,
S1B_IW_SLC__1SDV_20210109T051025_20210109T051052_025073_02FC03_68A5,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",25073,22,443,2021-01-09T05:10:52.951990Z,2021-01-09T05:10:25.025202Z,SLC,2021-01-09T05:10:25.025202Z,2021-01-09T05:10:52.951990Z,44.8333,14.3281,45.458946,16.166641,45.858929,12.897137,43.784824,15.702003,44.184513,12.528848,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210109T051025_20210109T051052_025073_02FC03_68A5.zip,3971.30401325226,,,0,S1B_IWDV_0443_0448_025073_022,,,,,,,,,
S1A_IW_SLC__1SDV_20210108T051932_20210108T051959_036042_04393F_C79A,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",36042,95,445,2021-01-08T05:19:59.323072Z,2021-01-08T05:19:32.345951Z,SLC,2021-01-08T05:19:32.345951Z,2021-01-08T05:19:59.323072Z,44.1607,12.0677,44.757843,13.883724,45.158619,10.639166,43.140114,13.441823,43.540859,10.287642,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210108T051932_20210108T051959_036042_04393F_C79A.zip,4297.39235305786,,,0,S1A_IWDV_0444_0451_036042_095,,,,,,,,,
S1A_IW_SLC__1SDV_20210108T051907_20210108T051934_036042_04393F_9815,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",36042,95,440,2021-01-08T05:19:34.504286Z,2021-01-08T05:19:07.518943Z,SLC,2021-01-08T05:19:07.518943Z,2021-01-08T05:19:34.504286Z,45.6495,12.4368,46.245697,14.302497,46.646824,10.968392,44.628628,13.846628,45.029297,10.610051,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210108T051907_20210108T051934_036042_04393F_9815.zip,4246.43686008453,,,0,S1A_IWDV_0439_0446_036042_095,,,,,,,,,
S1B_IW_SLC__1SDV_20210107T052703_20210107T052730_025044_02FB1E_53A0,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",25044,168,445,2021-01-07T05:27:30.148981Z,2021-01-07T05:27:03.163638Z,SLC,2021-01-07T05:27:03.163638Z,2021-01-07T05:27:30.148981Z,44.2227,10.0404,44.823627,11.831568,45.218075,8.638238,43.205452,11.389305,43.599827,8.285141,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210107T052703_20210107T052730_025044_02FB1E_53A0.zip,4100.67772388458,,,0,S1B_IWDV_0444_0451_025044_168,,,,,,,,,
S1B_IW_SLC__1SDV_20210107T052637_20210107T052705_025044_02FB1E_F320,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",25044,168,440,2021-01-07T05:27:05.313750Z,2021-01-07T05:26:37.384906Z,SLC,2021-01-07T05:26:37.384906Z,2021-01-07T05:27:05.313750Z,45.7415,10.4102,46.36972,12.257483,46.763874,8.976277,44.696175,11.785396,45.089821,8.603774,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210107T052637_20210107T052705_025044_02FB1E_F320.zip,4530.45279502869,,,0,S1B_IWDV_0439_0446_025044_168,,,,,,,,,
S1A_IW_SLC__1SDV_20210106T053554_20210106T053621_036013_043833_3C27,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",36013,66,444,2021-01-06T05:36:21.059153Z,2021-01-06T05:35:54.069699Z,SLC,2021-01-06T05:35:54.069699Z,2021-01-06T05:36:21.059153Z,44.5098,8.0155,45.10886,9.832135,45.506428,6.588367,43.490639,9.387871,43.888119,6.235522,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210106T053554_20210106T053621_036013_043833_3C27.zip,4247.62518024445,,,0,S1A_IWDV_0443_0450_036013_066,,,,,,,,,
S1A_IW_SLC__1SDV_20210106T053529_20210106T053556_036013_043833_235B,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",36013,66,439,2021-01-06T05:35:56.223921Z,2021-01-06T05:35:29.246800Z,SLC,2021-01-06T05:35:29.246800Z,2021-01-06T05:35:56.223921Z,45.9992,8.3838,46.596672,10.249767,46.9944,6.916887,44.98035,9.791697,45.37756,6.55738,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210106T053529_20210106T053556_036013_043833_235B.zip,4342.84046459198,,,0,S1A_IWDV_0438_0445_036013_066,,,,,,,,,
S1A_IW_SLC__1SDV_20210103T051120_20210103T051147_035969_0436B5_BD2B,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",35969,22,445,2021-01-03T05:11:47.932770Z,2021-01-03T05:11:20.955649Z,SLC,2021-01-03T05:11:20.955649Z,2021-01-03T05:11:47.932770Z,44.0381,14.1057,44.634926,15.920227,45.036568,12.678273,43.017109,15.479007,43.418736,12.327006,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210103T051120_20210103T051147_035969_0436B5_BD2B.zip,3645.50431346893,,,0,S1A_IWDV_0445_0451_035969_022,,,,,,,,,
S1A_IW_SLC__1SDV_20210103T051056_20210103T051123_035969_0436B5_2F20,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",35969,22,440,2021-01-03T05:11:23.111928Z,2021-01-03T05:10:56.134807Z,SLC,2021-01-03T05:10:56.134807Z,2021-01-03T05:11:23.111928Z,45.5269,14.4751,46.12236,16.339138,46.52441,13.007726,44.505699,15.884151,44.907299,12.64978,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210103T051056_20210103T051123_035969_0436B5_2F20.zip,4276.0165977478,,,0,S1A_IWDV_0440_0446_035969_022,,,,,,,,,
S1B_IW_SLC__1SDV_20210102T051902_20210102T051929_024971_02F8D2_9BA6,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",24971,95,447,2021-01-02T05:19:29.834321Z,2021-01-02T05:19:02.859255Z,SLC,2021-01-02T05:19:02.859255Z,2021-01-02T05:19:29.834321Z,43.4368,11.9217,44.03516,13.707204,44.434689,10.520347,42.41703,13.270911,42.816669,10.170758,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210102T051902_20210102T051929_024971_02F8D2_9BA6.zip,4413.84895706177,,,0,S1B_IWDV_0447_0453_024971_095,,,,,,,,,
S1B_IW_SLC__1SDV_20210102T051837_20210102T051905_024971_02F8D2_1999,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",24971,95,442,2021-01-02T05:19:05.007312Z,2021-01-02T05:18:37.076413Z,SLC,2021-01-02T05:18:37.076413Z,2021-01-02T05:19:05.007312Z,44.9547,12.297,45.580303,14.140002,45.98032,10.862406,43.906036,13.674211,44.305725,10.493599,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210102T051837_20210102T051905_024971_02F8D2_1999.zip,4354.27160549164,,,0,S1B_IWDV_0442_0448_024971_095,,,,,,,,,
S1B_IW_SLC__1SDV_20210102T051812_20210102T051839_024971_02F8D2_555E,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",24971,95,437,2021-01-02T05:18:39.216247Z,2021-01-02T05:18:12.253515Z,SLC,2021-01-02T05:18:12.253515Z,2021-01-02T05:18:39.216247Z,46.4751,12.6543,47.071663,14.534249,47.469864,11.177623,45.456608,14.070612,45.854076,10.814766,,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210102T051812_20210102T051839_024971_02F8D2_555E.zip,4313.49377727509,,,0,S1B_IWDV_0437_0443_024971_095,,,,,,,,,
