sceneName,startTime,stopTime,platform,beamModeType,polarization,pathNumber,frameNumber,flightDirection,url
S1A_IW_SLC__1SDV_20250526T054335_20250526T054402_059361_075E24_6D93,2025-05-26T05:43:35Z,2025-05-26T05:44:02Z,Sentinel-1A,IW,VV+VH,139,436,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250526T054335_20250526T054402_059361_075E24_6D93.zip
S1A_IW_SLC__1SDV_20250522T172341_20250522T172408_059310_075C59_B135,2025-05-22T17:23:41Z,2025-05-22T17:24:08Z,Sentinel-1A,IW,VV+VH,88,148,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250522T172341_20250522T172408_059310_075C59_B135.zip
S1A_IW_SLC__1SDV_20250521T053537_20250521T053604_059288_075B98_4642,2025-05-21T05:35:37Z,2025-05-21T05:36:04Z,Sentinel-1A,IW,VV+VH,66,439,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250521T053537_20250521T053604_059288_075B98_4642.zip
S1A_IW_SLC__1SDV_20250517T171535_20250517T171602_059237_0759CE_E196,2025-05-17T17:15:35Z,2025-05-17T17:16:02Z,Sentinel-1A,IW,VV+VH,15,149,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250517T171535_20250517T171602_059237_0759CE_E196.zip
S1A_IW_SLC__1SDV_20250514T054335_20250514T054402_059186_075813_814B,2025-05-14T05:43:35Z,2025-05-14T05:44:02Z,Sentinel-1A,IW,VV+VH,139,436,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250514T054335_20250514T054402_059186_075813_814B.zip
S1A_IW_SLC__1SDV_20250510T172342_20250510T172409_059135_07564A_4C6F,2025-05-10T17:23:42Z,2025-05-10T17:24:09Z,Sentinel-1A,IW,VV+VH,88,148,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250510T172342_20250510T172409_059135_07564A_4C6F.zip
