"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20241224T171538_20241224T171605_057137_07066B_38B6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57137","15","149","2024-12-24T17:16:05.825661Z","2024-12-24T17:15:38.848541Z","SLC","2024-12-24T17:15:38.848541Z","2024-12-24T17:16:05.825661Z","46.8264","9.2034","45.807362","7.774193","46.204773","11.057787","47.423103","7.307582","47.821301","10.694077","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241224T171538_20241224T171605_057137_07066B_38B6.zip","4371.740558624268","None","None","0","S1A_IWDV_0149_0155_057137_015",""
"S1A_IW_SLC__1SDV_20241224T171514_20241224T171541_057137_07066B_8E03","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57137","15","144","2024-12-24T17:15:41.000708Z","2024-12-24T17:15:14.023587Z","SLC","2024-12-24T17:15:14.023587Z","2024-12-24T17:15:41.000708Z","45.3342","9.5482","44.313782","8.148861","44.713989","11.362167","45.930683","7.696035","46.331268","11.005144","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241224T171514_20241224T171541_057137_07066B_8E03.zip","4480.8674964904785","None","None","0","S1A_IWDV_0144_0150_057137_015",""
"S1A_IW_SLC__1SDV_20241224T171448_20241224T171516_057137_07066B_3279","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57137","15","139","2024-12-24T17:15:16.177811Z","2024-12-24T17:14:48.246912Z","SLC","2024-12-24T17:14:48.246912Z","2024-12-24T17:15:16.177811Z","43.8169","9.9261","42.76812","8.570983","43.168148","11.698476","44.443398","8.116541","44.843365","11.335814","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241224T171448_20241224T171516_057137_07066B_3279.zip","4312.638053894043","None","None","0","S1A_IWDV_0139_0145_057137_015",""
"S1A_IW_SLC__1SDV_20241223T052753_20241223T052820_057115_070590_ACCD","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57115","168","444","2024-12-23T05:28:20.186005Z","2024-12-23T05:27:53.206828Z","SLC","2024-12-23T05:27:53.206828Z","2024-12-23T05:28:20.186005Z","44.4474","10.079","45.04459","11.903001","45.445011","8.644352","43.426952","11.458607","43.827267","8.291594","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241223T052753_20241223T052820_057115_070590_ACCD.zip","4396.111633300781","None","None","0","S1A_IWDV_0444_0450_057115_168",""
"S1A_IW_SLC__1SDV_20241223T052728_20241223T052755_057115_070590_864F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57115","168","439","2024-12-23T05:27:55.361051Z","2024-12-23T05:27:28.385986Z","SLC","2024-12-23T05:27:28.385986Z","2024-12-23T05:27:55.361051Z","45.9371","10.4416","46.533298","12.313501","46.933346","8.968654","44.917061","11.855386","45.316578","8.609262","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241223T052728_20241223T052755_057115_070590_864F.zip","4449.2355699539185","None","None","0","S1A_IWDV_0439_0444_057115_168",""
"S1A_IW_SLC__1SDV_20241219T170718_20241219T170745_057064_070387_3CFE","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57064","117","148","2024-12-19T17:07:45.163982Z","2024-12-19T17:07:18.195084Z","SLC","2024-12-19T17:07:18.195084Z","2024-12-19T17:07:45.163982Z","46.3878","11.3576","45.368748","9.938786","45.766727","13.198337","46.984329","9.476422","47.382984","12.836609","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241219T170718_20241219T170745_057064_070387_3CFE.zip","4439.983989715576","None","None","0","S1A_IWDV_0147_0154_057064_117",""
"S1A_IW_SLC__1SDV_20241219T170653_20241219T170720_057064_070387_5FC8","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57064","117","143","2024-12-19T17:07:20.341084Z","2024-12-19T17:06:53.368074Z","SLC","2024-12-19T17:06:53.368074Z","2024-12-19T17:07:20.341084Z","44.8961","11.7066","43.875893","10.318561","44.276127","13.506082","45.492874","9.869744","45.893372","13.150905","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241219T170653_20241219T170720_057064_070387_5FC8.zip","4225.49822807312","None","None","0","S1A_IWDV_0142_0149_057064_117",""
"S1A_IW_SLC__1SDV_20241219T170628_20241219T170655_057064_070387_1E45","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57064","117","138","2024-12-19T17:06:55.518187Z","2024-12-19T17:06:28.545177Z","SLC","2024-12-19T17:06:28.545177Z","2024-12-19T17:06:55.518187Z","43.4074","12.0765","42.387463","10.724158","42.787449","13.829865","44.005573","10.288651","44.405407","13.481132","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241219T170628_20241219T170655_057064_070387_1E45.zip","4467.25883769989","None","None","0","S1A_IWDV_0137_0144_057064_117",""
"S1A_IW_SLC__1SDV_20241218T051944_20241218T052011_057042_07029E_A872","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57042","95","445","2024-12-18T05:20:11.323991Z","2024-12-18T05:19:44.344815Z","SLC","2024-12-18T05:19:44.344815Z","2024-12-18T05:20:11.323991Z","44.16","12.0658","44.757324","13.881774","45.157978","10.637154","43.139462","13.439964","43.540092","10.28573","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241218T051944_20241218T052011_057042_07029E_A872.zip","4378.310247421265","None","None","0","S1A_IWDV_0444_0451_057042_095",""
"S1A_IW_SLC__1SDV_20241218T051919_20241218T051946_057042_07029E_8F59","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","57042","95","440","2024-12-18T05:19:46.503149Z","2024-12-18T05:19:19.515750Z","SLC","2024-12-18T05:19:19.515750Z","2024-12-18T05:19:46.503149Z","45.649","12.4349","46.245289","14.300587","46.646301","10.966398","44.62809","13.84481","45.028645","10.608159","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20241218T051919_20241218T051946_057042_07029E_8F59.zip","4347.376450538635","None","None","0","S1A_IWDV_0439_0446_057042_095",""
