master,slave,path,Bperp,delta_days
S1A_IW_SLC__1SDV_20230516T171514_20230516T171541_048562_05D752_F442,S1A_IW_SLC__1SDV_20230516T171539_20230516T171606_048562_05D752_1EFB,15,0,0
S1A_IW_SLC__1SDV_20230528T171450_20230528T171517_048737_05DC83_F3CC,S1A_IW_SLC__1SDV_20230528T171515_20230528T171542_048737_05DC83_CE40,15,0,0
S1A_IW_SLC__1SDV_20230528T171450_20230528T171517_048737_05DC83_F3CC,S1A_IW_SLC__1SDV_20230528T171540_20230528T171607_048737_05DC83_05B1,15,0,0
S1A_IW_SLC__1SDV_20230528T171515_20230528T171542_048737_05DC83_CE40,S1A_IW_SLC__1SDV_20230528T171540_20230528T171607_048737_05DC83_05B1,15,0,0
S1A_IW_SLC__1SDV_20230609T171450_20230609T171517_048912_05E1C6_844B,S1A_IW_SLC__1SDV_20230609T171515_20230609T171542_048912_05E1C6_4636,15,0,0
S1A_IW_SLC__1SDV_20230609T171450_20230609T171517_048912_05E1C6_844B,S1A_IW_SLC__1SDV_20230609T171540_20230609T171607_048912_05E1C6_B76E,15,0,0
S1A_IW_SLC__1SDV_20230609T171515_20230609T171542_048912_05E1C6_4636,S1A_IW_SLC__1SDV_20230609T171540_20230609T171607_048912_05E1C6_B76E,15,0,0
S1A_IW_SLC__1SDV_20230621T171451_20230621T171518_049087_05E71D_3515,S1A_IW_SLC__1SDV_20230621T171516_20230621T171543_049087_05E71D_48FC,15,0,0
S1A_IW_SLC__1SDV_20230621T171451_20230621T171518_049087_05E71D_3515,S1A_IW_SLC__1SDV_20230621T171541_20230621T171607_049087_05E71D_7EA2,15,0,0
S1A_IW_SLC__1SDV_20230621T171516_20230621T171543_049087_05E71D_48FC,S1A_IW_SLC__1SDV_20230621T171541_20230621T171607_049087_05E71D_7EA2,15,0,0
S1A_IW_SLC__1SDV_20230703T171452_20230703T171519_049262_05EC71_5BE3,S1A_IW_SLC__1SDV_20230703T171517_20230703T171544_049262_05EC71_1E30,15,0,0
S1A_IW_SLC__1SDV_20230703T171452_20230703T171519_049262_05EC71_5BE3,S1A_IW_SLC__1SDV_20230703T171542_20230703T171609_049262_05EC71_44B5,15,0,0
S1A_IW_SLC__1SDV_20230703T171517_20230703T171544_049262_05EC71_1E30,S1A_IW_SLC__1SDV_20230703T171542_20230703T171609_049262_05EC71_44B5,15,0,0
S1A_IW_SLC__1SDV_20230715T171453_20230715T171520_049437_05F1DD_D7DD,S1A_IW_SLC__1SDV_20230715T171518_20230715T171545_049437_05F1DD_935A,15,0,0
S1A_IW_SLC__1SDV_20230715T171453_20230715T171520_049437_05F1DD_D7DD,S1A_IW_SLC__1SDV_20230715T171543_20230715T171609_049437_05F1DD_5773,15,0,0
S1A_IW_SLC__1SDV_20230715T171518_20230715T171545_049437_05F1DD_935A,S1A_IW_SLC__1SDV_20230715T171543_20230715T171609_049437_05F1DD_5773,15,0,0
S1A_IW_SLC__1SDV_20230727T171453_20230727T171520_049612_05F73D_4C92,S1A_IW_SLC__1SDV_20230727T171518_20230727T171545_049612_05F73D_0947,15,0,0
S1A_IW_SLC__1SDV_20230727T171453_20230727T171520_049612_05F73D_4C92,S1A_IW_SLC__1SDV_20230727T171543_20230727T171610_049612_05F73D_5DB7,15,0,0
S1A_IW_SLC__1SDV_20230727T171518_20230727T171545_049612_05F73D_0947,S1A_IW_SLC__1SDV_20230727T171543_20230727T171610_049612_05F73D_5DB7,15,0,0
S1A_IW_SLC__1SDV_20230808T171454_20230808T171521_049787_05FCB4_9A58,S1A_IW_SLC__1SDV_20230808T171518_20230808T171545_049787_05FCB4_58CA,15,0,0
S1A_IW_SLC__1SDV_20230808T171454_20230808T171521_049787_05FCB4_9A58,S1A_IW_SLC__1SDV_20230808T171543_20230808T171610_049787_05FCB4_4A37,15,0,0
S1A_IW_SLC__1SDV_20230808T171518_20230808T171545_049787_05FCB4_58CA,S1A_IW_SLC__1SDV_20230808T171543_20230808T171610_049787_05FCB4_4A37,15,0,0
S1A_IW_SLC__1SDV_20230820T171455_20230820T171522_049962_0602B3_79D4,S1A_IW_SLC__1SDV_20230820T171520_20230820T171547_049962_0602B3_8784,15,0,0
S1A_IW_SLC__1SDV_20230820T171455_20230820T171522_049962_0602B3_79D4,S1A_IW_SLC__1SDV_20230820T171545_20230820T171611_049962_0602B3_5AC3,15,0,0
S1A_IW_SLC__1SDV_20230820T171520_20230820T171547_049962_0602B3_8784,S1A_IW_SLC__1SDV_20230820T171545_20230820T171611_049962_0602B3_5AC3,15,0,0
S1A_IW_SLC__1SDV_20230901T171455_20230901T171522_050137_0608B3_44BA,S1A_IW_SLC__1SDV_20230901T171520_20230901T171547_050137_0608B3_4816,15,0,0
S1A_IW_SLC__1SDV_20230901T171455_20230901T171522_050137_0608B3_44BA,S1A_IW_SLC__1SDV_20230901T171545_20230901T171612_050137_0608B3_C1FD,15,0,0
S1A_IW_SLC__1SDV_20230901T171520_20230901T171547_050137_0608B3_4816,S1A_IW_SLC__1SDV_20230901T171545_20230901T171612_050137_0608B3_C1FD,15,0,0
S1A_IW_SLC__1SDV_20230913T171456_20230913T171523_050312_060EAC_B7B9,S1A_IW_SLC__1SDV_20230913T171521_20230913T171548_050312_060EAC_A00C,15,0,0
S1A_IW_SLC__1SDV_20230913T171456_20230913T171523_050312_060EAC_B7B9,S1A_IW_SLC__1SDV_20230913T171545_20230913T171612_050312_060EAC_0770,15,0,0
S1A_IW_SLC__1SDV_20230913T171521_20230913T171548_050312_060EAC_A00C,S1A_IW_SLC__1SDV_20230913T171545_20230913T171612_050312_060EAC_0770,15,0,0
S1A_IW_SLC__1SDV_20230925T171456_20230925T171523_050487_06149F_9CC2,S1A_IW_SLC__1SDV_20230925T171521_20230925T171548_050487_06149F_9B3F,15,0,0
S1A_IW_SLC__1SDV_20230925T171456_20230925T171523_050487_06149F_9CC2,S1A_IW_SLC__1SDV_20230925T171546_20230925T171613_050487_06149F_CA93,15,0,0
S1A_IW_SLC__1SDV_20230925T171521_20230925T171548_050487_06149F_9B3F,S1A_IW_SLC__1SDV_20230925T171546_20230925T171613_050487_06149F_CA93,15,0,0
S1A_IW_SLC__1SDV_20231007T171456_20231007T171523_050662_061A9E_AA97,S1A_IW_SLC__1SDV_20231007T171521_20231007T171548_050662_061A9E_03DB,15,0,0
S1A_IW_SLC__1SDV_20231007T171456_20231007T171523_050662_061A9E_AA97,S1A_IW_SLC__1SDV_20231007T171546_20231007T171613_050662_061A9E_3748,15,0,0
