"Granule Name",Platform,Sensor,"Beam Mode","Beam Mode Description",Orbit,"Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?",URL,"Size (MB)","Off Nadir Angle","Stack Size",Doppler,GroupID,"Pointing Angle",relativeBurstID,absoluteBurstID,fullBurstID,burstIndex,azimuthTime,azimuthAnxTime,samplesPerBurst,subswath
S1A_IW_SLC__1SDV_20180213T165739_20180213T165806_020591_0233E2_270F,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20591,44,137,2018-02-13T16:58:06.397596Z,2018-02-13T16:57:39.418419Z,SLC,2018-02-13T16:57:39.418419Z,2018-02-13T16:58:06.397596Z,43.1984,14.1899,42.178001,12.840019,42.578445,15.939305,43.796642,12.406253,44.196869,15.591536,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180213T165739_20180213T165806_020591_0233E2_270F.zip,3978.87760639191,,,0,S1A_IWDV_0136_0143_020591_044,,,,,,,,,
S1B_IW_SLC__1SDV_20180212T170603_20180212T170630_009593_011490_8F44,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9593,117,147,2018-02-12T17:06:30.436792Z,2018-02-12T17:06:03.472004Z,SLC,2018-02-12T17:06:03.472004Z,2018-02-12T17:06:30.436792Z,46.3314,11.3868,45.314602,9.983429,45.708652,13.210929,46.930023,9.52263,47.324696,12.849552,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180212T170603_20180212T170630_009593_011490_8F44.zip,4493.06449317932,,,0,S1B_IWDV_0148_0153_009593_117,,,,,,,,,
S1B_IW_SLC__1SDV_20180212T170538_20180212T170605_009593_011490_8759,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9593,117,142,2018-02-12T17:06:05.615949Z,2018-02-12T17:05:38.651161Z,SLC,2018-02-12T17:05:38.651161Z,2018-02-12T17:06:05.615949Z,44.8399,11.7347,43.822006,10.361558,44.218353,13.518067,45.438572,9.914235,45.83514,13.163251,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180212T170538_20180212T170605_009593_011490_8759.zip,4304.10063648224,,,0,S1B_IWDV_0143_0148_009593_117,,,,,,,,,
S1B_IW_SLC__1SDV_20180212T170513_20180212T170540_009593_011490_5DA4,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9593,117,137,2018-02-12T17:05:40.793051Z,2018-02-12T17:05:13.830319Z,SLC,2018-02-12T17:05:13.830319Z,2018-02-12T17:05:40.793051Z,43.351,12.1021,42.333302,10.763682,42.729622,13.840312,43.950871,10.329517,44.347,13.491893,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180212T170513_20180212T170540_009593_011490_5DA4.zip,4508.40537929535,,,0,S1B_IWDV_0138_0143_009593_117,,,,,,,,,
S1A_IW_SLC__1SDV_20180211T171507_20180211T171534_020562_0232F1_CE61,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20562,15,149,2018-02-11T17:15:34.307941Z,2018-02-11T17:15:07.339042Z,SLC,2018-02-11T17:15:07.339042Z,2018-02-11T17:15:34.307941Z,46.824,9.1804,45.80658,7.763992,46.201626,11.022449,47.421814,7.297209,47.81768,10.657747,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180211T171507_20180211T171534_020562_0232F1_CE61.zip,4498.98786735535,,,0,S1A_IWDV_0149_0154_020562_015,,,,,,,,,
S1A_IW_SLC__1SDV_20180211T171442_20180211T171509_020562_0232F1_EEBE,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20562,15,144,2018-02-11T17:15:09.485043Z,2018-02-11T17:14:42.512033Z,SLC,2018-02-11T17:14:42.512033Z,2018-02-11T17:15:09.485043Z,45.3326,9.5327,44.314064,8.147477,44.711216,11.332636,45.930714,7.694689,46.32827,10.974794,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180211T171442_20180211T171509_020562_0232F1_EEBE.zip,4507.18229389191,,,0,S1A_IWDV_0144_0149_020562_015,,,,,,,,,
S1A_IW_SLC__1SDV_20180211T171417_20180211T171444_020562_0232F1_8A6F,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20562,15,139,2018-02-11T17:14:44.658034Z,2018-02-11T17:14:17.685024Z,SLC,2018-02-11T17:14:17.685024Z,2018-02-11T17:14:44.658034Z,43.8431,9.8987,42.824463,8.54786,43.221905,11.653698,44.442253,8.108542,44.839684,11.302441,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180211T171417_20180211T171444_020562_0232F1_8A6F.zip,4237.80480480194,,,0,S1A_IWDV_0139_0144_020562_015,,,,,,,,,
S1B_IW_SLC__1SDV_20180207T165745_20180207T165812_009520_01121C_6810,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9520,44,147,2018-02-07T16:58:12.386210Z,2018-02-07T16:57:45.302201Z,SLC,2018-02-07T16:57:45.302201Z,2018-02-07T16:58:12.386210Z,46.0636,13.4638,45.038197,12.036845,45.441532,15.313233,46.66087,11.574208,47.064846,14.951118,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180207T165745_20180207T165812_009520_01121C_6810.zip,4450.10536575317,,,0,S1B_IWDV_0146_0153_009520_044,,,,,,,,,
S1B_IW_SLC__1SDV_20180207T165720_20180207T165747_009520_01121C_033B,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9520,44,142,2018-02-07T16:57:47.561256Z,2018-02-07T16:57:20.473136Z,SLC,2018-02-07T16:57:20.473136Z,2018-02-07T16:57:47.561256Z,44.5743,13.8337,43.54887,12.442792,43.952393,15.635976,45.172974,11.994371,45.576691,15.280759,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180207T165720_20180207T165747_009520_01121C_033B.zip,4016.19591999054,,,0,S1B_IWDV_0141_0148_009520_044,,,,,,,,,
S1A_IW_SLC__1SDV_20180206T170646_20180206T170713_020489_0230A8_2ACD,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20489,117,148,2018-02-06T17:07:13.370063Z,2018-02-06T17:06:46.401165Z,SLC,2018-02-06T17:06:46.401165Z,2018-02-06T17:07:13.370063Z,46.3867,11.3479,45.368824,9.939231,45.764671,13.178634,46.984409,9.476858,47.380936,12.816269,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180206T170646_20180206T170713_020489_0230A8_2ACD.zip,4490.25743579865,,,0,S1A_IWDV_0147_0154_020489_117,,,,,,,,,
