"Granule Name",Platform,Sensor,"Beam Mode","Beam Mode Description",Orbit,"Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?",URL,"Size (MB)","Off Nadir Angle","Stack Size",Doppler,GroupID,"Pointing Angle",relativeBurstID,absoluteBurstID,fullBurstID,burstIndex,azimuthTime,azimuthAnxTime,samplesPerBurst,subswath
S1A_IW_SLC__1SDV_20230808T171543_20230808T171610_049787_05FCB4_4A37,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",49787,15,149,2023-08-08T17:16:10.729577Z,2023-08-08T17:15:43.754512Z,SLC,2023-08-08T17:15:43.754512Z,2023-08-08T17:16:10.729577Z,46.8257,9.1989,45.807217,7.774545,46.203674,11.04854,47.422855,7.30794,47.820107,10.68451,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230808T171543_20230808T171610_049787_05FCB4_4A37.zip,4419.12334918976,,,0,S1A_IWDV_0149_0154_049787_015,,,,,,,,,
S1A_IW_SLC__1SDV_20230808T171518_20230808T171545_049787_05FCB4_58CA,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",49787,15,144,2023-08-08T17:15:45.904624Z,2023-08-08T17:15:18.929558Z,SLC,2023-08-08T17:15:18.929558Z,2023-08-08T17:15:45.904624Z,45.3334,9.5438,44.313599,8.149126,44.712852,11.35312,45.930397,7.696304,46.33004,10.995799,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230808T171518_20230808T171545_049787_05FCB4_58CA.zip,4469.59479141235,,,0,S1A_IWDV_0144_0150_049787_015,,,,,,,,,
S1A_IW_SLC__1SDV_20230808T171454_20230808T171521_049787_05FCB4_9A58,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",49787,15,139,2023-08-08T17:15:21.079671Z,2023-08-08T17:14:54.104606Z,SLC,2023-08-08T17:14:54.104606Z,2023-08-08T17:15:21.079671Z,43.8448,9.9166,42.825336,8.558235,43.224224,11.678736,44.443283,8.119139,44.842129,11.328104,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230808T171454_20230808T171521_049787_05FCB4_9A58.zip,4062.67914772034,,,0,S1A_IWDV_0139_0144_049787_015,,,,,,,,,
S1A_IW_SLC__1SDV_20230803T170723_20230803T170750_049714_05FA5B_F823,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",49714,117,148,2023-08-03T17:07:50.516229Z,2023-08-03T17:07:23.547331Z,SLC,2023-08-03T17:07:23.547331Z,2023-08-03T17:07:50.516229Z,46.3876,11.3552,45.368603,9.936744,45.766514,13.195689,46.98423,9.474435,47.382809,12.833977,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230803T170723_20230803T170750_049714_05FA5B_F823.zip,4497.04251384735,,,0,S1A_IWDV_0148_0153_049714_117,,,,,,,,,
S1A_IW_SLC__1SDV_20230803T170658_20230803T170725_049714_05FA5B_97D0,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",49714,117,143,2023-08-03T17:07:25.693331Z,2023-08-03T17:06:58.722377Z,SLC,2023-08-03T17:06:58.722377Z,2023-08-03T17:07:25.693331Z,44.896,11.7043,43.875835,10.316489,44.275997,13.503421,45.492737,9.867761,45.893162,13.148286,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230803T170658_20230803T170725_049714_05FA5B_97D0.zip,4144.44674396515,,,0,S1A_IWDV_0143_0148_049714_117,,,,,,,,,
S1A_IW_SLC__1SDV_20230803T170633_20230803T170700_049714_05FA5B_13D3,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",49714,117,138,2023-08-03T17:07:00.870434Z,2023-08-03T17:06:33.895368Z,SLC,2023-08-03T17:06:33.895368Z,2023-08-03T17:07:00.870434Z,43.4071,12.0742,42.387119,10.722144,42.787037,13.827268,44.005402,10.286658,44.405163,13.478522,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230803T170633_20230803T170700_049714_05FA5B_13D3.zip,4398.12313842773,,,0,S1A_IWDV_0138_0143_049714_117,,,,,,,,,
S1A_IW_SLC__1SDV_20230729T165905_20230729T165932_049641_05F820_6A7F,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",49641,44,147,2023-07-29T16:59:32.471421Z,2023-07-29T16:59:05.494300Z,SLC,2023-07-29T16:59:05.494300Z,2023-07-29T16:59:32.471421Z,46.177,13.4574,45.156708,12.037888,45.556507,15.297696,46.772968,11.577053,47.173389,14.936819,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230729T165905_20230729T165932_049641_05F820_6A7F.zip,4489.39988803864,,,0,S1A_IWDV_0146_0153_049641_044,,,,,,,,,
S1A_IW_SLC__1SDV_20230729T165840_20230729T165907_049641_05F820_EEB7,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",49641,44,142,2023-07-29T16:59:07.646468Z,2023-07-29T16:58:40.671403Z,SLC,2023-07-29T16:58:40.671403Z,2023-07-29T16:59:07.646468Z,44.6877,13.825,43.66737,12.440871,44.067585,15.618839,45.284676,11.994249,45.685074,15.264905,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230729T165840_20230729T165907_049641_05F820_EEB7.zip,3886.41518878937,,,0,S1A_IWDV_0141_0148_049641_044,,,,,,,,,
S1A_IW_SLC__1SDV_20230729T165815_20230729T165842_049641_05F820_675F,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",49641,44,137,2023-07-29T16:58:42.823570Z,2023-07-29T16:58:15.850561Z,SLC,2023-07-29T16:58:15.850561Z,2023-07-29T16:58:42.823570Z,43.1974,14.182,42.176857,12.830357,42.577991,15.933303,43.795147,12.396453,44.196072,15.585468,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230729T165815_20230729T165842_049641_05F820_675F.zip,3656.54422187805,,,0,S1A_IWDV_0136_0143_049641_044,,,,,,,,,
S1A_IW_SLC__1SDV_20230727T171543_20230727T171610_049612_05F73D_5DB7,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",49612,15,149,2023-07-27T17:16:10.495518Z,2023-07-27T17:15:43.522508Z,SLC,2023-07-27T17:15:43.522508Z,2023-07-27T17:16:10.495518Z,46.8254,9.1971,45.807034,7.772723,46.203468,11.046719,47.422558,7.306187,47.819782,10.682747,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230727T171543_20230727T171610_049612_05F73D_5DB7.zip,4447.74695777893,,,0,S1A_IWDV_0149_0155_049612_015,,,,,,,,,
