"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20200910T051934_20200910T052001_034292_03FC62_7560","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","34292","95","445","2020-09-10T05:20:01.144656Z","2020-09-10T05:19:34Z","SLC","2020-09-10T05:19:34Z","2020-09-10T05:20:01Z","44.1595","12.0656","44.756886","13.881436","45.1576","10.637304","43.13876","13.439503","43.539452","10.285734","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200910T051934_20200910T052001_034292_03FC62_7560.zip","4299.130829811096","","","0","S1A_IWDV_0444_0451_034292_095","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20200904T051852_20200904T051918_023221_02C190_8253","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23221","95","445","2020-09-04T05:19:18.985430Z","2020-09-04T05:18:52Z","SLC","2020-09-04T05:18:52Z","2020-09-04T05:19:18Z","44.1594","12.073","44.755894","13.891941","45.157551","10.641397","43.13863","13.450006","43.540253","10.289963","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200904T051852_20200904T051918_023221_02C190_8253.zip","4335.832209587097","","","0","S1B_IWDV_0444_0451_023221_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20200829T051933_20200829T052000_034117_03F644_073B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","34117","95","445","2020-08-29T05:20:00.711377Z","2020-08-29T05:19:33Z","SLC","2020-08-29T05:19:33Z","2020-08-29T05:20:00Z","44.1595","12.0648","44.75679","13.880458","45.157444","10.636569","43.138897","13.438622","43.539528","10.285076","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200829T051933_20200829T052000_034117_03F644_073B.zip","4372.291843414307","","","0","S1A_IWDV_0444_0451_034117_095","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20200823T051851_20200823T051918_023046_02BC20_FDFA","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","23046","95","445","2020-08-23T05:19:18.370356Z","2020-08-23T05:18:51Z","SLC","2020-08-23T05:18:51Z","2020-08-23T05:19:18Z","44.1599","12.0736","44.756565","13.892601","45.158245","10.642243","43.138809","13.450483","43.540447","10.290649","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200823T051851_20200823T051918_023046_02BC20_FDFA.zip","4316.450960159302","","","0","S1B_IWDV_0444_0451_023046_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20200817T051932_20200817T051959_033942_03F017_E551","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","33942","95","445","2020-08-17T05:19:59.892044Z","2020-08-17T05:19:32Z","SLC","2020-08-17T05:19:32Z","2020-08-17T05:19:59Z","44.1597","12.0651","44.757164","13.88078","45.157791","10.636918","43.139019","13.43889","43.539623","10.285389","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200817T051932_20200817T051959_033942_03F017_E551.zip","4378.4885511398315","","","0","S1A_IWDV_0444_0451_033942_095","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20200811T051850_20200811T051917_022871_02B6A2_B0E2","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22871","95","445","2020-08-11T05:19:17.754103Z","2020-08-11T05:18:50Z","SLC","2020-08-11T05:18:50Z","2020-08-11T05:19:17Z","44.16","12.0735","44.756588","13.892501","45.158298","10.642176","43.138954","13.450373","43.54063","10.290565","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200811T051850_20200811T051917_022871_02B6A2_B0E2.zip","4312.773246765137","","","0","S1B_IWDV_0444_0451_022871_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20200805T051932_20200805T051959_033767_03EA03_6258","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","33767","95","445","2020-08-05T05:19:59.184385Z","2020-08-05T05:19:32Z","SLC","2020-08-05T05:19:32Z","2020-08-05T05:19:59Z","44.1602","12.0648","44.757622","13.88057","45.15823","10.636572","43.139477","13.438711","43.540062","10.285077","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200805T051932_20200805T051959_033767_03EA03_6258.zip","4481.048275947571","","","0","S1A_IWDV_0445_0450_033767_095","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20200730T051850_20200730T051917_022696_02B139_2DC4","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22696","95","445","2020-07-30T05:19:17.071762Z","2020-07-30T05:18:50Z","SLC","2020-07-30T05:18:50Z","2020-07-30T05:19:17Z","44.1602","12.0728","44.756985","13.891893","45.158661","10.64146","43.138985","13.449712","43.540623","10.289819","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200730T051850_20200730T051917_022696_02B139_2DC4.zip","4297.235145568848","","","0","S1B_IWDV_0444_0451_022696_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20200724T051931_20200724T051958_033592_03E4A5_3179","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","33592","95","445","2020-07-24T05:19:58.600259Z","2020-07-24T05:19:31Z","SLC","2020-07-24T05:19:31Z","2020-07-24T05:19:58Z","44.161","12.0651","44.758507","13.880932","45.159145","10.636743","43.140247","13.439026","43.540859","10.285213","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200724T051931_20200724T051958_033592_03E4A5_3179.zip","4388.737296104431","","","0","S1A_IWDV_0444_0451_033592_095","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20200718T051849_20200718T051916_022521_02ABE5_DC2E","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22521","95","445","2020-07-18T05:19:16.165489Z","2020-07-18T05:18:49Z","SLC","2020-07-18T05:18:49Z","2020-07-18T05:19:16Z","44.1603","12.0735","44.757011","13.892494","45.158665","10.642066","43.139252","13.450404","43.540867","10.290502","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200718T051849_20200718T051916_022521_02ABE5_DC2E.zip","4413.458158493042","","","0","S1B_IWDV_0445_0450_022521_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20200712T051930_20200712T051957_033417_03DF44_B62A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","33417","95","445","2020-07-12T05:19:57.702763Z","2020-07-12T05:19:30Z","SLC","2020-07-12T05:19:30Z","2020-07-12T05:19:57Z","44.1608","12.0663","44.758377","13.882113","45.159042","10.638102","43.139988","13.440121","43.540627","10.286489","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200712T051930_20200712T051957_033417_03DF44_B62A.zip","4464.007195472717","","","0","S1A_IWDV_0444_0451_033417_095","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20200706T051848_20200706T051915_022346_02A699_118E","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22346","95","445","2020-07-06T05:19:15.489006Z","2020-07-06T05:18:48Z","SLC","2020-07-06T05:18:48Z","2020-07-06T05:19:15Z","44.1602","12.0731","44.756851","13.892035","45.158463","10.641688","43.139332","13.450035","43.540909","10.290202","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200706T051848_20200706T051915_022346_02A699_118E.zip","4360.048977851868","","","0","S1B_IWDV_0444_0451_022346_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20200630T051929_20200630T051956_033242_03D9F4_E001","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","33242","95","445","2020-06-30T05:19:56.947512Z","2020-06-30T05:19:29Z","SLC","2020-06-30T05:19:29Z","2020-06-30T05:19:56Z","44.1611","12.0663","44.758507","13.882122","45.159168","10.638027","43.140491","13.440237","43.541126","10.286506","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200630T051929_20200630T051956_033242_03D9F4_E001.zip","4334.161461830139","","","0","S1A_IWDV_0444_0451_033242_095","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20200624T051847_20200624T051914_022171_02A142_4CEC","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","22171","95","445","2020-06-24T05:19:14.824547Z","2020-06-24T05:18:47Z","SLC","2020-06-24T05:18:47Z","2020-06-24T05:19:14Z","44.1605","12.0736","44.757336","13.892644","45.158985","10.642221","43.139328","13.45048","43.540943","10.290598","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200624T051847_20200624T051914_022171_02A142_4CEC.zip","4379.092329025269","","","0","S1B_IWDV_0444_0451_022171_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20200618T051929_20200618T051956_033067_03D4A2_167D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","33067","95","445","2020-06-18T05:19:56.395688Z","2020-06-18T05:19:29Z","SLC","2020-06-18T05:19:29Z","2020-06-18T05:19:56Z","44.1611","12.0653","44.758434","13.881117","45.159088","10.636894","43.140419","13.439268","43.541054","10.285407","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200618T051929_20200618T051956_033067_03D4A2_167D.zip","4427.199684143066","","","0","S1A_IWDV_0444_0451_033067_095","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20200612T051847_20200612T051914_021996_029BEE_2499","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","21996","95","445","2020-06-12T05:19:14.263651Z","2020-06-12T05:18:47Z","SLC","2020-06-12T05:18:47Z","2020-06-12T05:19:14Z","44.1601","12.0738","44.756771","13.89279","45.158451","10.642385","43.139011","13.450669","43.540657","10.29079","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200612T051847_20200612T051914_021996_029BEE_2499.zip","4397.457494735718","","","0","S1B_IWDV_0444_0451_021996_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20200606T051928_20200606T051955_032892_03CF59_7EF6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","32892","95","445","2020-06-06T05:19:55.611600Z","2020-06-06T05:19:28Z","SLC","2020-06-06T05:19:28Z","2020-06-06T05:19:55Z","44.1613","12.0657","44.758896","13.881563","45.159519","10.637311","43.140511","13.439641","43.541107","10.285774","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200606T051928_20200606T051955_032892_03CF59_7EF6.zip","4401.058342933655","","","0","S1A_IWDV_0444_0451_032892_095","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20200531T051846_20200531T051913_021821_0296B4_B0D4","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","21821","95","445","2020-05-31T05:19:13.580818Z","2020-05-31T05:18:46Z","SLC","2020-05-31T05:18:46Z","2020-05-31T05:19:13Z","44.1606","12.0741","44.7575","13.893124","45.159195","10.642739","43.139374","13.450872","43.541031","10.291037","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200531T051846_20200531T051913_021821_0296B4_B0D4.zip","4379.749396324158","","","0","S1B_IWDV_0444_0451_021821_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20200525T051928_20200525T051955_032717_03CA2F_F7B6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","32717","95","445","2020-05-25T05:19:55.001021Z","2020-05-25T05:19:28Z","SLC","2020-05-25T05:19:28Z","2020-05-25T05:19:55Z","44.161","12.0659","44.758205","13.881699","45.158882","10.637523","43.140442","13.439891","43.541092","10.286064","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200525T051928_20200525T051955_032717_03CA2F_F7B6.zip","4339.195551872253","","","0","S1A_IWDV_0444_0451_032717_095","","","","","","","","","","",""
"S1B_IW_SLC__1SDV_20200519T051845_20200519T051912_021646_02917C_F1B2","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","21646","95","445","2020-05-19T05:19:12.644408Z","2020-05-19T05:18:45Z","SLC","2020-05-19T05:18:45Z","2020-05-19T05:19:12Z","44.1604","12.0737","44.75721","13.892786","45.158863","10.642351","43.139202","13.450617","43.540821","10.290726","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200519T051845_20200519T051912_021646_02917C_F1B2.zip","4372.87233543396","","","0","S1B_IWDV_0445_0450_021646_095","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20200513T051927_20200513T051954_032542_03C4E0_862C","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","32542","95","445","2020-05-13T05:19:54.235446Z","2020-05-13T05:19:27Z","SLC","2020-05-13T05:19:27Z","2020-05-13T05:19:54Z","44.1615","12.0673","44.758968","13.883245","45.159695","10.638976","43.140594","13.441221","43.541294","10.287339","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200513T051927_20200513T051954_032542_03C4E0_862C.zip","4331.844284057617","","","0","S1A_IWDV_0444_0451_032542_095","","","","","","","","","","",""
