time,grace_tws_anom,smap_surface_sm
2017-01-04,3.3325000436682366,0.2866697609424591
2017-01-10,3.3325000436682366,0.2866697609424591
2017-01-28,3.3325000436682366,0.2866697609424591
2017-02-03,3.3325000436682366,0.2866697609424591
2017-02-09,3.3325000436682366,0.2866697609424591
2017-02-15,3.3325000436682366,0.2866697609424591
2017-02-21,3.3325000436682366,0.2866697609424591
2017-02-27,3.3325000436682366,0.2866697609424591
2017-03-05,3.3325000436682366,0.2866697609424591
2017-03-11,3.3325000436682366,0.2866697609424591
2017-03-17,3.3325000436682366,0.2866697609424591
2017-03-23,3.3325000436682366,0.2866697609424591
2017-03-29,3.3325000436682366,0.2866697609424591
2017-04-04,3.3325000436682366,0.2866697609424591
2017-04-10,3.3325000436682366,0.2866697609424591
2017-04-16,3.3325000436682366,0.2866697609424591
2017-04-28,3.3325000436682366,0.2866697609424591
2017-05-04,3.3325000436682366,0.2866697609424591
2017-05-10,3.3325000436682366,0.2866697609424591
2017-05-16,3.3325000436682366,0.2866697609424591
2017-05-22,3.3325000436682366,0.2866697609424591
2017-05-28,3.3325000436682366,0.2866697609424591
2017-06-03,3.3325000436682366,0.2866697609424591
2017-06-09,3.3325000436682366,0.2866697609424591
2017-06-15,3.3325000436682366,0.2866697609424591
2017-06-21,3.3325000436682366,0.2866697609424591
2017-06-27,3.3325000436682366,0.2866697609424591
2017-07-03,3.3325000436682366,0.2866697609424591
2017-07-09,3.3325000436682366,0.2866697609424591
2017-07-15,3.3325000436682366,0.2866697609424591
2017-07-21,3.3325000436682366,0.2866697609424591
2017-07-27,3.3325000436682366,0.2866697609424591
2017-08-02,3.3325000436682366,0.2866697609424591
2017-08-08,3.3325000436682366,0.2866697609424591
2017-08-14,3.3325000436682366,0.2866697609424591
2017-08-20,3.3325000436682366,0.2866697609424591
2017-08-26,3.3325000436682366,0.2866697609424591
2017-09-01,3.3325000436682366,0.2866697609424591
2017-09-07,3.3325000436682366,0.2866697609424591
2017-09-13,3.3325000436682366,0.2866697609424591
2017-09-19,3.3325000436682366,0.2866697609424591
2017-09-25,3.3325000436682366,0.2866697609424591
2017-10-07,3.3325000436682366,0.2866697609424591
2017-10-13,3.3325000436682366,0.2866697609424591
2017-10-19,3.3325000436682366,0.2866697609424591
2017-10-25,3.3325000436682366,0.2866697609424591
2017-10-31,3.3325000436682366,0.2866697609424591
2017-11-06,3.3325000436682366,0.2866697609424591
2017-11-12,3.3325000436682366,0.2866697609424591
2017-11-18,3.3325000436682366,0.2866697609424591
2017-11-24,3.3325000436682366,0.2866697609424591
2017-11-30,3.3325000436682366,0.2866697609424591
2017-12-06,3.3325000436682366,0.2866697609424591
2017-12-12,3.3325000436682366,0.2866697609424591
2017-12-24,3.3325000436682366,0.2866697609424591
2017-12-30,3.3325000436682366,0.2866697609424591
2018-01-05,3.3325000436682366,0.2866697609424591
2018-01-11,3.3325000436682366,0.2866697609424591
2018-01-17,3.3325000436682366,0.2866697609424591
