master,slave,master_date,slave_date,master_path,slave_path,xml_file
S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA,S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7,2023-01-28,2023-03-05,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-28_2023-03-05/topsApp.xml
S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA,S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46,2023-01-28,2023-03-17,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230128T171447_20230128T171515_046987_05A2C2_4EDA.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-01-28_2023-03-17/topsApp.xml
S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819,S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77,2023-02-09,2023-02-21,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-02-09_2023-02-21/topsApp.xml
S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819,S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7,2023-02-09,2023-03-05,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-02-09_2023-03-05/topsApp.xml
S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819,S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46,2023-02-09,2023-03-17,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-02-09_2023-03-17/topsApp.xml
S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819,S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29,2023-02-09,2023-03-29,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230209T171446_20230209T171514_047162_05A897_D819.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-02-09_2023-03-29/topsApp.xml
S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77,S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7,2023-02-21,2023-03-05,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-02-21_2023-03-05/topsApp.xml
S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77,S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46,2023-02-21,2023-03-17,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-02-21_2023-03-17/topsApp.xml
S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77,S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29,2023-02-21,2023-03-29,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-02-21_2023-03-29/topsApp.xml
S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77,S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302,2023-02-21,2023-04-10,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230221T171447_20230221T171514_047337_05AE8C_3F77.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-02-21_2023-04-10/topsApp.xml
S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7,S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46,2023-03-05,2023-03-17,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-05_2023-03-17/topsApp.xml
S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7,S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29,2023-03-05,2023-03-29,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-05_2023-03-29/topsApp.xml
S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7,S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302,2023-03-05,2023-04-10,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-05_2023-04-10/topsApp.xml
S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7,S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979,2023-03-05,2023-04-22,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230305T171446_20230305T171514_047512_05B476_2FD7.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-05_2023-04-22/topsApp.xml
S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46,S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29,2023-03-17,2023-03-29,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-17_2023-03-29/topsApp.xml
S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46,S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302,2023-03-17,2023-04-10,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-17_2023-04-10/topsApp.xml
S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46,S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979,2023-03-17,2023-04-22,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-17_2023-04-22/topsApp.xml
S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46,S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5,2023-03-17,2023-05-04,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230317T171447_20230317T171514_047687_05BA62_AA46.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-17_2023-05-04/topsApp.xml
S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29,S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302,2023-03-29,2023-04-10,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-29_2023-04-10/topsApp.xml
S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29,S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979,2023-03-29,2023-04-22,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-29_2023-04-22/topsApp.xml
S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29,S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5,2023-03-29,2023-05-04,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-29_2023-05-04/topsApp.xml
S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29,S1A_IW_SLC__1SDV_20230516T171449_20230516T171516_048562_05D752_140B,2023-03-29,2023-05-16,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230329T171447_20230329T171514_047862_05C048_FC29.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230516T171449_20230516T171516_048562_05D752_140B.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-03-29_2023-05-16/topsApp.xml
S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302,S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979,2023-04-10,2023-04-22,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-04-10_2023-04-22/topsApp.xml
