tile_row,tile_col,lat,lon,insar_obs_mean,insar_post_mean,insar_obs_trend,insar_post_trend,ShallowLoad_mean,ShallowLoad_trend,ShallowLoad_theta_mean,DeepLoad_mean,DeepLoad_trend,DeepLoad_theta_mean,Groundwater_mean,Groundwater_trend,Groundwater_theta_mean
0,0,44.67212677001953,11.220741271972656,-6.125886603536301e-11,-0.00024413158826064318,,-0.00020769691513668412,-0.97774738073349,-0.32933814849649723,0.36460983753204346,0.6836082935333252,-1.01079048738282,1.6168179512023926,-0.5620181560516357,-0.30181431934177716,0.0882951021194458
0,1,44.674766540527344,11.301313400268555,-9.012798840579705e-11,-0.0011628065258264542,,-0.00040730617714345916,-0.8795047998428345,-0.3128116039290307,0.3592798709869385,1.024975299835205,-0.9179301947992753,1.6081706285476685,-2.2081339359283447,-0.6135092197025922,0.21673741936683655
0,2,44.67735290527344,11.381897926330566,2.403413024154588e-10,-0.0022837123833596706,,-0.0006279272449883429,-0.8086879849433899,-0.2922621918954254,0.32816603779792786,1.4071611166000366,-0.7850954519475207,1.4245977401733398,-3.904186725616455,-0.9569141436667047,0.5575909614562988
0,3,44.67987823486328,11.462492942810059,-1.201706512077294e-10,-0.001955570885911584,,-0.0005200297816474903,-0.9376234412193298,-0.3050636192933123,0.2846730053424835,0.9279413819313049,-0.9090586896328365,1.5792983770370483,-3.420725107192993,-0.7885983209075894,0.3968871235847473
0,4,44.682350158691406,11.543097496032715,-4.506399420289853e-11,-0.0017578396946191788,,0.00013230202955522287,-1.1333874464035034,-0.37443680641441207,0.27016931772232056,0.1575220227241516,-1.197640922219358,1.9212825298309326,-2.9314768314361572,0.16387609790831326,-0.13307638466358185
0,5,44.68476867675781,11.623714447021484,6.00853256038647e-11,-0.0007487070397473872,,8.151136166500152e-05,-1.4698494672775269,-0.3815689235477444,0.24371635913848877,-0.5410926938056946,-1.181876505162308,1.7616757154464722,-1.3546112775802612,0.10707266128716622,0.05849314481019974
0,6,44.685951232910156,11.66402530670166,-4.506399420289853e-11,-0.0005502841086126864,,-0.00034103841022578975,-1.5045459270477295,-0.3492909764178735,0.2380191683769226,-0.3258306086063385,-1.0765380558961215,1.6232242584228516,-1.220432162284851,-0.48904303280029066,0.22512124478816986
1,0,44.6146354675293,11.224477767944336,2.1029863961352646e-10,-0.0016803034814074636,,-0.0005295687623168593,-0.743135929107666,-0.3377262784347416,0.4305122196674347,2.2367846965789795,-0.7466745650455515,1.3745157718658447,-2.9767069816589355,-0.8992951813796386,0.3980187177658081
1,1,44.617271423339844,11.304970741271973,-3.004266280193235e-11,-0.0019082700600847602,,-0.0004944577123342971,-0.7058660387992859,-0.3469880852502158,0.43418100476264954,2.0578830242156982,-0.7019304840870321,1.436155080795288,-3.1176774501800537,-0.7953205545617138,0.32734474539756775
1,2,44.619850158691406,11.385476112365723,1.802559768115941e-10,-0.0016708197072148323,,-0.0005566254683526981,-0.7448253631591797,-0.3468163134967133,0.4534991681575775,1.7287479639053345,-0.6745738527254466,1.4677927494049072,-2.703127145767212,-0.8579613215235227,0.3074338436126709
