time,y_insar,y_insar_prior,y_insar_post,y_grace,y_grace_prior,y_grace_post,y_smap,y_smap_prior,y_smap_post,y_swot_river,y_swot_river_prior,y_swot_river_post,y_swot_lake,y_swot_lake_prior,y_swot_lake_post,theta_shallow,theta_deep,theta_groundwater,x_shallow,x_deep,x_groundwater
2017-01-04,0.00041276848642802475,0.0021669604099185946,0.0004274049016340026,32.73444978003281,17.272689819335938,8.959069206168357,-0.03400892886897949,0.012470219657670789,0.004544890609844075,,0.6533921268458232,0.23813499869033558,,5.341259433725228,1.9466729946610326,0.3644595471939729,1.4552707074208295,0.19722706928824352,1.3597475443810998,5.701162156471469,1.8981595053157883
2017-01-10,0.0005094181164232517,0.0015988175946031191,0.0005292771483322255,32.73444978003281,10.640652775764465,6.152839409385799,-0.10125027637708281,0.0042098081539365595,0.0014698893985777516,,0.22057795121688095,0.07701661933228793,,1.8031500754323484,0.6295847893791274,0.34915828580057007,1.4746044545832446,0.33103644427807505,0.43976382971657035,3.3624025765645853,2.3506730031046437
2017-01-28,0.0004932391224493707,0.0005980958604210329,0.00038796491710588524,32.73444978003281,4.696088075637817,3.413059699160847,-0.09129013880198211,0.0039783553626516616,0.0014197502482783898,,0.2084507044069969,0.07438951837082326,,1.704013938391487,0.6081091284134684,0.35686863511662137,1.4893930018173567,0.6486643901368511,0.4247631196116354,1.2652140549529132,1.7230825245962986
2017-02-03,0.0003869399319292945,0.00010778470643534044,6.097308960037726e-05,47.33357050922236,4.5916779190301895,1.7880540457504068,-0.0549671239651785,0.013929189745303822,0.005344219887249141,,0.729836615774821,0.28001681560705405,,5.966167250749873,2.2890426690369234,0.38367054975691794,1.5024312286032984,0.5657226183954087,1.5988921389175008,-0.08161854582338057,0.27078045265628664
2017-02-09,0.0004455246802600534,0.0018317149845792358,0.0004779448903690393,47.33357050922236,33.06137943267822,27.347800703749865,,0.0392257265838601,0.017480963059880544,,2.055279026615661,0.9159360417506893,,16.80121023625199,7.4874670549010265,0.44565045908093637,1.5158684545976375,0.2608876868399662,5.229982112793859,19.995504165253248,2.1223144257027586
2017-02-15,0.0004891459088022323,0.0015927127551584874,0.0005016598415993128,47.33357050922236,24.490867137908936,21.118029201156098,,0.0242229050214532,0.011846724904659671,,1.2691881831140002,0.6207233708871781,,10.37518371847454,5.07420341363738,0.48907118672048333,1.5089101032206031,0.31493913131561346,3.544321850822732,15.345955470953683,2.2277518793796833
2017-02-21,0.0003777159894590234,0.0008497806835681132,0.0004071033741417491,47.33357050922236,17.342886447906494,16.503511015625307,0.009405865828501586,0.018739803891685145,0.009696501478032554,,0.9818945181073764,0.5080598335569927,,8.026655269143816,4.153217137744126,0.5174281189962129,1.4813121832717273,0.4790311479224683,2.9010146130436376,11.794636196216254,1.8078602063654141
2017-02-27,0.0005171992510505455,0.000583961237662578,0.0004614591840054587,47.33357050922236,19.411849975585938,17.91161445326647,0.0036790595666904846,0.030625263589330605,0.016304910693453314,,1.6046474449660364,0.8543153664076314,,13.117449615750164,6.983738895399817,0.5324006647614197,1.4347192617030031,0.7902051097246354,4.878128910023844,10.984228651940743,2.049256891301882
2017-03-05,0.0004913260694657886,0.0003566481693084711,0.0003179493890092849,60.51987310332902,22.167267084121704,20.020973117270508,,0.03908040023705282,0.021464614481081976,,2.0476644782409066,1.1246642395022084,,16.738963881162668,9.193749407439743,0.5492424425257292,1.3706776887804535,0.8914902869943142,6.421817231094927,12.187332952488745,1.4118229336868362
2017-03-11,0.0005379597627389679,0.0007638674265528778,0.0004587529398427912,60.51987310332902,21.62585973739624,18.756366639701938,-0.011338377020152418,0.029396073195961558,0.015545232253490677,,1.54024253892031,0.8145111027112196,,12.590961312844588,6.658352515252765,0.5288200280990689,1.2785891950860855,0.600536726317553,4.650847115601535,12.068297519473381,2.0372220046270213
