station_code,date,piezometry_m,depth_to_water_m,measurement_type,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,lon,lat,use
BO-F02-00,2012-05-02,20.69,3.51,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2012-07-31,19.35,4.85,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2012-10-09,20.25,3.95,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2012-10-30,21.00,3.20,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2013-03-11,23.48,0.72,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2013-04-02,23.57,0.63,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2013-05-29,23.37,0.83,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2013-08-05,21.23,2.97,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2013-09-02,22.90,1.30,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2013-10-07,21.91,2.29,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2013-11-25,22.78,1.42,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2014-01-13,22.95,1.25,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2014-04-02,23.39,0.81,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2014-05-06,23.35,0.85,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2014-09-23,22.30,1.90,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2015-04-09,23.30,0.90,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2015-10-27,20.75,3.45,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2016-04-13,22.65,1.55,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2016-10-06,21.00,3.20,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2017-03-29,22.25,1.95,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2017-09-26,20.35,3.85,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2018-04-05,23.13,1.07,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2018-10-09,21.00,3.20,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2019-04-08,22.57,1.63,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2019-09-24,20.87,3.33,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2020-05-27,21.40,2.80,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2020-09-22,20.07,4.13,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2021-04-29,22.48,1.72,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
