station_code,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,source_type,lon,lat,metadata_source,use
PC05-02,Pozzo,PC,PIACENZA,IT082301ER-DQ2-CCI,Conoide Trebbia - confinato inferiore,553513,4985289,71.6,152.5,,3.0,125.0,150.0,manual,9.6791920611,45.0190322328,manual,
PC07-00,Pozzo,PC,GRAGNANO TREBBIENSE,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,544823,4984661,81.5,64.0,,2.0,40.0,60.0,manual,9.5688477578,45.0139819781,manual,
PC09-01,Pozzo,PC,CAORSO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,567937,4988928,43.5,133.0,,1.0,89.0,120.0,manual,9.862736307,45.0505509395,manual,
PC10-01,Pozzo,PC,MONTICELLI D'ONGINA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,572309,4992801,40.19,140.0,,3.0,67.0,136.0,manual,9.9188080246,45.0849776205,manual,
PC11-02,Pozzo,PC,CASTELVETRO PIACENTINO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,578168,4991421,37.6,107.0,,1.0,87.0,96.0,manual,9.9930305498,45.0719338321,manual,
PC12-01,Pozzo,PC,VILLANOVA SULL'ARDA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,578359,4986601,39.61,109.0,Fondo foro,1.0,93.0,96.0,manual,9.9947043013,45.0285303588,manual,
PC13-00,Pozzo,PC,CORTEMAGGIORE,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,568819,4984090,53.25,86.0,Fondo foro,1.0,69.5,76.5,manual,9.8732731393,45.0069197504,manual,
PC15-01,Pozzo,PC,GOSSOLENGO,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,548321,4983170,88.1,105.0,,1.0,67.0,103.0,manual,9.6130951611,45.0003311531,manual,
PC17-00,Pozzo,PC,SAN GIORGIO PIACENTINO,IT080040ER-DQ1-CL,Conoide Nure - libero,558127,4978445,101.86,70.0,Fondo foro,1.0,62.0,70.0,manual,9.7369588719,44.9570647542,manual,
PC20-00,Pozzo,PC,FIORENZUOLA D'ARDA,IT080330ER-DQ2-CCS,Conoide Arda - confinato superiore,571853,4979134,62.31,76.45,,4.0,18.5,73.6,manual,9.9110611831,44.9620108701,manual,
PC21-03,Pozzo,PC,BESENZONE,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,575970,4981456,49.1,73.0,Fondo foro,1.0,62.0,71.5,manual,9.9636055015,44.9824821506,manual,
PC23-02,Pozzo,PC,PONTENURE,IT080040ER-DQ1-CL,Conoide Nure - libero,561563,4982935,67.0,80.0,,3.0,47.0,78.0,manual,9.7810665063,44.9971904056,manual,
PC23-05,Pozzo,PC,PONTENURE,IT080040ER-DQ1-CL,Conoide Nure - libero,561569,4979400,79.5,60.0,,2.0,25.0,59.0,manual,9.7807106516,44.9653709286,manual,
PC23-06,Pozzo,PC,PONTENURE,IT080040ER-DQ1-CL,Conoide Nure - libero,561700,4979761,79.0,97.0,,1.0,59.0,63.0,manual,9.7824157847,44.9686089726,manual,
PC26-02,Pozzo,PC,CARPANETO PIACENTINO,IT080322ER-DQ2-CCS,Conoide Chiavenna-Nure - confinato superiore,564593,4973084,110.5,92.0,,4.0,30.0,78.5,manual,9.8182440886,44.9082513841,manual,
PC27-02,Pozzo,PC,FIORENZUOLA D'ARDA,IT080050ER-DQ1-CL,Conoide Arda - libero,570609,4975231,85.0,120.0,,3.0,48.0,114.0,manual,9.8947438953,44.9270050348,manual,
PC28-00,Pozzo,PC,ALSENO,IT080330ER-DQ2-CCS,Conoide Arda - confinato superiore,576755,4975214,54.0,30.0,Fondo foro,1.0,24.0,28.0,manual,9.9726114879,44.9262153467,manual,
PC30-03,Pozzo,PC,SAN GIORGIO PIACENTINO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,560035,4972595,132.5,43.5,Fondo foro,1.0,37.0,43.0,manual,9.7604519991,44.9042488332,manual,
PC33-01,Pozzo,PC,ALSENO,IT080330ER-DQ2-CCS,Conoide Arda - confinato superiore,576995,4971934,73.8,39.0,,3.0,19.0,35.0,manual,9.9751528407,44.8966669128,manual,
PC34-00,Pozzo,PC,ALSENO,IT080050ER-DQ1-CL,Conoide Arda - libero,571640,4970705,121.58,101.0,,4.0,30.0,95.0,manual,9.9071658803,44.8861636648,manual,
PC36-00,Pozzo,PC,GRAGNANO TREBBIENSE,IT082301ER-DQ2-CCI,Conoide Trebbia - confinato inferiore,545036,4982629,87.88,130.0,Fondo foro,1.0,125.0,130.0,manual,9.5713689463,44.9956774932,manual,
PC41-01,Pozzo,PC,CASTEL SAN GIOVANNI,IT080300ER-DQ2-CCS,Conoide Tidone-Luretta - confinato superiore,535351,4990174,70.8,32.0,Fondo foro,1.0,30.0,32.0,manual,9.4490309767,45.0641432115,manual,
PC45-01,Pozzo,PC,SAN PIETRO IN CERRO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,574864,4985753,45.22,16.0,,,,,manual,9.9502180624,45.021275591,manual,
PC48-00,Pozzo,PC,ROTTOFRENO,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,547963,4989045,63.3,35.0,,1.0,84.0,110.0,manual,9.6091137304,45.0532385285,manual,
PC55-01,Pozzo,PC,PODENZANO,IT080040ER-DQ1-CL,Conoide Nure - libero,554491,4980651,91.69,200.0,,,,,manual,9.6911019869,44.9772098329,manual,
PC56-00,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,554675,4986794,62.03,102.0,,4.0,47.0,101.6,manual,9.6941029,45.0324904182,manual,
PC56-02,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,553310,4989082,56.4,116.5,,5.0,66.5,113.5,manual,9.6770182245,45.0531892323,manual,
PC56-03,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,551663,4988893,59.6,94.0,,2.0,72.0,94.0,manual,9.6560838482,45.0516100688,manual,
PC56-06,Pozzo,PC,PIACENZA,IT080040ER-DQ1-CL,Conoide Nure - libero,556118,4987070,57.7,160.0,,3.0,54.5,154.0,manual,9.7124513098,45.0348619419,manual,
PC56-07,Pozzo,PC,PIACENZA,IT080040ER-DQ1-CL,Conoide Nure - libero,557993,4987826,52.0,103.3,,4.0,46.5,102.0,manual,9.7363408862,45.0415158176,manual,
PC56-08,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,552523,4987217,64.0,103.0,,3.0,66.0,93.0,manual,9.6668292208,45.0364607191,manual,
PC56-09,Pozzo,PC,PIACENZA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,561572,4986046,56.1,75.0,,3.0,41.0,73.5,manual,9.7815614532,45.0251919562,manual,
PC56-10,Pozzo,PC,PIACENZA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,559545,4991988,50.0,106.0,,1.0,82.0,98.0,manual,9.756538937,45.0788494252,manual,
PC56-11,Pozzo,PC,PIACENZA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,559012,4989339,46.6,54.0,Fondo foro,1.0,40.0,50.5,manual,9.7494559261,45.0550503021,manual,
PC63-01,Pozzo,PC,PIACENZA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,562514,4988071,48.9,81.7,,2.0,40.0,76.5,manual,9.7937694942,45.0433365462,manual,
PC64-00,Pozzo,PC,PIACENZA,IT080040ER-DQ1-CL,Conoide Nure - libero,560601,4984310,67.14,114.5,,4.0,89.0,114.5,manual,9.7690280327,45.0096497485,manual,
PC69-00,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,552041,4988752,61.0,111.0,,4.0,43.0,108.0,manual,9.6608692474,45.0503132165,manual,
PC75-00,Pozzo,PC,RIVERGARO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,549945,4975082,153.8,156.0,,2.0,134.0,154.0,manual,9.6328981518,44.927415087,manual,
PC77-01,Pozzo,PC,PIACENZA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,546273,4977835,137.0,107.0,,,,,manual,9.586621756,44.9524447332,manual,
PC80-00,Pozzo,PC,MONTICELLI D'ONGINA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,575399,4993161,38.41,68.0,Fondo foro,1.0,52.45,64.95,manual,9.9581204764,45.0878952014,manual,
PC81-00,Pozzo,PC,PODENZANO,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,554375,4983243,75.39,97.0,,2.0,57.0,95.0,manual,9.6899107234,45.000550073,manual,
PC82-00,Pozzo,PC,BORGONOVO VAL TIDONE,IT080010ER-DQ1-CL,Conoide Tidone - libero,538911,4983568,100.8,101.5,,2.0,34.0,70.0,manual,9.4937371554,45.0044923144,manual,
PC83-00,Pozzo,PC,BORGONOVO VAL TIDONE,IT080010ER-DQ1-CL,Conoide Tidone - libero,535349,4985113,105.7,97.0,,4.0,30.0,91.0,manual,9.4486493771,45.0185862898,manual,
PC85-00,Pozzo,PC,GRAGNANO TREBBIENSE,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,542330,4980858,109.7,101.0,,1.0,45.0,57.0,manual,9.5368908072,44.9799023407,manual,
PC86-00,Pozzo,PC,BORGONOVO VAL TIDONE,IT080300ER-DQ2-CCS,Conoide Tidone-Luretta - confinato superiore,540266,4984618,88.0,40.0,,,,,manual,9.511013957,45.0138683226,manual,
PC87-01,Pozzo,PC,GAZZOLA,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,545997,4980073,102.6,105.0,,,,,manual,9.5833270873,44.9726080519,manual,
PC88-00,Pozzo,PC,SARMATO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,538209,4990129,59.0,18.5,Fondo foro,1.0,16.0,18.5,manual,9.4853288174,45.0635896457,manual,
PC89-00,Pozzo,PC,PONTE DELL'OLIO,IT085020ER-AV2-VA,Depositi vallate App. Trebbia-Nure-Arda,549899,4967923,215.0,35.0,,,,,manual,9.631609449,44.8629762586,manual,
PC90-00,Pozzo,PC,PIANELLO VAL TIDONE,IT085020ER-AV2-VA,Depositi vallate App. Trebbia-Nure-Arda,533539,4977204,170.0,11.0,,,,,manual,9.425150983,44.947479736,manual,
PC91-01,Pozzo,PC,VIGOLZONE,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,551234,4972786,211.0,175.0,,4.0,107.0,169.0,manual,9.6489985068,44.9066560044,manual,
PC94-01,Pozzo,PC,RIVERGARO,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,546517,4972735,135.5,12.0,,,,,manual,9.5892452931,44.9065208392,manual,
PC95-00,Pozzo,PC,PODENZANO,IT080040ER-DQ1-CL,Conoide Nure - libero,553537,4977885,123.0,118.0,,2.0,60.0,100.0,manual,9.6787097352,44.9523846746,manual,
PC96-00,Pozzo,PC,PODENZANO,IT080040ER-DQ1-CL,Conoide Nure - libero,557881,4982179,80.5,80.0,Fondo foro,1.0,65.0,80.0,manual,9.7342690285,44.9906954238,manual,
PC97-00,Pozzo,PC,GOSSOLENGO,IT082301ER-DQ2-CCI,Conoide Trebbia - confinato inferiore,551468,4980393,96.8,200.0,,1.0,183.0,193.0,manual,9.6527379018,44.9751130473,manual,
PC98-00,Pozzo,PC,CADEO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,567199,4976628,77.0,102.0,Fondo foro,1.0,87.5,100.0,manual,9.8517237719,44.939909831,manual,
PC99-00,Pozzo,PC,CASTELL’ARQUATO,IT080050ER-DQ1-CL,Conoide Arda - libero,569013,4967757,158.0,65.0,Fondo foro,1.0,51.0,57.0,manual,9.8735030212,44.8598878625,manual,
PCA0-00,Pozzo,PC,CASTEL SAN GIOVANNI,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,535335,4988056,87.0,158.0,,,,,manual,9.4486786395,45.0450786976,manual,
PCA2-00,Pozzo,PC,AGAZZANO,IT082300ER-DQ2-CCI,Conoide Tidone-Luretta - confinato inferiore,540084,4983319,87.4,94.0,,4.0,45.0,85.0,manual,9.5086008048,45.0021856088,manual,
PC-F01-00,Pozzo,PC,SARMATO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,541032,4990346,60.0,6.1,,,,,manual,9.5212027371,45.0653849564,manual,
PC-F03-00,Pozzo,PC,PIACENZA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,559271,4988654,46.5,7.2,,,,,manual,9.7526640779,45.0488629394,manual,
PC-F05-00,Pozzo,PC,SAN PIETRO IN CERRO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,571874,4988422,41.9,4.0,,,,,manual,9.912653909,45.0456079795,manual,
PR03-01,Pozzo,PR,BUSSETO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,584189,4978451,40.0,100.0,,,,,manual,10.0673365245,44.954508795,manual,
PR04-01,Pozzo,PR,SORAGNA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,591204,4978826,37.3,161.0,,,,,manual,10.1563220899,44.9570181335,manual,
PR05-00,Pozzo,PR,PARMA,IT080360ER-DQ2-CCS,Conoide Parma-Baganza - confinato superiore,606371,4961131,54.53,75.5,,5.0,32.0,75.5,manual,10.3448511842,44.7956610286,manual,
PR06-01,Pozzo,PR,SISSA TRECASALI,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,598909,4982301,30.0,105.0,,,,,manual,10.2546685674,44.9872617243,manual,
PR08-03,Pozzo,PR,COLORNO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,608780,4979630,26.9,45.0,,,,,manual,10.3792718884,44.9617803679,manual,
PR09-02,Pozzo,PR,FIDENZA,IT080340ER-DQ2-CCS,Conoide Stirone-Parola - confinato superiore,583155,4972760,57.2,26.0,,,,,manual,10.0532931845,44.9034086201,manual,
PR12-00,Pozzo,PR,SAN SECONDO PARMENSE,IT080350ER-DQ2-CCS,Conoide Taro - confinato superiore,596519,4972121,36.2,86.0,,1.0,35.0,39.7,manual,10.2224122131,44.8959711101,manual,
PR19-01,Pozzo,PR,FIDENZA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,583719,4969761,67.0,175.0,Fondo foro,1.0,170.0,175.0,manual,10.0599400125,44.8763498405,manual,
PR20-00,Pozzo,PR,FIDENZA,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,587029,4967231,73.0,97.0,,5.0,49.15,93.6,manual,10.1014049467,44.8531820415,manual,
PR21-02,Pozzo,PR,FONTANELLATO,IT080350ER-DQ2-CCS,Conoide Taro - confinato superiore,590292,4970941,49.0,30.0,,,,,manual,10.1433530995,44.886167612,manual,
PR23-01,Pozzo,PR,FONTEVIVO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,593592,4966261,56.0,20.0,,,,,manual,10.1842676629,44.8436206524,manual,
PR23-02,Piezometro,PR,FONTANELLATO,IT082352ER-DQ2-CCI,Conoide Taro-Parola - confinato inferiore,595949,4968921,46.5,166.0,Fondo foro,1.0,154.0,163.0,manual,10.214588597,44.8672478661,manual,
PR23-03,Piezometro,PR,FONTANELLATO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,595949,4968921,46.5,70.0,Fondo foro,1.0,58.0,67.0,manual,10.214588597,44.8672478661,manual,
PR23-04,Pozzo,PR,FONTEVIVO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,594520,4966495,54.3,14.0,,,,,manual,10.1960511635,44.8456043425,manual,
PR25-00,Pozzo,PR,TORRILE,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,607779,4972291,30.2,46.0,Fondo foro,1.0,34.0,41.0,manual,10.3650178538,44.8958857643,manual,
PR31-00,Pozzo,PR,FONTEVIVO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,592099,4965566,65.18,31.5,Fondo foro,1.0,25.5,31.5,manual,10.1652537963,44.837559757,manual,
PR32-00,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,604589,4959501,66.7,109.0,,5.0,45.5,105.0,manual,10.3219924035,44.7812543129,manual,
PR33-00,Pozzo,PR,PARMA,IT080350ER-DQ2-CCS,Conoide Taro - confinato superiore,600299,4963056,56.6,64.4,,1.0,32.0,55.0,manual,10.2684817659,44.8138642083,manual,
PR34-00,Pozzo,PR,PARMA,IT080360ER-DQ2-CCS,Conoide Parma-Baganza - confinato superiore,605319,4963221,49.9,55.0,,2.0,34.0,46.0,manual,10.3319871808,44.8146264421,manual,
PR38-00,Pozzo,PR,COLLECCHIO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,596259,4961201,71.0,78.0,,2.0,53.0,78.0,manual,10.2170484815,44.7977248667,manual,
PR45-01,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,600839,4953341,128.7,108.0,,9.0,45.0,102.5,manual,10.2733865152,44.7263525674,manual,
PR47-01,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,605553,4953996,106.0,30.0,,,,,manual,10.3330342145,44.731568346,manual,
PR54-01,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,607354,4958917,60.0,103.3,,9.0,42.0,102.5,manual,10.3568088967,44.7755885997,manual,
PR55-01,Pozzo,PR,PARMA,IT080360ER-DQ2-CCS,Conoide Parma-Baganza - confinato superiore,611838,4960151,45.8,93.0,,,,,manual,10.4137347344,44.7860067605,manual,
PR57-02,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,609058,4953996,91.0,40.0,,,,,manual,10.3772864798,44.731043163,manual,
PR61-02,Pozzo,PR,MONTECHIARUGOLO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,608593,4949252,130.0,28.0,,,,,manual,10.3704076799,44.6884187476,manual,
PR61-05,Pozzo,PR,MONTECHIARUGOLO,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,606648,4948801,147.0,40.0,Fondo foro,1.0,35.0,40.0,manual,10.3457752393,44.6846516346,manual,
PR69-00,Pozzo,PR,MONTECHIARUGOLO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,611028,4954246,83.69,40.0,,2.0,9.0,26.0,manual,10.4022124889,44.73299037,manual,
PR76-00,Pozzo,PR,PARMA,IT080360ER-DQ2-CCS,Conoide Parma-Baganza - confinato superiore,608748,4960721,48.5,86.0,,6.0,23.5,82.7,manual,10.3748074826,44.7916133651,manual,
PR77-00,Pozzo,PR,FONTANELLATO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,590991,4966781,61.7,93.0,,6.0,33.0,86.5,manual,10.1514558547,44.8486373512,manual,
PR90-03,Pozzo,PR,TRAVERSETOLO,IT080650ER-DET1-CMSG,Conoidi montane e Sabbie gialle occidentali,609788,4944321,165.0,50.0,Fondo foro,1.0,32.0,47.0,manual,10.3844269282,44.6438586985,manual,
PR93-02,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,606458,4956181,89.0,30.0,,,,,manual,10.3449162785,44.7510990634,manual,
PR94-00,Pozzo,PR,COLLECCHIO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,595642,4956836,103.5,25.0,,,,,manual,10.208429383,44.7585215419,manual,
PR99-00,Piezometro,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,601967,4950366,149.1,175.0,,,,,manual,10.2870335645,44.699417559,manual,
PRA0-00,Pozzo,PR,COLLECCHIO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,591559,4952941,117.5,10.0,,,,,manual,10.1561527412,44.7239987699,manual,
PRA1-00,Pozzo,PR,PARMA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,602713,4950961,143.5,30.0,,,,,manual,10.2965667604,44.7046661229,manual,
PRA2-00,Pozzo,PR,SALA BAGANZA,IT080080ER-DQ1-CL,Conoide Parma-Baganza - libero,596597,4949571,194.0,10.3,,,,,manual,10.2191186757,44.6930059319,manual,
PRA5-01,Pozzo,PR,ROCCABIANCA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,592872,4983796,32.0,18.0,,,,,manual,10.1783812229,45.001532346,manual,
PRA5-02,Pozzo,PR,ROCCABIANCA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,593275,4984280,32.0,30.0,,,,,manual,10.183583192,45.0058354747,manual,
PRA6-00,Pozzo,PR,SORBOLO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,614301,4972981,25.0,30.0,,,,,manual,10.4477490231,44.9010782017,manual,
PRA7-00,Pozzo,PR,COLORNO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,611088,4974251,25.5,110.0,,,,,manual,10.4073441724,44.9130159744,manual,
PRB3-00,Pozzo,PR,NOCETO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,593423,4962701,74.6,70.15,,2.0,15.0,65.0,manual,10.1814748765,44.8116018023,manual,
PRB4-00,Piezometro,PR,FONTANELLATO,IT080072ER-DQ1-CL,Conoide Taro-Parola - libero,591053,4966331,63.5,45.0,,1.0,8.0,45.0,manual,10.1521595324,44.8445792827,manual,
PRB5-00,Pozzo,PR,SOLIGNANO,IT085030ER-AV2-VA,Depositi vallate App. Taro-Enza-Tresinaro,584579,4947421,158.0,11.5,,,,,manual,10.0671162429,44.6751723523,manual,
PRB8-00,Pozzo,PR,PARMA,IT082360ER-DQ2-CCI,Conoide Parma-Baganza - confinato inferiore,611468,4957571,58.0,111.5,,,,,manual,10.4084943898,44.7628456952,manual,
PRB9-00,Pozzo,PR,PARMA,IT082360ER-DQ2-CCI,Conoide Parma-Baganza - confinato inferiore,609420,4960060,51.0,150.0,,3.0,103.0,147.0,manual,10.3831584321,44.7855620331,manual,
PRC0-00,Pozzo,PR,PARMA,IT082352ER-DQ2-CCI,Conoide Taro-Parola - confinato inferiore,597409,4963096,61.5,110.0,,,,,manual,10.2319481578,44.8146242921,manual,
PR-F01-00,Pozzo,PR,POLESINE ZIBELLO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,591029,4984941,32.5,4.37,,,,,manual,10.1552087568,45.012076312,manual,
PR-F01-01,Pozzo,PR,POLESINE ZIBELLO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,591454,4984386,32.0,4.55,,,,,manual,10.1605002541,45.0070265984,manual,
PR-F06-00,Pozzo,PR,PARMA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,604719,4970511,36.7,6.81,,,,,manual,10.325905435,44.8803229114,manual,
PR-F07-00,Pozzo,PR,SAN SECONDO PARMENSE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,598925,4974770,36.4,8.22,,,,,manual,10.2533950663,44.919481693,manual,
PR-F09-01,Pozzo,PR,SORAGNA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,587184,4974510,49.3,6.57,,,,,manual,10.1046194496,44.9186772657,manual,
PR-F10-01,Pozzo,PR,BUSSETO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,579735,4977078,48.9,6.52,,,,,manual,10.0106614572,44.9426647065,manual,
PR-F11-00,Pozzo,PR,FIDENZA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,586763,4968685,65.8,6.79,,,,,manual,10.0982879644,44.8663011721,manual,
RA03-00,Pozzo,RA,MASSALOMBARDA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,724418,4924919,11.3,102.0,Fondo foro,1.0,95.0,102.0,manual,11.8201658614,44.4427514984,manual,
RA05-00,Pozzo,RA,BAGNACAVALLO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,741015,4930369,5.0,108.0,Fondo foro,1.0,101.72,106.72,manual,12.0309898501,44.4864106546,manual,
RA08-00,Pozzo,RA,FAENZA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,738690,4915703,15.0,96.0,Fondo foro,1.0,87.56,96.0,manual,11.99504565,44.3553278646,manual,
RA09-00,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,758180,4941791,0.43,273.0,,1.0,142.0,150.0,manual,12.2522369434,44.5831446513,manual,
RA09-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,758227,4940523,0.43,150.0,Fondo foro,1.0,142.0,150.0,manual,12.2521920343,44.571730928,manual,
RA12-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,755883,4938447,1.57,155.0,,,,,manual,12.2216866056,44.5539074527,manual,
RA13-02,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,756201,4911624,2.08,215.0,Fondo foro,1.0,206.0,215.0,manual,12.2124350449,44.3126934419,manual,
RA14-01,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,745922,4913833,7.3,248.0,Fondo foro,1.0,242.0,248.0,manual,12.0847802771,44.3361025509,manual,
RA15-00,Pozzo,RA,CASTEL BOLOGNESE,IT080522ER-DQ2-CC,Conoide Senio - confinato,723585,4913863,29.82,31.74,,1.0,17.61,21.0,manual,11.8049539369,44.3435931189,manual,
RA17-01,Pozzo,RA,FAENZA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,730858,4912855,22.0,106.0,Fondo foro,1.0,100.0,106.0,manual,11.8956359099,44.3322537622,manual,
RA18-00,Pozzo,RA,FAENZA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,726769,4909433,38.2,67.0,Fondo foro,1.0,57.0,67.0,manual,11.8429238617,44.3027715939,manual,
RA21-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,766702,4912271,1.65,370.0,,,,,manual,12.3442165103,44.3147319664,manual,
RA24-00,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,760513,4938208,1.2,265.3,Fondo foro,1.0,240.8,265.3,manual,12.2797654226,44.5501010819,manual,
RA24-01,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,760474,4936523,0.7,183.5,,,,,manual,12.2784242582,44.534970581,manual,
RA29-00,Pozzo,RA,RAVENNA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,760044,4932212,0.7,251.0,Fondo foro,1.0,232.92,250.87,manual,12.2708503605,44.4963784831,manual,
RA30-00,Pozzo,RA,RAVENNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,752680,4930373,1.6,230.08,Fondo foro,1.0,218.0,230.08,manual,12.1774708266,44.4824616754,manual,
