station_code,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,source_type,lon,lat,metadata_source,use
BO29-00,Pozzo,BO,GRANAROLO DELL'EMILIA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,693713,4936362,26.64,231.35,,2.0,120.0,231.35,manual,11.4389731704,44.5545498067,manual,
BO30-00,Pozzo,BO,BOLOGNA,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,682893,4931879,39.82,351.93,,10.0,156.0,334.0,manual,11.3012654262,44.517050733,manual,
BO30-01,Pozzo,BO,BOLOGNA,IT082442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,682915,4931988,40.84,350.0,,11.0,101.0,323.5,manual,11.301580638,44.5180256571,manual,
BO32-00,Pozzo,BO,BOLOGNA,IT080462ER-DQ2-CCS,Conoide Savena - confinato superiore,690256,4932321,41.1,211.0,,4.0,95.5,203.3,manual,11.3939948817,44.5191228057,manual,
BO33-00,Pozzo,BO,GRANAROLO DELL'EMILIA,IT080462ER-DQ2-CCS,Conoide Savena - confinato superiore,692966,4932801,39.98,375.0,,9.0,84.09,354.11,manual,11.4282440206,44.5227205929,manual,
BO36-01,Pozzo,BO,BUDRIO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,704526,4940673,16.2,516.0,,,,,manual,11.576695009,44.5903334755,manual,
BO37-00,Pozzo,BO,BUDRIO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,697601,4937796,21.46,165.0,,,,,manual,11.4884301462,44.5663918779,manual,
BO38-00,Pozzo,BO,BUDRIO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,701070,4934896,23.64,475.0,,2.0,389.0,474.0,manual,11.5309424591,44.5393499172,manual,
BO40-02,Pozzo,BO,MOLINELLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,712284,4945264,7.74,176.0,,1.0,137.0,159.0,manual,11.6762255385,44.6293730631,manual,
BO41-00,Pozzo,BO,MEDICINA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,713599,4938274,10.9,500.0,Fondo foro,1.0,477.0,500.0,manual,11.6898816426,44.5661251506,manual,
BO43-01,Pozzo,BO,MOLINELLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,708368,4936856,10.67,190.0,,,,,manual,11.6235030725,44.5549047773,manual,
