time,source_month,lwe_thickness_mean,lwe_thickness_mean_anom
2017-01-04,2017-01-01,-5.989555599757452,3.2734449780032455
2017-01-10,2017-01-01,-5.989555599757452,3.2734449780032455
2017-01-28,2017-01-01,-5.989555599757452,3.2734449780032455
2017-02-03,2017-02-01,-4.529643526838502,4.7333570509222
2017-02-09,2017-02-01,-4.529643526838502,4.7333570509222
2017-02-15,2017-02-01,-4.529643526838502,4.7333570509222
2017-02-21,2017-02-01,-4.529643526838502,4.7333570509222
2017-02-27,2017-02-01,-4.529643526838502,4.7333570509222
2017-03-05,2017-03-01,-3.2110132674278358,6.051987310332866
2017-03-11,2017-03-01,-3.2110132674278358,6.051987310332866
2017-03-17,2017-03-01,-3.2110132674278358,6.051987310332866
2017-03-23,2017-03-01,-3.2110132674278358,6.051987310332866
2017-03-29,2017-03-01,-3.2110132674278358,6.051987310332866
2017-04-04,2017-04-01,-4.867955348112029,4.39504522964867
2017-04-10,2017-04-01,-4.867955348112029,4.39504522964867
2017-04-16,2017-04-01,-4.867955348112029,4.39504522964867
2017-04-28,2017-04-01,-4.867955348112029,4.39504522964867
2017-05-04,2017-05-01,-2.028379574293602,7.2346210034670975
2017-05-10,2017-05-01,-2.028379574293602,7.2346210034670975
2017-05-16,2017-05-01,-2.028379574293602,7.2346210034670975
2017-05-22,2017-05-01,-2.028379574293602,7.2346210034670975
2017-05-28,2017-05-01,-2.028379574293602,7.2346210034670975
2017-06-03,2017-06-01,-6.914381603804229,2.3486189739564685
2017-06-09,2017-06-01,-6.914381603804229,2.3486189739564685
2017-06-15,2017-06-01,-6.914381603804229,2.3486189739564685
2017-06-21,2017-06-01,-6.914381603804229,2.3486189739564685
2017-06-27,2017-06-01,-6.914381603804229,2.3486189739564685
2017-07-03,2017-07-01,-6.617620418866421,2.645380158894277
2017-07-09,2017-07-01,-6.617620418866421,2.645380158894277
2017-07-15,2017-07-01,-6.617620418866421,2.645380158894277
2017-07-21,2017-07-01,-6.617620418866421,2.645380158894277
2017-07-27,2017-07-01,-6.617620418866421,2.645380158894277
2017-08-02,2017-08-01,-6.310967194430686,2.9520333833300136
2017-08-08,2017-08-01,-6.310967194430686,2.9520333833300136
2017-08-14,2017-08-01,-6.310967194430686,2.9520333833300136
2017-08-20,2017-08-01,-6.310967194430686,2.9520333833300136
2017-08-26,2017-08-01,-6.310967194430686,2.9520333833300136
2017-09-01,2017-09-01,-6.004313969994953,3.2586866077657506
2017-09-07,2017-09-01,-6.004313969994953,3.2586866077657506
2017-09-13,2017-09-01,-6.004313969994953,3.2586866077657506
2017-09-19,2017-09-01,-6.004313969994953,3.2586866077657506
2017-09-25,2017-09-01,-6.004313969994953,3.2586866077657506
2017-10-07,2017-10-01,-5.707552785057144,3.555447792703559
2017-10-13,2017-10-01,-5.707552785057144,3.555447792703559
2017-10-19,2017-10-01,-5.707552785057144,3.555447792703559
2017-10-25,2017-10-01,-5.707552785057144,3.555447792703559
2017-10-31,2017-10-01,-5.707552785057144,3.555447792703559
2017-11-06,2017-11-01,-5.400899560621405,3.8621010171392927
2017-11-12,2017-11-01,-5.400899560621405,3.8621010171392927
2017-11-18,2017-11-01,-5.400899560621405,3.8621010171392927
2017-11-24,2017-11-01,-5.400899560621405,3.8621010171392927
2017-11-30,2017-11-01,-5.400899560621405,3.8621010171392927
2017-12-06,2017-12-01,-5.104138375683596,4.158862202077102
2017-12-12,2017-12-01,-5.104138375683596,4.158862202077102
2017-12-24,2017-12-01,-5.104138375683596,4.158862202077102
2017-12-30,2017-12-01,-5.104138375683596,4.158862202077102
2018-01-05,2018-01-01,-4.797485151247861,4.465515426512839
2018-01-11,2018-01-01,-4.797485151247861,4.465515426512839
2018-01-17,2018-01-01,-4.797485151247861,4.465515426512839
2018-01-23,2018-01-01,-4.797485151247861,4.465515426512839
2018-01-29,2018-01-01,-4.797485151247861,4.465515426512839
2018-02-04,2018-02-01,-4.490831926812124,4.772168650948576
2018-02-10,2018-02-01,-4.490831926812124,4.772168650948576
2018-02-16,2018-02-01,-4.490831926812124,4.772168650948576
2018-02-22,2018-02-01,-4.490831926812124,4.772168650948576
2018-02-28,2018-02-01,-4.490831926812124,4.772168650948576
2018-03-06,2018-03-01,-4.21385482087017,5.049145756890528
2018-03-12,2018-03-01,-4.21385482087017,5.049145756890528
2018-03-18,2018-03-01,-4.21385482087017,5.049145756890528
2018-03-24,2018-03-01,-4.21385482087017,5.049145756890528
2018-03-30,2018-03-01,-4.21385482087017,5.049145756890528
2018-04-11,2018-04-01,-3.9072015964344358,5.355798981326267
2018-04-17,2018-04-01,-3.9072015964344358,5.355798981326267
2018-04-23,2018-04-01,-3.9072015964344358,5.355798981326267
2018-04-29,2018-04-01,-3.9072015964344358,5.355798981326267
2018-05-05,2018-05-01,-3.610440411496624,5.6525601662640765
2018-05-11,2018-05-01,-3.610440411496624,5.6525601662640765
2018-05-17,2018-05-01,-3.610440411496624,5.6525601662640765
2018-05-23,2018-05-01,-3.610440411496624,5.6525601662640765
2018-05-29,2018-05-01,-3.610440411496624,5.6525601662640765
2018-06-04,2018-06-01,-3.30378718706089,5.959213390699811
2018-06-10,2018-06-01,-3.30378718706089,5.959213390699811
2018-06-22,2018-06-01,-3.30378718706089,5.959213390699811
2018-06-28,2018-06-01,-3.30378718706089,5.959213390699811
2018-07-04,2018-07-01,-10.845030336897057,-1.582029759136355
2018-07-10,2018-07-01,-10.845030336897057,-1.582029759136355
2018-07-16,2018-07-01,-10.845030336897057,-1.582029759136355
2018-07-22,2018-07-01,-10.845030336897057,-1.582029759136355
2018-07-28,2018-07-01,-10.845030336897057,-1.582029759136355
2018-08-03,2018-08-01,-12.914742491276835,-3.6517419135161417
2018-08-09,2018-08-01,-12.914742491276835,-3.6517419135161417
2018-08-15,2018-08-01,-12.914742491276835,-3.6517419135161417
2018-08-21,2018-08-01,-12.914742491276835,-3.6517419135161417
2018-08-27,2018-08-01,-12.914742491276835,-3.6517419135161417
2018-09-02,2018-09-01,-14.984454645656626,-5.721454067895929
2018-09-08,2018-09-01,-14.984454645656626,-5.721454067895929
2018-09-14,2018-09-01,-14.984454645656626,-5.721454067895929
2018-09-20,2018-09-01,-14.984454645656626,-5.721454067895929
2018-09-26,2018-09-01,-14.984454645656626,-5.721454067895929
2018-10-02,2018-10-01,-16.987401891830622,-7.724401314069918
2018-10-08,2018-10-01,-16.987401891830622,-7.724401314069918
2018-10-14,2018-10-01,-16.987401891830622,-7.724401314069918
2018-10-20,2018-10-01,-16.987401891830622,-7.724401314069918
2018-10-26,2018-10-01,-16.987401891830622,-7.724401314069918
2018-11-01,2018-11-01,-9.508988227394797,-0.245987649634095
2018-11-07,2018-11-01,-9.508988227394797,-0.245987649634095
2018-11-13,2018-11-01,-9.508988227394797,-0.245987649634095
2018-11-19,2018-11-01,-9.508988227394797,-0.245987649634095
2018-11-25,2018-11-01,-9.508988227394797,-0.245987649634095
2018-12-01,2018-12-01,-6.606421195646897,2.6565793821138004
2018-12-07,2018-12-01,-6.606421195646897,2.6565793821138004
2018-12-13,2018-12-01,-6.606421195646897,2.6565793821138004
2018-12-19,2018-12-01,-6.606421195646897,2.6565793821138004
2018-12-25,2018-12-01,-6.606421195646897,2.6565793821138004
2018-12-31,2018-12-01,-6.606421195646897,2.6565793821138004
2019-01-06,2019-01-01,-7.483966073613156,1.7790345041475422
2019-01-12,2019-01-01,-7.483966073613156,1.7790345041475422
2019-01-18,2019-01-01,-7.483966073613156,1.7790345041475422
2019-01-24,2019-01-01,-7.483966073613156,1.7790345041475422
2019-01-30,2019-01-01,-7.483966073613156,1.7790345041475422
2019-02-05,2019-02-01,-2.642945267816352,6.620055309944348
2019-02-11,2019-02-01,-2.642945267816352,6.620055309944348
2019-02-17,2019-02-01,-2.642945267816352,6.620055309944348
2019-02-23,2019-02-01,-2.642945267816352,6.620055309944348
2019-03-01,2019-03-01,-1.420091094403687,7.842909483357013
2019-03-07,2019-03-01,-1.420091094403687,7.842909483357013
2019-03-13,2019-03-01,-1.420091094403687,7.842909483357013
2019-03-19,2019-03-01,-1.420091094403687,7.842909483357013
2019-03-25,2019-03-01,-1.420091094403687,7.842909483357013
2019-03-31,2019-03-01,-1.420091094403687,7.842909483357013
2019-04-06,2019-04-01,-4.316562840234932,4.94643773752577
2019-04-12,2019-04-01,-4.316562840234932,4.94643773752577
2019-04-24,2019-04-01,-4.316562840234932,4.94643773752577
2019-04-30,2019-04-01,-4.316562840234932,4.94643773752577
2019-05-06,2019-05-01,-1.5286407432955438,7.734359834465156
2019-05-12,2019-05-01,-1.5286407432955438,7.734359834465156
2019-05-18,2019-05-01,-1.5286407432955438,7.734359834465156
2019-05-24,2019-05-01,-1.5286407432955438,7.734359834465156
2019-05-30,2019-05-01,-1.5286407432955438,7.734359834465156
2019-06-05,2019-06-01,-8.223713994416554,1.0392865833441438
2019-06-11,2019-06-01,-8.223713994416554,1.0392865833441438
2019-06-17,2019-06-01,-8.223713994416554,1.0392865833441438
2019-06-23,2019-06-01,-8.223713994416554,1.0392865833441438
2019-07-05,2019-07-01,-14.880995075265211,-5.617994497504507
2019-07-11,2019-07-01,-14.880995075265211,-5.617994497504507
2019-07-17,2019-07-01,-14.880995075265211,-5.617994497504507
2019-07-23,2019-07-01,-14.880995075265211,-5.617994497504507
2019-07-29,2019-07-01,-14.880995075265211,-5.617994497504507
2019-08-04,2019-08-01,-14.615230619364073,-5.352230041603372
2019-08-10,2019-08-01,-14.615230619364073,-5.352230041603372
2019-08-16,2019-08-01,-14.615230619364073,-5.352230041603372
2019-08-22,2019-08-01,-14.615230619364073,-5.352230041603372
2019-08-28,2019-08-01,-14.615230619364073,-5.352230041603372
2019-09-03,2019-09-01,-18.09637600533424,-8.83337542757354
2019-09-09,2019-09-01,-18.09637600533424,-8.83337542757354
2019-09-15,2019-09-01,-18.09637600533424,-8.83337542757354
2019-09-21,2019-09-01,-18.09637600533424,-8.83337542757354
2019-09-27,2019-09-01,-18.09637600533424,-8.83337542757354
2019-10-03,2019-10-01,-17.79350279042894,-8.53050221266824
2019-10-09,2019-10-01,-17.79350279042894,-8.53050221266824
2019-10-15,2019-10-01,-17.79350279042894,-8.53050221266824
2019-10-21,2019-10-01,-17.79350279042894,-8.53050221266824
2019-10-27,2019-10-01,-17.79350279042894,-8.53050221266824
2019-11-02,2019-11-01,-7.883493028076034,1.3795075496846645
2019-11-08,2019-11-01,-7.883493028076034,1.3795075496846645
2019-11-14,2019-11-01,-7.883493028076034,1.3795075496846645
