time,grace_tws_anom,smap_surface_sm,swot_river_wse_mean,swot_lake_wse_mean
2017-01-04,3.273444978003245,0.2866697609424591,,
2017-01-10,3.273444978003245,0.2866697609424591,,
2017-01-28,3.273444978003245,0.2866697609424591,,
2017-02-03,4.7333570509222,0.2866697609424591,,
2017-02-09,4.7333570509222,0.2866697609424591,,
2017-02-15,4.7333570509222,0.2866697609424591,,
2017-02-21,4.7333570509222,0.2866697609424591,,
2017-02-27,4.7333570509222,0.2866697609424591,,
2017-03-05,6.051987310332866,0.2866697609424591,,
2017-03-11,6.051987310332866,0.2866697609424591,,
2017-03-17,6.051987310332866,0.2866697609424591,,
2017-03-23,6.051987310332866,0.2866697609424591,,
2017-03-29,6.051987310332866,0.2866697609424591,,
2017-04-04,4.39504522964867,0.2866697609424591,,
2017-04-10,4.39504522964867,0.2866697609424591,,
2017-04-16,4.39504522964867,0.2866697609424591,,
2017-04-28,4.39504522964867,0.2866697609424591,,
2017-05-04,7.2346210034670975,0.2866697609424591,,
2017-05-10,7.2346210034670975,0.2866697609424591,,
2017-05-16,7.2346210034670975,0.2866697609424591,,
2017-05-22,7.2346210034670975,0.2866697609424591,,
2017-05-28,7.2346210034670975,0.2866697609424591,,
2017-06-03,2.3486189739564685,0.2866697609424591,,
2017-06-09,2.3486189739564685,0.2866697609424591,,
2017-06-15,2.3486189739564685,0.2866697609424591,,
2017-06-21,2.3486189739564685,0.2866697609424591,,
2017-06-27,2.3486189739564685,0.2866697609424591,,
2017-07-03,2.645380158894277,0.2866697609424591,,
2017-07-09,2.645380158894277,0.2866697609424591,,
2017-07-15,2.645380158894277,0.2866697609424591,,
2017-07-21,2.645380158894277,0.2866697609424591,,
2017-07-27,2.645380158894277,0.2866697609424591,,
2017-08-02,2.9520333833300136,0.2866697609424591,,
2017-08-08,2.9520333833300136,0.2866697609424591,,
2017-08-14,2.9520333833300136,0.2866697609424591,,
2017-08-20,2.9520333833300136,0.2866697609424591,,
2017-08-26,2.9520333833300136,0.2866697609424591,,
2017-09-01,3.2586866077657506,0.2866697609424591,,
2017-09-07,3.2586866077657506,0.2866697609424591,,
2017-09-13,3.2586866077657506,0.2866697609424591,,
2017-09-19,3.2586866077657506,0.2866697609424591,,
2017-09-25,3.2586866077657506,0.2866697609424591,,
2017-10-07,3.555447792703559,0.2866697609424591,,
2017-10-13,3.555447792703559,0.2866697609424591,,
2017-10-19,3.555447792703559,0.2866697609424591,,
2017-10-25,3.555447792703559,0.2866697609424591,,
2017-10-31,3.555447792703559,0.2866697609424591,,
2017-11-06,3.8621010171392927,0.2866697609424591,,
2017-11-12,3.8621010171392927,0.2866697609424591,,
2017-11-18,3.8621010171392927,0.2866697609424591,,
2017-11-24,3.8621010171392927,0.2866697609424591,,
2017-11-30,3.8621010171392927,0.2866697609424591,,
2017-12-06,4.158862202077102,0.2866697609424591,,
2017-12-12,4.158862202077102,0.2866697609424591,,
2017-12-24,4.158862202077102,0.2866697609424591,,
2017-12-30,4.158862202077102,0.2866697609424591,,
2018-01-05,4.465515426512839,0.2866697609424591,,
2018-01-11,4.465515426512839,0.2866697609424591,,
2018-01-17,4.465515426512839,0.2866697609424591,,
2018-01-23,4.465515426512839,0.2866697609424591,,
2018-01-29,4.465515426512839,0.2866697609424591,,
2018-02-04,4.772168650948576,0.2866697609424591,,
2018-02-10,4.772168650948576,0.2866697609424591,,
2018-02-16,4.772168650948576,0.2866697609424591,,
2018-02-22,4.772168650948576,0.2866697609424591,,
2018-02-28,4.772168650948576,0.2866697609424591,,
2018-03-06,5.049145756890528,0.2866697609424591,,
2018-03-12,5.049145756890528,0.2866697609424591,,
2018-03-18,5.049145756890528,0.2866697609424591,,
2018-03-24,5.049145756890528,0.2866697609424591,,
2018-03-30,5.049145756890528,0.2866697609424591,,
2018-04-11,5.355798981326267,0.2866697609424591,,
2018-04-17,5.355798981326267,0.2866697609424591,,
2018-04-23,5.355798981326267,0.2866697609424591,,
2018-04-29,5.355798981326267,0.2866697609424591,,
2018-05-05,5.6525601662640765,0.2866697609424591,,
2018-05-11,5.6525601662640765,0.2866697609424591,,
2018-05-17,5.6525601662640765,0.2866697609424591,,
2018-05-23,5.6525601662640765,0.2866697609424591,,
2018-05-29,5.6525601662640765,0.2866697609424591,,
2018-06-04,5.959213390699811,0.2866697609424591,,
2018-06-10,5.959213390699811,0.2866697609424591,,
2018-06-22,5.959213390699811,0.2866697609424591,,
2018-06-28,5.959213390699811,0.2866697609424591,,
2018-07-04,-1.582029759136355,0.2866697609424591,,
2018-07-10,-1.582029759136355,0.2866697609424591,,
2018-07-16,-1.582029759136355,0.2866697609424591,,
2018-07-22,-1.582029759136355,0.2866697609424591,,
2018-07-28,-1.582029759136355,0.2866697609424591,,
2018-08-03,-3.6517419135161417,0.2866697609424591,,
2018-08-09,-3.6517419135161417,0.2866697609424591,,
2018-08-15,-3.6517419135161417,0.2866697609424591,,
2018-08-21,-3.6517419135161417,0.2866697609424591,,
2018-08-27,-3.6517419135161417,0.2866697609424591,,
2018-09-02,-5.721454067895929,0.2866697609424591,,
2018-09-08,-5.721454067895929,0.2866697609424591,,
2018-09-14,-5.721454067895929,0.2866697609424591,,
2018-09-20,-5.721454067895929,0.2866697609424591,,
2018-09-26,-5.721454067895929,0.2866697609424591,,
2018-10-02,-7.724401314069918,0.2866697609424591,,
2018-10-08,-7.724401314069918,0.2866697609424591,,
2018-10-14,-7.724401314069918,0.2866697609424591,,
2018-10-20,-7.724401314069918,0.2866697609424591,,
2018-10-26,-7.724401314069918,0.2866697609424591,,
2018-11-01,-0.245987649634095,0.2866697609424591,,
2018-11-07,-0.245987649634095,0.2866697609424591,,
2018-11-13,-0.245987649634095,0.2866697609424591,,
2018-11-19,-0.245987649634095,0.2866697609424591,,
2018-11-25,-0.245987649634095,0.2866697609424591,,
2018-12-01,2.6565793821138004,0.2866697609424591,,
2018-12-07,2.6565793821138004,0.2866697609424591,,
2018-12-13,2.6565793821138004,0.2866697609424591,,
2018-12-19,2.6565793821138004,0.2866697609424591,,
2018-12-25,2.6565793821138004,0.2866697609424591,,
2018-12-31,2.6565793821138004,0.2866697609424591,,
2019-01-06,1.7790345041475422,0.2866697609424591,,
